productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extAttack4
83488,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83488_200w.jpg,3,1398,https://cpt.tcgcsv.com/NpH,2021-08-03T20:10:47.45,1,34/115,Uncommon,Colorless,50,Basic,"<b>Poke-POWER</b> Snappy Move  
<br>Once during your turn <em>(before your attack)</em>, if Aipom is on your Bench, you may draw a card.  Then, discard all cards attached to Aipom and put Aipom on the bottom of your deck.  You can't use more than 1 Snappy Move Poke-Power each turn.","[1] Snap Tail 
<br>Choose 1 of your opponent's Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,2.0,2.16,4.0,2.47,,Normal,,,
83488,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83488_200w.jpg,3,1398,https://cpt.tcgcsv.com/NpH,2021-08-03T20:10:47.45,1,34/115,Uncommon,Colorless,50,Basic,"<b>Poke-POWER</b> Snappy Move  
<br>Once during your turn <em>(before your attack)</em>, if Aipom is on your Bench, you may draw a card.  Then, discard all cards attached to Aipom and put Aipom on the bottom of your deck.  You can't use more than 1 Snappy Move Poke-Power each turn.","[1] Snap Tail 
<br>Choose 1 of your opponent's Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,18.49,90.0,958.18,18.49,,Reverse Holofoil,,,
83540,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83540_200w.jpg,3,1398,https://cpt.tcgcsv.com/QqH,2021-08-03T20:10:55.07,1,1/115,Holo Rare,Lightning,120,Stage 2,"<b>Poke-POWER</b> Energy Connect 
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a basic Energy card attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Ampharos is affected by a Special Condition.","[2L] Miraculous Thunder (50) 
<br>You may discard all L Energy attached to Ampharos.  If you do, the Defending Pokemon is now Burned and Confused.",F,M,2,47.98,59.97,129.99,29.51,,Holofoil,,,
83540,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83540_200w.jpg,3,1398,https://cpt.tcgcsv.com/QqH,2021-08-03T20:10:55.07,1,1/115,Holo Rare,Lightning,120,Stage 2,"<b>Poke-POWER</b> Energy Connect 
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a basic Energy card attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Ampharos is affected by a Special Condition.","[2L] Miraculous Thunder (50) 
<br>You may discard all L Energy attached to Ampharos.  If you do, the Defending Pokemon is now Burned and Confused.",F,M,2,66.66,99.99,159.99,26.54,,Reverse Holofoil,,,
83616,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83616_200w.jpg,3,1398,https://cpt.tcgcsv.com/lsH,2021-08-03T20:11:00.633,1,2/115,Holo Rare,Grass,70,Stage 1,,"[1] Reactive Poison (10+) 
<br>Does 10 damage plus 30 more damage for each Special Condition affecting the Defending Pokemon.",P,None,1,9.25,13.66,29.99,8.95,,Holofoil,"[G] Spider Trap 
<br>The defending Pokemon is now Asleep and Poisoned.  Before applying this effect, you may switch 1 of your opponent's Benched Pokemon with 1 of the Defending Pokemon.  If you do, the new Defending Pokemon is now Asleep and Poisoned.  Your opponent chooses the Defending Pokemon to switch.",,
83616,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83616_200w.jpg,3,1398,https://cpt.tcgcsv.com/lsH,2021-08-03T20:11:00.633,1,2/115,Holo Rare,Grass,70,Stage 1,,"[1] Reactive Poison (10+) 
<br>Does 10 damage plus 30 more damage for each Special Condition affecting the Defending Pokemon.",P,None,1,11.8,13.0,14.81,12.9,12.0,Reverse Holofoil,"[G] Spider Trap 
<br>The defending Pokemon is now Asleep and Poisoned.  Before applying this effect, you may switch 1 of your opponent's Benched Pokemon with 1 of the Defending Pokemon.  If you do, the new Defending Pokemon is now Asleep and Poisoned.  Your opponent chooses the Defending Pokemon to switch.",,
83746,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83746_200w.jpg,3,1398,https://cpt.tcgcsv.com/XvH,2021-09-22T14:17:58.443,1,35/115,Uncommon,Grass,70,Stage 1,,"[1] Soothing Scent (10) 
<br>The Defending Pokemon is now Asleep.",R,W,1,0.25,0.73,9.07,0.82,,Normal,[1GG] Razor Leaf (50),,
83746,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83746_200w.jpg,3,1398,https://cpt.tcgcsv.com/XvH,2021-09-22T14:17:58.443,1,35/115,Uncommon,Grass,70,Stage 1,,"[1] Soothing Scent (10) 
<br>The Defending Pokemon is now Asleep.",R,W,1,11.97,12.88,18.99,12.53,,Reverse Holofoil,[1GG] Razor Leaf (50),,
83799,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83799_200w.jpg,3,1398,https://cpt.tcgcsv.com/_wH,2022-06-06T03:07:44.073,1,3/115,Holo Rare,Grass,90,Stage 2,,"[G] Green Dance 
<br>Search your deck for up to 2 Grass Pokemon, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.  If you put any Grass Pokemon into your hand, you may switch Bellossom with 1 of your Benched Pokemon.",R,W,1,14.01,17.89,20.2,14.01,,Holofoil,"[3] Full Bloom (50+) 
<br>If you have at least 3 Bellossom in play, this attack does 50 damage plus 50 more damage.",,
83799,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83799_200w.jpg,3,1398,https://cpt.tcgcsv.com/_wH,2022-06-06T03:07:44.073,1,3/115,Holo Rare,Grass,90,Stage 2,,"[G] Green Dance 
<br>Search your deck for up to 2 Grass Pokemon, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.  If you put any Grass Pokemon into your hand, you may switch Bellossom with 1 of your Benched Pokemon.",R,W,1,24.48,26.85,34.97,19.02,,Reverse Holofoil,"[3] Full Bloom (50+) 
<br>If you have at least 3 Bellossom in play, this attack does 50 damage plus 50 more damage.",,
