productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack2,extAttack3
131695,M Lucario EX - 55a/111,M Lucario EX 55a 111,https://tcgplayer-cdn.tcgplayer.com/product/131695_200w.jpg,3,1938,https://cpt.tcgcsv.com/WH32,2022-09-16T20:23:53.527,1,055a/111,Promo,Fighting,220,Mega,"<em>Mega Evolution rule — When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.</em>
<br><br>
<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[FFF] Rising Fist (140)
<br>Discard an Energy attached to your opponent's Active Pokémon.",Px2,2,73.18,97.92,337.49,97.12,128.99,Holofoil,,,
131696,M Manectric EX - 24a/119,M Manectric EX 24a 119,https://tcgplayer-cdn.tcgplayer.com/product/131696_200w.jpg,3,1938,https://cpt.tcgcsv.com/XH32,2022-11-04T09:12:18.11,1,024a/119,Promo,Lightning,210,Mega,"<em>Mega Evolution rule — When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.</em>
<br>
<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1L] Turbo Bolt (110)
Attach 2 basic Energy cards from your discard pile to 1 of your Benched Pokémon.",Fx2,,13.6,21.53,42.69,20.71,27.95,Holofoil,M-20,,
131697,Jolteon EX - 28a/83,Jolteon EX 28a 83,https://tcgplayer-cdn.tcgplayer.com/product/131697_200w.jpg,3,1938,https://cpt.tcgcsv.com/ZH32,2022-09-16T20:18:40.517,1,028a/083,Promo,Lightning,160,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[L] Swift (30)
<br>This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.",Fx2,,15.03,35.84,89.69,28.89,23.0,Holofoil,M-20,"[2L] Flash Ray (70)
<br>During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.",
131698,Zygarde EX - 54a/124,Zygarde EX 54a 124,https://tcgplayer-cdn.tcgplayer.com/product/131698_200w.jpg,3,1938,https://cpt.tcgcsv.com/-H32,2023-08-22T13:43:42.517,1,054a/124,Promo,Fighting,190,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[F] Land's Pulse (20+)
<br>If there is any Stadium card in play, this attack does 20 more damage.",Gx2,3,59.47,175.0,299.95,56.73,,Holofoil,,"[1F] Cell Storm (60)
<br>Heal 30 damage from this Pokémon.",[1FF] Land's Wrath (100)
133813,Professor Sycamore - 107a/122 (Holofoil),Professor Sycamore 107a 122 Holofoil,https://tcgplayer-cdn.tcgplayer.com/product/133813_200w.jpg,3,1938,https://cpt.tcgcsv.com/hx52,2024-07-26T15:59:55.527,1,107a/122,Promo,Supporter,,,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,0.25,0.74,10.75,0.73,0.5,Holofoil,,,
133814,Professor Sycamore - 107a/122 (Non-Holo),Professor Sycamore 107a 122 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/133814_200w.jpg,3,1938,https://cpt.tcgcsv.com/jx52,2022-09-16T16:20:55.613,1,107a/122,Promo,Supporter,,,"Discard your hand and draw 7 cards.
<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,0.23,0.46,7.0,0.33,0.49,Normal,,,
133815,Trainers' Mail - 92a/108 (Non-Holo),Trainers Mail 92a 108 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/133815_200w.jpg,3,1938,https://cpt.tcgcsv.com/kx52,2022-09-16T20:49:45.707,1,092a/108,Promo,Item,,,"Look at the top 4 cards of your deck. You may reveal a Trainer card you find there (except for Trainers' Mail) and put it into your hand. Shuffle the other cards back into your deck.
<br><br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,,,0.75,1.91,7.0,1.99,2.95,Normal,,,
133816,Trainers' Mail - 92a/108 (Holo),Trainers Mail 92a 108 Holo,https://tcgplayer-cdn.tcgplayer.com/product/133816_200w.jpg,3,1938,https://cpt.tcgcsv.com/lx52,2022-09-16T20:48:57.473,1,092a/108,Promo,Item,,,"Look at the top 4 cards of your deck. You may reveal a Trainer card you find there (except for Trainers' Mail) and put it into your hand. Shuffle the other cards back into your deck.
<br><br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,,,1.5,2.25,7.75,2.35,2.0,Holofoil,,,
148226,Premium Trainer's XY Collection,Premium Trainers XY Collection,https://tcgplayer-cdn.tcgplayer.com/product/148226_200w.jpg,3,1938,https://cpt.tcgcsv.com/xjc2,2018-03-30T17:58:24.163,1,,,,,,"The Pokemon TCG: Premium Trainer's XY Collection includes the following:
<br>• Full-art foil promo cards featuring Shaymin EX and Yveltal EX, with special art treatments!
<br>• 12 more full-art foil promo cards including Aegislash EX, Jirachi, N (Supporter), and more!
<br>• 2 Pokemon TCG booster packs from the XY Series
<br>• A metal coin featuring a Pikachu head and tail
<br>• 2 sets of 65 card sleeves featuring Xerneas and Yveltal
<br>• A double deck box featuring Xerneas and Yveltal
<br>• 2 sets of tournament-ready dice
<br>• A code card for the Pokemon Trading Card Game Online
<br>• A large, kickstand-style box to hold it all",,,,2204.98,2750.0,2999.99,1064.0,,Normal,,,
148339,Blacksmith - 88a/106,Blacksmith 88a 106,https://tcgplayer-cdn.tcgplayer.com/product/148339_200w.jpg,3,1938,https://cpt.tcgcsv.com/Plc2,2022-09-16T19:52:18.9,1,088a/106,Promo,Supporter,,,"Attach 2 Fire Energy cards from your discard pile to 1 of your Fire Pokémon.
<br><br>
You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,18.09,28.68,75.0,22.15,,Holofoil,,,
148340,Aegislash EX - 65a/119,Aegislash EX 65a 119,https://tcgplayer-cdn.tcgplayer.com/product/148340_200w.jpg,3,1938,https://cpt.tcgcsv.com/Qlc2,2022-11-01T16:35:23.177,1,065a/119,Promo,Metal,170,Basic,"<strong>Ability — Mighty Shield</strong>
<br>
Prevent all damage done to this Pokémon by attacks from each of your opponent's Pokémon that has Special Energy attached to it.","[3] Slash Blast (40+)
<br>
This attack does 20 more damage for each Metal Energy attached to this Pokemon.",Rx2,3,9.82,19.27,49.99,9.8,,Holofoil,P-20,,
148341,Delinquent - 98b/122 (Full Art),Delinquent 98b 122 Full Art,https://tcgplayer-cdn.tcgplayer.com/product/148341_200w.jpg,3,1938,https://cpt.tcgcsv.com/Rlc2,2023-09-02T05:35:01.03,1,098b/122,Promo,Supporter,,,"Discard any Stadium card in play. If you do, your opponent discards 3 cards from his or her hand.
<br><br>
You may play only 1 Supporter card during your turn <em>(before your attack)</em>",,,,37.49,51.29,69.99,51.29,,Holofoil,,,
148342,Hex Maniac - 75a/98,Hex Maniac 75a 98,https://tcgplayer-cdn.tcgplayer.com/product/148342_200w.jpg,3,1938,https://cpt.tcgcsv.com/Slc2,2022-11-23T15:30:41.53,1,075a/098,Promo,Supporter,,,"Until the end of your opponent's next turn, each Pokémon in play, in each player's hand, and in each player's discard pile has no Abilities. (This includes cards that come into play on that turn.)
<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,98.87,116.99,399.96,115.29,118.99,Holofoil,,,
148343,Jirachi - XY67a,Jirachi XY67a,https://tcgplayer-cdn.tcgplayer.com/product/148343_200w.jpg,3,1938,https://cpt.tcgcsv.com/Tlc2,2024-05-07T12:09:30.843,1,XY67a,Promo,Metal,60,Basic,,"[1] Stardust (10)
<br>Discard a Special Energy attached to your opponent's Active Pokémon. If you do, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Rx2,1,125.0,177.99,350.0,124.9,299.99,Holofoil,P-20,"[1M] Dream Dance (20)
<br>Both Active Pokémon are now Asleep.",
