productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
475425,Basic Grass Energy - 001,Basic Grass Energy 001,https://tcgplayer-cdn.tcgplayer.com/product/475425_200w.jpg,3,24382,https://cpt.tcgcsv.com/wbQ5,2025-08-08T20:23:00.543,1,001,Common,Basic Energy,0.01,0.09,19.95,0.04,,Normal
475426,Basic Fire Energy - 002,Basic Fire Energy 002,https://tcgplayer-cdn.tcgplayer.com/product/475426_200w.jpg,3,24382,https://cpt.tcgcsv.com/xbQ5,2025-08-08T20:22:35.62,1,002,Common,Basic Energy,0.01,0.09,19.95,0.05,0.03,Normal
475427,Basic Water Energy - 003,Basic Water Energy 003,https://tcgplayer-cdn.tcgplayer.com/product/475427_200w.jpg,3,24382,https://cpt.tcgcsv.com/zbQ5,2025-08-08T20:22:08.073,1,003,Common,Basic Energy,0.01,0.1,19.95,0.04,0.02,Normal
475428,Basic Lightning Energy - 004,Basic Lightning Energy 004,https://tcgplayer-cdn.tcgplayer.com/product/475428_200w.jpg,3,24382,https://cpt.tcgcsv.com/BbQ5,2025-08-08T20:20:12.04,1,004,Common,Basic Energy,0.01,0.09,19.95,0.03,,Normal
475429,Basic Psychic Energy - 005,Basic Psychic Energy 005,https://tcgplayer-cdn.tcgplayer.com/product/475429_200w.jpg,3,24382,https://cpt.tcgcsv.com/CbQ5,2025-08-08T20:19:58.723,1,005,Common,Basic Energy,0.01,0.09,19.95,0.05,0.03,Normal
475430,Basic Fighting Energy - 006,Basic Fighting Energy 006,https://tcgplayer-cdn.tcgplayer.com/product/475430_200w.jpg,3,24382,https://cpt.tcgcsv.com/DbQ5,2025-08-08T20:19:39.127,1,006,Common,Basic Energy,0.01,0.08,19.95,0.03,0.02,Normal
475430,Basic Fighting Energy - 006,Basic Fighting Energy 006,https://tcgplayer-cdn.tcgplayer.com/product/475430_200w.jpg,3,24382,https://cpt.tcgcsv.com/DbQ5,2025-08-08T20:19:39.127,1,006,Common,Basic Energy,0.01,3.5,5.25,2.56,,Holofoil
475431,Basic Darkness Energy - 007,Basic Darkness Energy 007,https://tcgplayer-cdn.tcgplayer.com/product/475431_200w.jpg,3,24382,https://cpt.tcgcsv.com/FbQ5,2025-08-08T20:19:13.23,1,007,Common,Basic Energy,0.01,0.1,19.95,0.04,,Normal
475432,Basic Metal Energy - 008,Basic Metal Energy 008,https://tcgplayer-cdn.tcgplayer.com/product/475432_200w.jpg,3,24382,https://cpt.tcgcsv.com/GbQ5,2025-08-08T20:18:59.78,1,008,Common,Basic Energy,0.01,0.08,19.95,0.03,0.01,Normal
517177,Basic Grass Energy (Cosmos Holo),Basic Grass Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517177_200w.jpg,3,24382,https://cpt.tcgcsv.com/zT86,2025-08-08T20:18:49.353,1,001,Common,Basic Energy,0.01,0.63,4.99,0.61,0.75,Holofoil
517178,Basic Fire Energy (Cosmos Holo),Basic Fire Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517178_200w.jpg,3,24382,https://cpt.tcgcsv.com/BT86,2025-08-08T20:18:36.283,1,002,Common,Basic Energy,0.15,0.66,4.99,0.59,,Holofoil
517179,Basic Water Energy (Cosmos Holo),Basic Water Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517179_200w.jpg,3,24382,https://cpt.tcgcsv.com/CT86,2025-08-08T20:18:28.6,1,003,Common,Basic Energy,0.14,0.52,9.95,0.45,0.44,Holofoil
517180,Basic Lightning Energy (Cosmos Holo),Basic Lightning Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517180_200w.jpg,3,24382,https://cpt.tcgcsv.com/DT86,2025-08-08T20:17:34.907,1,004,Common,Basic Energy,0.2,0.52,5.0,0.46,0.42,Holofoil
517181,Basic Psychic Energy (Cosmos Holo),Basic Psychic Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517181_200w.jpg,3,24382,https://cpt.tcgcsv.com/FT86,2025-08-08T20:17:23.41,1,005,Common,Basic Energy,0.19,0.65,4.99,0.54,0.65,Holofoil
517182,Basic Fighting Energy (Cosmos Holo),Basic Fighting Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517182_200w.jpg,3,24382,https://cpt.tcgcsv.com/GT86,2025-08-08T20:17:16.633,1,006,Common,Basic Energy,0.05,0.41,3.99,0.32,0.47,Holofoil
517183,Basic Darkness Energy (Cosmos Holo),Basic Darkness Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517183_200w.jpg,3,24382,https://cpt.tcgcsv.com/HT86,2025-08-08T20:16:25.847,1,007,Common,Basic Energy,0.1,0.75,5.95,0.63,,Holofoil
