productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRetreatCost,extCardText
83485,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83485_200w.jpg,3,1396,https://cpt.tcgcsv.com/KpH,2023-08-16T15:33:54.69,1,026/111,Uncommon,Colorless,40,Basic,"[1] Pilfer
<br>Shuffle Aipom and all cards attached to it into your deck. Flip a coin. If heads, shuffle a card from your discard pile into your deck.","[1] Tail Rap (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",F,P-30,2.17,2.98,6.25,2.84,1.7,1st Edition,,
83485,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83485_200w.jpg,3,1396,https://cpt.tcgcsv.com/KpH,2023-08-16T15:33:54.69,1,026/111,Uncommon,Colorless,40,Basic,"[1] Pilfer
<br>Shuffle Aipom and all cards attached to it into your deck. Flip a coin. If heads, shuffle a card from your discard pile into your deck.","[1] Tail Rap (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",F,P-30,0.66,1.45,5.0,1.72,,Unlimited,,
83534,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83534_200w.jpg,3,1396,https://cpt.tcgcsv.com/JqH,2022-11-22T14:38:54.833,1,001/111,Holo Rare,Lightning,80,Stage 2,"[LLL] Gigaspark (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,F,,51.69,64.79,150.0,54.67,,1st Edition Holofoil,2,
83534,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83534_200w.jpg,3,1396,https://cpt.tcgcsv.com/JqH,2022-11-22T14:38:54.833,1,001/111,Holo Rare,Lightning,80,Stage 2,"[LLL] Gigaspark (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,F,,15.0,20.19,29.0,22.98,13.58,Unlimited Holofoil,2,
83573,Arcade Game (Goldenrod Game Corner),Arcade Game Goldenrod Game Corner,https://tcgplayer-cdn.tcgplayer.com/product/83573_200w.jpg,3,1396,https://cpt.tcgcsv.com/trH,2025-04-16T11:21:15.25,1,083/111,Rare,Trainer,,,,,,,2.24,2.99,8.24,3.5,,1st Edition,,"Shuffle your deck, then reveal the top 3 cards of it. If at least 2 of those cards share the same name, put all of the ones with that name into your hand and shuffle the rest into your deck. If none of them do, shuffle all 3 into your deck."
83573,Arcade Game (Goldenrod Game Corner),Arcade Game Goldenrod Game Corner,https://tcgplayer-cdn.tcgplayer.com/product/83573_200w.jpg,3,1396,https://cpt.tcgcsv.com/trH,2025-04-16T11:21:15.25,1,083/111,Rare,Trainer,,,,,,,0.75,1.54,2.99,1.64,,Unlimited,,"Shuffle your deck, then reveal the top 3 cards of it. If at least 2 of those cards share the same name, put all of the ones with that name into your hand and shuffle the rest into your deck. If none of them do, shuffle all 3 into your deck."
83615,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83615_200w.jpg,3,1396,https://cpt.tcgcsv.com/ksH,2025-02-05T21:05:28.69,1,027/111,Uncommon,Grass,60,Stage 1,"[G] Spider Web
<br>Flip a coin. If heads, the Defending Pokémon can't retreat. <em>(Benching or evolving that Pokémon ends this effect.)</em>","[GGG] Poison Bite (20)
<br>If this attack damages the Defending Pokémon, the Defending Pokémon is now Poisoned and you remove a number of damage counters from Ariados equal to half that damage <em>(rounded up to the nearest 10)</em>. If Ariados has fewer damage counters than that, remove all of them.",R,,0.89,1.75,5.99,1.56,,1st Edition,1,
83615,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83615_200w.jpg,3,1396,https://cpt.tcgcsv.com/ksH,2025-02-05T21:05:28.69,1,027/111,Uncommon,Grass,60,Stage 1,"[G] Spider Web
<br>Flip a coin. If heads, the Defending Pokémon can't retreat. <em>(Benching or evolving that Pokémon ends this effect.)</em>","[GGG] Poison Bite (20)
<br>If this attack damages the Defending Pokémon, the Defending Pokémon is now Poisoned and you remove a number of damage counters from Ariados equal to half that damage <em>(rounded up to the nearest 10)</em>. If Ariados has fewer damage counters than that, remove all of them.",R,,0.19,0.56,501.5,0.68,0.47,Unlimited,1,
83678,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83678_200w.jpg,3,1396,https://cpt.tcgcsv.com/BtH,2022-11-22T14:43:02.553,1,002/111,Holo Rare,Water,70,Stage 1,[2] Tackle (20),"[WWW] Bubble Shower (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",L,,40.0,44.53,89.98,51.98,44.08,1st Edition Holofoil,1,
83678,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83678_200w.jpg,3,1396,https://cpt.tcgcsv.com/BtH,2022-11-22T14:43:02.553,1,002/111,Holo Rare,Water,70,Stage 1,[2] Tackle (20),"[WWW] Bubble Shower (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",L,,14.0,16.43,29.99,19.19,,Unlimited Holofoil,1,
