productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance,extAttack3
83492,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83492_200w.jpg,3,1399,https://cpt.tcgcsv.com/SpH,2023-12-11T21:14:42.67,1,43/95,Common,Colorless,50,Basic,[1] Tail Code - Move an Energy card attached to the Defending Pokemon to another of your opponent's Pokemon.,"[2] Tail Smash (30) Flip a coin.  If tails, this attack does nothing.",Fx2,1,0.09,0.29,0.89,0.25,0.2,Normal,,,
83492,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83492_200w.jpg,3,1399,https://cpt.tcgcsv.com/SpH,2023-12-11T21:14:42.67,1,43/95,Common,Colorless,50,Basic,[1] Tail Code - Move an Energy card attached to the Defending Pokemon to another of your opponent's Pokemon.,"[2] Tail Smash (30) Flip a coin.  If tails, this attack does nothing.",Fx2,1,0.2,0.99,9.99,1.18,,Reverse Holofoil,,,
83510,Alph Lithograph,Alph Lithograph,https://tcgplayer-cdn.tcgplayer.com/product/83510_200w.jpg,3,1399,https://cpt.tcgcsv.com/dqH,2016-01-13T17:53:33.713,1,TWO,Ultra Rare,Trainer,0,Trainer,Shuffle your deck.,,,,88.01,94.0,149.36,160.5,,Holofoil,,,
83772,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83772_200w.jpg,3,1399,https://cpt.tcgcsv.com/swH,2023-11-30T18:34:40.053,1,12/95,Rare,Grass,110,Stage 2,[G] Twineedle (50x) Flip 2 coins.  This attack does 50 damage times the number of heads.,"[1G] Paralyze Poison (20) The Defending Pokemon is now Poisoned.  Flip a coin.  If heads, the Defending Pokemon is also Paralyzed.",Rx2,0,0.5,0.99,1.77,1.24,,Normal,,,
83772,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83772_200w.jpg,3,1399,https://cpt.tcgcsv.com/swH,2023-11-30T18:34:40.053,1,12/95,Rare,Grass,110,Stage 2,[G] Twineedle (50x) Flip 2 coins.  This attack does 50 damage times the number of heads.,"[1G] Paralyze Poison (20) The Defending Pokemon is now Poisoned.  Flip a coin.  If heads, the Defending Pokemon is also Paralyzed.",Rx2,0,3.11,4.27,14.99,4.2,,Reverse Holofoil,,,
83791,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83791_200w.jpg,3,1399,https://cpt.tcgcsv.com/RwH,2023-12-11T21:14:49.26,1,44/95,Common,Psychic,60,Basic,[P] Reaction (10) You may switch Beldum with 1 of your Benched Pokemon.,,Px2,2,0.05,0.3,1.49,0.28,,Normal,,,
83791,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83791_200w.jpg,3,1399,https://cpt.tcgcsv.com/RwH,2023-12-11T21:14:49.26,1,44/95,Common,Psychic,60,Basic,[P] Reaction (10) You may switch Beldum with 1 of your Benched Pokemon.,,Px2,2,0.78,0.99,2.29,1.59,,Reverse Holofoil,,,
83895,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83895_200w.jpg,3,1399,https://cpt.tcgcsv.com/WzH,2023-11-30T18:36:09.68,1,13/95,Rare,Water,130,Stage 2,[2WW] Hydro Launcher - Return 2 W Energy attached to Blastoise to your hand.  Choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Lx2,3,4.5,6.35,7.93,7.23,,Normal,"Wash Out - As often as you like during your turn (before your attack), you may move a W Energy attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Blastoise is affected by a Special Condition.  (Poke-POWER)",,
83895,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83895_200w.jpg,3,1399,https://cpt.tcgcsv.com/WzH,2023-11-30T18:36:09.68,1,13/95,Rare,Water,130,Stage 2,[2WW] Hydro Launcher - Return 2 W Energy attached to Blastoise to your hand.  Choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Lx2,3,30.0,39.99,44.0,35.44,,Reverse Holofoil,"Wash Out - As often as you like during your turn (before your attack), you may move a W Energy attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Blastoise is affected by a Special Condition.  (Poke-POWER)",,
84022,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84022_200w.jpg,3,1399,https://cpt.tcgcsv.com/sDH,2023-12-11T21:19:49.35,1,45/95,Common,Water,60,Basic,"[W] Muddy Water (10) 
<br>Does 10 damage to 1 of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Lx2,1,0.1,0.29,1.49,0.28,,Normal,,None,
