productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
197738,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/197738_200w.jpg,3,2594,https://cpt.tcgcsv.com/N6C2,2021-12-22T09:59:01.53,1,SV1/SV94,Shiny Holo Rare,Grass,70,Basic,"[1] Twin Play
<br>Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.","[2] Agility (20)
<br>Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Rx2,None,1,4.22,5.95,19.4,5.78,5.85,Holofoil,,
197739,Rowlet,Rowlet,https://tcgplayer-cdn.tcgplayer.com/product/197739_200w.jpg,3,2594,https://cpt.tcgcsv.com/P6C2,2023-12-30T16:02:48.347,1,SV2/SV94,Shiny Holo Rare,Grass,60,Basic,[1] Tackle (10),[1G] Leafage (20),Rx2,None,1,2.22,3.39,9.99,3.31,4.99,Holofoil,,
197740,Dartrix,Dartrix,https://tcgplayer-cdn.tcgplayer.com/product/197740_200w.jpg,3,2594,https://cpt.tcgcsv.com/Q6C2,2023-01-11T22:03:54.123,1,SV3/SV94,Shiny Holo Rare,Grass,80,Stage 1,"[1] Sharp Blade Quill
<br>This attack does 20 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness or Resistance for Benched Pokemon.)</i>","[2G] Leaf Blade (50+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Rx2,None,1,1.0,2.13,5.0,2.25,1.99,Holofoil,,
197741,Wimpod,Wimpod,https://tcgplayer-cdn.tcgplayer.com/product/197741_200w.jpg,3,2594,https://cpt.tcgcsv.com/R6C2,2023-08-26T14:51:46.907,1,SV4/SV94,Shiny Holo Rare,Grass,70,Basic,[2G] Gnaw (30),,Rx2,None,3,0.89,1.89,9.95,1.79,1.75,Holofoil,"<strong>Ability — Wimp Out</strong>
<br>During your first turn, this Pokemon has no Retreat Cost.",
197743,Pheromosa,Pheromosa,https://tcgplayer-cdn.tcgplayer.com/product/197743_200w.jpg,3,2594,https://cpt.tcgcsv.com/T6C2,2021-06-09T13:02:01.86,1,SV5/SV94,Shiny Holo Rare,Grass,110,Basic,[1] High Jump Kick (20),"[2G] White Ray (90+)
<br>If you have only 1 Prize card remaining, this attack does 90 more damage.",Rx2,None,,4.4,7.05,15.95,6.91,7.02,Holofoil,,
197744,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/197744_200w.jpg,3,2594,https://cpt.tcgcsv.com/V6C2,2023-11-02T13:51:46.777,1,SV6/SV94,Shiny Holo Rare,Fire,70,Basic,"[1R] Fire Fang (20)
<br>Your opponent's Active Pokémon is now Burned.",,Wx2,None,2,11.81,14.7,74.85,13.73,13.79,Holofoil,,
197745,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/197745_200w.jpg,3,2594,https://cpt.tcgcsv.com/W6C2,2023-06-28T10:34:07.707,1,SV7/SV94,Shiny Holo Rare,Fire,80,Stage 1,"[1RR] Flamethrower (80)
<br>Discard an Energy from this Pokémon.",,Wx2,None,2,7.0,11.69,25.0,9.72,10.01,Holofoil,"<strong>Ability — Burning Fighter</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokemon.",
197762,Alolan Vulpix,Alolan Vulpix,https://tcgplayer-cdn.tcgplayer.com/product/197762_200w.jpg,3,2594,https://cpt.tcgcsv.com/g7C2,2024-05-22T08:48:19.083,1,SV8/SV94,Shiny Holo Rare,Water,60,Basic,"[0] Beacon 
<br>Search your deck for up to 2 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.",,Mx2,None,1,5.46,6.89,14.99,6.98,9.56,Holofoil,,
197763,Wooper,Wooper,https://tcgplayer-cdn.tcgplayer.com/product/197763_200w.jpg,3,2594,https://cpt.tcgcsv.com/h7C2,2022-08-15T12:42:39.357,1,SV9/SV94,Shiny Holo Rare,Water,70,Basic,[1] Ram (10),[1W] Rain Splash (20),Gx2,None,1,6.7,10.04,16.2,10.05,,Holofoil,,
197764,Quagsire,Quagsire,https://tcgplayer-cdn.tcgplayer.com/product/197764_200w.jpg,3,2594,https://cpt.tcgcsv.com/j7C2,2022-07-21T13:58:57.273,1,SV10/SV94,Shiny Holo Rare,Water,120,Stage 1,"[3] Hydro Pump (60+)
<br>This attack does 20 more damage for each Water Energy attached to this Pokemon.",,Gx2,None,2,5.0,7.5,14.99,6.97,8.98,Holofoil,"<strong>Ability — Wash Out</strong>
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a Water Energy from 1 of your Benched Pokemon to your Active Pokemon.",
197765,Froakie,Froakie,https://tcgplayer-cdn.tcgplayer.com/product/197765_200w.jpg,3,2594,https://cpt.tcgcsv.com/k7C2,2022-06-18T11:11:40.553,1,SV11/SV94,Shiny Holo Rare,Water,50,Basic,[2] Flop (20),,Gx2,None,1,2.17,4.02,14.55,3.97,6.51,Holofoil,"<strong>Ability — Frubbles</strong>
<br>If this Pokémon has any Water Energy attached to it, it has no Retreat Cost.",
197766,Frogadier,Frogadier,https://tcgplayer-cdn.tcgplayer.com/product/197766_200w.jpg,3,2594,https://cpt.tcgcsv.com/l7C2,2024-05-26T09:16:12.34,1,SV12/SV94,Shiny Holo Rare,Water,80,Stage 1,[W] Water Drip (20),,Gx2,None,1,1.88,3.0,8.99,3.01,2.98,Holofoil,"<strong>Ability — Gale Shuriken</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 2 damage counters on 1 of your opponent's Pokémon.",
197767,Voltorb,Voltorb,https://tcgplayer-cdn.tcgplayer.com/product/197767_200w.jpg,3,2594,https://cpt.tcgcsv.com/m7C2,2019-12-27T16:22:01.67,1,SV13/SV94,Shiny Holo Rare,Lightning,50,Basic,"[1L] Thunder Shock (20)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,Fx2,M-20,1,1.9,2.62,9.99,2.46,2.98,Holofoil,"<strong>Ability — Floating Electrons</strong>
<br>If this Pokémon has any Energy attached to it, it has no Retreat Cost.",
197768,Xurkitree,Xurkitree,https://tcgplayer-cdn.tcgplayer.com/product/197768_200w.jpg,3,2594,https://cpt.tcgcsv.com/n7C2,2022-05-11T15:21:02.523,1,SV14/SV94,Shiny Holo Rare,Lightning,120,Basic,"[L] Dazzle Blast (20)
<br>Your opponent's Active Pokémon is now Confused.","[1LL] Cablegram (100)
<br>If you have exactly 3 Prize cards remaining, your opponent's Active Pokémon is now Paralyzed.",Fx2,M-20,1,1.96,3.22,9.5,3.25,3.98,Holofoil,,
197769,Seviper,Seviper,https://tcgplayer-cdn.tcgplayer.com/product/197769_200w.jpg,3,2594,https://cpt.tcgcsv.com/p7C2,2021-09-14T13:21:17.48,1,SV15/SV94,Shiny Holo Rare,Psychic,100,Basic,"[2P] Venomous Fang (30)
<br>Your opponent's active Pokemon is now Poisoned.",,Px2,None,2,0.99,1.93,9.95,1.73,1.89,Holofoil,"<strong>Ability — More Poison</strong>
<br>Put 1 more damage counter on your opponent's Poisoned Pokemon between turns.",
197770,Leafeon GX,Leafeon GX,https://tcgplayer-cdn.tcgplayer.com/product/197770_200w.jpg,3,2594,https://cpt.tcgcsv.com/q7C2,2019-12-27T16:18:38.81,1,SV46/SV94,Shiny Holo Rare,Grass,200,Stage 1,[2G] Solar Beam (110),"<span style=""color:Teal""><strong>[G] Grand Bloom GX </strong>
<br>For each of your Benched Basic Pokemon, search your deck for a card that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,None,2,53.45,59.98,149.99,56.98,59.95,Holofoil,"<strong>Ability — Breath of the Leaves</strong>
<br>If this Pokémon is your Active Pokemon, once during your turn <em>(before your attack)</em>, you may heal 50 damage from 1 of your Pokemon that has any Energy attached to it.",
197771,Shuppet,Shuppet,https://tcgplayer-cdn.tcgplayer.com/product/197771_200w.jpg,3,2594,https://cpt.tcgcsv.com/r7C2,2024-11-09T11:22:52.67,1,SV16/SV94,Shiny Holo Rare,Psychic,60,Basic,[1] Headbutt (10),[1P] Will-O-Wisp (20),Dx2,F-20,1,1.2,2.09,25.0,1.91,2.49,Holofoil,,
197772,Inkay,Inkay,https://tcgplayer-cdn.tcgplayer.com/product/197772_200w.jpg,3,2594,https://cpt.tcgcsv.com/s7C2,2022-09-15T04:33:44.723,1,SV17/SV94,Shiny Holo Rare,,60,Basic,"[P] Hypnosis
<br>Your opponent's Active Pokémon is now Asleep.",,Px2,None,1,1.0,1.84,7.9,1.7,1.73,Holofoil,,
