productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRetreatCost,extCardText,extUPC
83767,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83767_200w.jpg,3,1434,https://cpt.tcgcsv.com/mwH,2022-11-25T20:49:15.4,1,18/75,Rare,Grass,80,Stage 2,"[G] Triple Poison (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned. Your opponent now puts 3 damage counters on it instead of 1 after each player's turn <em>(even if it was already Poisoned)</em>.","[1GG] Pin Missile (20x)
<br>Flip 4 coins. This attack does 20 times the number of heads.",R,F-30,15.98,17.82,23.4,18.58,,1st Edition,,,
83767,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83767_200w.jpg,3,1434,https://cpt.tcgcsv.com/mwH,2022-11-25T20:49:15.4,1,18/75,Rare,Grass,80,Stage 2,"[G] Triple Poison (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned. Your opponent now puts 3 damage counters on it instead of 1 after each player's turn <em>(even if it was already Poisoned)</em>.","[1GG] Pin Missile (20x)
<br>Flip 4 coins. This attack does 20 times the number of heads.",R,F-30,4.75,5.03,9.99,6.55,,Unlimited,,,
84061,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84061_200w.jpg,3,1434,https://cpt.tcgcsv.com/fFH,2022-11-25T20:50:55.063,1,19/75,Rare,Grass,80,Stage 2,"[1G] Magic Dust (20)
<br>Flip a coin. If heads, the Defending Pokémon is now either Asleep, Confused, Paralyzed, or Poisoned (your choice).","[1GG] Hyper Reverse
<br>Does 10 damage times the number of Energy attached to the Defending Pokémon. After doing damage, remove a number of damage counters from Butterfree equal to the amount of damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>.",R,F-30,10.0,12.2,16.2,11.43,,1st Edition,,,
84061,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84061_200w.jpg,3,1434,https://cpt.tcgcsv.com/fFH,2022-11-25T20:50:55.063,1,19/75,Rare,Grass,80,Stage 2,"[1G] Magic Dust (20)
<br>Flip a coin. If heads, the Defending Pokémon is now either Asleep, Confused, Paralyzed, or Poisoned (your choice).","[1GG] Hyper Reverse
<br>Does 10 damage times the number of Energy attached to the Defending Pokémon. After doing damage, remove a number of damage counters from Butterfree equal to the amount of damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>.",R,F-30,1.01,2.65,4.64,2.61,,Unlimited,,,
84133,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84133_200w.jpg,3,1434,https://cpt.tcgcsv.com/HGH,2025-02-05T21:10:32.86,1,53/75,Common,Grass,50,Basic,"[1] Spin Tackle (20)
<br>Caterpie does 10 damage to itself.",,R,,1.0,1.73,3.25,1.73,,1st Edition,1,,
84133,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84133_200w.jpg,3,1434,https://cpt.tcgcsv.com/HGH,2025-02-05T21:10:32.86,1,53/75,Common,Grass,50,Basic,"[1] Spin Tackle (20)
<br>Caterpie does 10 damage to itself.",,R,,0.14,0.59,2.5,0.7,,Unlimited,1,,
84437,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84437_200w.jpg,3,1434,https://cpt.tcgcsv.com/MNH,2023-06-26T09:59:34.023,1,37/75,Uncommon,Water,50,Basic,"[W] Recover
<br>Discard 1 Water Energy attached to Corsola or this attack does nothing. Remove all damage counters from Corsola.","[FF] Spike Cannon (30x)
<br>Flip 2 coins. This attack does 30 times the number of heads.",G,,1.5,2.66,2.99,2.96,,1st Edition,1,,
84437,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84437_200w.jpg,3,1434,https://cpt.tcgcsv.com/MNH,2023-06-26T09:59:34.023,1,37/75,Uncommon,Water,50,Basic,"[W] Recover
<br>Discard 1 Water Energy attached to Corsola or this attack does nothing. Remove all damage counters from Corsola.","[FF] Spike Cannon (30x)
<br>Flip 2 coins. This attack does 30 times the number of heads.",G,,0.5,1.19,2.5,1.68,,Unlimited,1,,
85007,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85007_200w.jpg,3,1434,https://cpt.tcgcsv.com/90J,2025-02-05T21:10:32.927,1,54/75,Common,Colorless,30,Basic,"[1] Glare (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,0.56,1.28,2.5,1.27,,1st Edition,,,
85007,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85007_200w.jpg,3,1434,https://cpt.tcgcsv.com/90J,2025-02-05T21:10:32.927,1,54/75,Common,Colorless,30,Basic,"[1] Glare (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,0.14,0.49,2.5,0.52,0.35,Unlimited,,,
85075,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85075_200w.jpg,3,1434,https://cpt.tcgcsv.com/w2J,2025-05-21T10:41:06.32,1,38/75,Uncommon,Colorless,50,Basic,[1] Smash Kick (10),,F,P-30,12.96,15.0,17.03,14.99,,1st Edition,1,"<strong>Pokémon Power: Energy Evolution</strong>Whenever you attach an Energy card to Eevee, flip a coin. If heads, search your deck for a card that evolves from Eevee that is the same type as the Energy card you attached to Eevee. Attach that card to Eevee. This counts as evolving Eevee. Shuffle your deck afterward. This power can't be used if Eevee is Asleep, Confused, or Paralyzed.",
85075,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85075_200w.jpg,3,1434,https://cpt.tcgcsv.com/w2J,2025-05-21T10:41:06.32,1,38/75,Uncommon,Colorless,50,Basic,[1] Smash Kick (10),,F,P-30,2.34,3.75,9.95,4.02,,Unlimited,1,"<strong>Pokémon Power: Energy Evolution</strong>Whenever you attach an Energy card to Eevee, flip a coin. If heads, search your deck for a card that evolves from Eevee that is the same type as the Energy card you attached to Eevee. Attach that card to Eevee. This counts as evolving Eevee. Shuffle your deck afterward. This power can't be used if Eevee is Asleep, Confused, or Paralyzed.",
85209,Energy Ark,Energy Ark,https://tcgplayer-cdn.tcgplayer.com/product/85209_200w.jpg,3,1434,https://cpt.tcgcsv.com/c6J,2025-02-05T21:10:32.97,1,75/75,Common,Trainer,,,,,,,0.2,0.56,4.99,0.56,,1st Edition,,"Flip 2 coins. For each heads, search your deck for a Basic Energy card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.",
