productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3,extUPC
83457,Absol G,Absol G,https://tcgplayer-cdn.tcgplayer.com/product/83457_200w.jpg,3,1384,https://cpt.tcgcsv.com/9pH,2022-09-01T07:02:10.443,1,1,Holo Rare,Darkness,70,Basic,"[D] Feint Attack - Chose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",[2D] Doom News - Return all Energy Cards attached to Absol G to your hand.  The Defending Pokemon is Knocked Out at the end of your opponent's next turn.,Fx2,P-20,1,9.79,16.99,19.99,15.87,,Holofoil,,,
83457,Absol G,Absol G,https://tcgplayer-cdn.tcgplayer.com/product/83457_200w.jpg,3,1384,https://cpt.tcgcsv.com/9pH,2022-09-01T07:02:10.443,1,1,Holo Rare,Darkness,70,Basic,"[D] Feint Attack - Chose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",[2D] Doom News - Return all Energy Cards attached to Absol G to your hand.  The Defending Pokemon is Knocked Out at the end of your opponent's next turn.,Fx2,P-20,1,7.62,9.0,39.0,15.29,,Reverse Holofoil,,,
83458,Absol G Lv.X,Absol G LvX,https://tcgplayer-cdn.tcgplayer.com/product/83458_200w.jpg,3,1384,https://cpt.tcgcsv.com/bpH,2023-06-14T11:35:49.133,1,141,Ultra Rare,Darkness,100,Level Up,"[1D] Darkness Slugger (30+) You may discard a card from your hand.  If you do, this attack does 30 damage plus 30 more damage.",,Fx2,P-20,1,45.0,59.99,99.99,54.95,99.99,Holofoil,"<b>Poke-POWER</b> Darkness Send 
<br>Once during your turn (before your attack), when you put Absol G LV.X from your hand onto your Active Absol G, you may flip 3 coins.  For each heads, put the top card from your opponent's deck into the Lost Zone.",,
83523,Altaria C,Altaria C,https://tcgplayer-cdn.tcgplayer.com/product/83523_200w.jpg,3,1384,https://cpt.tcgcsv.com/tqH,2022-09-21T18:12:27.227,1,49,Uncommon,Colorless,80,Basic,[2] Sing (20) The Defending Pokemon is now Asleep.,[2] Sonic Wing (30) This attack's damage isn't affected by Resistance.,Cx2,F-20,1,0.8,1.5,2.89,1.71,,Normal,,,
83523,Altaria C,Altaria C,https://tcgplayer-cdn.tcgplayer.com/product/83523_200w.jpg,3,1384,https://cpt.tcgcsv.com/tqH,2022-09-21T18:12:27.227,1,49,Uncommon,Colorless,80,Basic,[2] Sing (20) The Defending Pokemon is now Asleep.,[2] Sonic Wing (30) This attack's damage isn't affected by Resistance.,Cx2,F-20,1,2.35,3.97,5.59,4.12,,Reverse Holofoil,,,
83587,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83587_200w.jpg,3,1384,https://cpt.tcgcsv.com/MrH,2022-08-20T13:17:36.477,1,50,Uncommon,Fire,80,Stage 1,[2] Overrun (20) Does 10 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[3R] Combustion (40),W+20,,3,1.44,1.98,34.16,2.01,,Normal,,,
83587,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83587_200w.jpg,3,1384,https://cpt.tcgcsv.com/MrH,2022-08-20T13:17:36.477,1,50,Uncommon,Fire,80,Stage 1,[2] Overrun (20) Does 10 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[3R] Combustion (40),W+20,,3,6.0,6.99,9.76,10.98,,Reverse Holofoil,,,
83591,Arcanine G,Arcanine G,https://tcgplayer-cdn.tcgplayer.com/product/83591_200w.jpg,3,1384,https://cpt.tcgcsv.com/RrH,2023-06-23T14:13:04.81,1,15,Rare,Fire,90,Basic,[2R] Overrun (40) Does 20 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Wx2,,2,4.0,6.92,8.1,7.44,,Normal,Extreme Speed - Arcanine G's Retreat Cost is 1 less for each R Energy attached to Arcanine G.  (Poke-BODY),,
83591,Arcanine G,Arcanine G,https://tcgplayer-cdn.tcgplayer.com/product/83591_200w.jpg,3,1384,https://cpt.tcgcsv.com/RrH,2023-06-23T14:13:04.81,1,15,Rare,Fire,90,Basic,[2R] Overrun (40) Does 20 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Wx2,,2,4.49,5.6,6.71,7.8,,Reverse Holofoil,Extreme Speed - Arcanine G's Retreat Cost is 1 less for each R Energy attached to Arcanine G.  (Poke-BODY),,
83650,Articuno (16),Articuno 16,https://tcgplayer-cdn.tcgplayer.com/product/83650_200w.jpg,3,1384,https://cpt.tcgcsv.com/0tH,2021-12-27T21:20:09.707,1,16,Rare,Water,100,Basic,"[2W] Sharp Beak (30+) Flip a coin.  If heads, this attack does 30 damage plus 10 more damage.","[2WW] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",M+30,F-20,2,4.5,6.04,9.95,7.72,,Normal,,,
83650,Articuno (16),Articuno 16,https://tcgplayer-cdn.tcgplayer.com/product/83650_200w.jpg,3,1384,https://cpt.tcgcsv.com/0tH,2021-12-27T21:20:09.707,1,16,Rare,Water,100,Basic,"[2W] Sharp Beak (30+) Flip a coin.  If heads, this attack does 30 damage plus 10 more damage.","[2WW] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",M+30,F-20,2,5.83,12.49,504.82,11.24,,Reverse Holofoil,,,
83651,Articuno (148),Articuno 148,https://tcgplayer-cdn.tcgplayer.com/product/83651_200w.jpg,3,1384,https://cpt.tcgcsv.com/2tH,2015-02-25T19:36:15.15,1,148,Secret Rare,Water,70,Basic,"[WWW] Diamond Dust (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",,,F-30,1,149.98,216.67,1000.0,148.41,,Holofoil,,,
83717,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83717_200w.jpg,3,1384,https://cpt.tcgcsv.com/mvH,2015-02-25T18:33:44.24,1,89,Common,Psychic,50,Basic,[1] Spinning Attack (10),[2] Quick Turn (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,P+10,,1,0.1,0.69,1.77,0.87,,Normal,,,
83717,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83717_200w.jpg,3,1384,https://cpt.tcgcsv.com/mvH,2015-02-25T18:33:44.24,1,89,Common,Psychic,50,Basic,[1] Spinning Attack (10),[2] Quick Turn (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,P+10,,1,3.07,3.62,9.99,2.0,,Reverse Holofoil,,,
83742,Battle Tower,Battle Tower,https://tcgplayer-cdn.tcgplayer.com/product/83742_200w.jpg,3,1384,https://cpt.tcgcsv.com/SvH,2025-02-05T21:06:35.96,1,134,Uncommon,Stadium,0,Stadium,"Whenever any player plays any Pokemon from his or her hand to Level-Up his or her Pokemon, remove 4 damage counters on that Pokemon.",,,,,0.09,0.3,1.47,0.27,,Normal,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",,
