productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
98641,Pikachu - 42/146 (2014 Movie Promo),Pikachu 42 146 2014 Movie Promo,https://tcgplayer-cdn.tcgplayer.com/product/98641_200w.jpg,3,2374,https://cpt.tcgcsv.com/RsP,2022-09-26T20:55:59.1,1,042/146,Promo,Lightning,60,Basic,<em>(This Holo Promo Pikachu reprint was given out in 2014 during The Lego Movie.)</em>,"[1] Nuzzle 
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","[2] Quick attack (20+) 
<br>Flip a coin. If heads, this attack does 10 more damage.",Fx2,M-20,1,6.63,12.13,21.5,11.16,8.09,Holofoil,
108589,Ancient Mew,Ancient Mew,https://tcgplayer-cdn.tcgplayer.com/product/108589_200w.jpg,3,2374,https://cpt.tcgcsv.com/PrT,2023-09-03T04:32:20.833,1,1,Promo,Psychic,30,Basic,"Movie Promo, Not Tournament Legal",[PP] Psyche (40),,Px2,None,2,82.92,100.79,200.0,96.39,82.92,Holofoil,
123195,Cynthia's Feelings - 131/146 (Cosmos Holofoil),Cynthias Feelings 131 146 Cosmos Holofoil,https://tcgplayer-cdn.tcgplayer.com/product/123195_200w.jpg,3,2374,https://cpt.tcgcsv.com/Wh_,2022-09-26T20:42:53.953,1,131/146,Promo,Supporter,,,"<em>You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card.</em>
<br>
Shuffle your hand into your deck.  Then, draw 4 cards. If any of your Pokémon were Knocked Out during your opponent's last turn, draw 4 more cards.
<br>
<br><em>This cosmos holofoil version was found in the Diamond & Pearl Collection release.</em>",,,,,,18.74,21.36,26.99,27.45,9.99,Holofoil,
123633,Pikachu - 58/102 (E3 Stamped),Pikachu 58 102 E3 Stamped,https://tcgplayer-cdn.tcgplayer.com/product/123633_200w.jpg,3,2374,https://cpt.tcgcsv.com/Hs_,2023-09-20T19:22:01.973,1,058/102,Promo,Lightning,40,Basic,,[1] Gnaw (10),"[1L] Thunder Jolt (30)
<br>Flip a coin. If tails, Pikachu does 10 damage to itself.",F,,1,14.44,31.93,69.99,32.28,69.99,Normal,
123634,Pikachu - 58/102 (E3 Stamped with Red Cheeks),Pikachu 58 102 E3 Stamped with Red Cheeks,https://tcgplayer-cdn.tcgplayer.com/product/123634_200w.jpg,3,2374,https://cpt.tcgcsv.com/Js_,2022-09-26T20:56:36.097,1,058/102,Promo,Lightning,40,Basic,,[1] Gnaw (10),"[1L] Thunder Jolt (30)
<br>Flip a coin. If tails, Pikachu does 10 damage to itself.",F,,1,,,,,,,
125897,Pikachu - 58/102 (PokeTour 1999),Pikachu 58 102 PokeTour 1999,https://tcgplayer-cdn.tcgplayer.com/product/125897_200w.jpg,3,2374,https://cpt.tcgcsv.com/Zm02,2022-09-26T20:56:47.247,1,058/102,Promo,Lightning,40,Basic,,[1] Gnaw (10),"[1L] Thunder Jolt (30)
<br>Flip a coin. If tails, Pikachu does 10 damage to itself.",Fx2,,1,,,,,,,
126035,Litten - 24/149 (Water Web Holo),Litten 24 149 Water Web Holo,https://tcgplayer-cdn.tcgplayer.com/product/126035_200w.jpg,3,2374,https://cpt.tcgcsv.com/Kq02,2023-01-11T12:27:45.26,1,024/149,Promo,Fire,70,Basic,,[R] Bite (10),[1R] Flare (20),Wx2,,1,0.55,1.09,5.24,0.98,,Holofoil,
126036,Rowlet - 9/149 (Water Web Holo),Rowlet 9 149 Water Web Holo,https://tcgplayer-cdn.tcgplayer.com/product/126036_200w.jpg,3,2374,https://cpt.tcgcsv.com/Lq02,2022-09-26T20:59:08.753,1,009/149,Promo,Grass,60,Basic,,[1] Tackle (10),[1G] Leafage (20),Rx2,,1,0.9,1.32,2.5,1.8,,Holofoil,
126037,Popplio - 39/149 (Water Web Holo),Popplio 39 149 Water Web Holo,https://tcgplayer-cdn.tcgplayer.com/product/126037_200w.jpg,3,2374,https://cpt.tcgcsv.com/Mq02,2022-09-26T20:58:11.63,1,039/149,Promo,Water,70,Basic,,[W] Pound (10),[1W] Water Gun (20),Gx2,,1,0.74,0.86,4.49,1.01,0.79,Holofoil,
126211,Meowth - 56/64 (Gold Bordered Promo),Meowth 56 64 Gold Bordered Promo,https://tcgplayer-cdn.tcgplayer.com/product/126211_200w.jpg,3,2374,https://cpt.tcgcsv.com/fv02,2023-07-25T21:19:42.327,1,56/64,Promo,Colorless,50,Basic,,"[2] Pay Day (10)
<br>Flip a coin. If heads, draw a card.",,F,P-30,1,10.07,23.0,60.97,31.68,33.96,Normal,
131861,Alolan Vulpix - 21/145 (Toys R Us Promo),Alolan Vulpix 21 145 Toys R Us Promo,https://tcgplayer-cdn.tcgplayer.com/product/131861_200w.jpg,3,2374,https://cpt.tcgcsv.com/fM32,2022-10-07T03:40:38.403,1,021/145,Promo,Water,60,Basic,,"[0] Beacon 
<br>Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",[2] Icy Snow (20),Mx2,,1,9.0,12.69,19.99,11.34,9.99,Holofoil,
133824,Rowlet - 9/149 (Cosmos Holo),Rowlet 9 149 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/133824_200w.jpg,3,2374,https://cpt.tcgcsv.com/vx52,2022-12-07T20:13:41.31,1,009/149,Promo,Grass,60,Basic,,[1] Tackle (10),[1G] Leafage (20),Rx2,,1,0.29,0.74,2.0,1.24,,Holofoil,
133826,Litten - 24/149 (Cosmos Holo),Litten 24 149 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/133826_200w.jpg,3,2374,https://cpt.tcgcsv.com/xx52,2024-05-06T18:20:55.72,1,024/149,Promo,Fire,70,Basic,,[R] Bite (10),[1R] Flare (20),Wx2,,1,1.47,2.1,3.23,2.41,,Holofoil,
133827,Popplio - 39/149 (Cosmos Holo),Popplio 39 149 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/133827_200w.jpg,3,2374,https://cpt.tcgcsv.com/zx52,2022-09-26T20:58:05.587,1,039/149,Promo,Water,70,Basic,,[1] Pound (10),[1W] Water Gun (20),Gx2,,1,0.25,0.77,1.5,0.96,,Holofoil,
