productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
193436,Hidden Fates Tin [Gyarados GX],Hidden Fates Tin Gyarados GX,https://tcgplayer-cdn.tcgplayer.com/product/193436_200w.jpg,3,2480,https://cpt.tcgcsv.com/Lnz2,2019-06-28T19:39:18.48,1,"Each tin contains 1 Gyarados GX promo card, four Hidden Fates booster packs, and a PTCGO code card.",140.0,157.49,200.0,127.63,,Normal,,,,,,,,,,,,
193437,Hidden Fates Tin [Charizard GX],Hidden Fates Tin Charizard GX,https://tcgplayer-cdn.tcgplayer.com/product/193437_200w.jpg,3,2480,https://cpt.tcgcsv.com/Mnz2,2019-06-28T19:39:21.397,1,"Each tin contains 1 Charizard GX promo card, four Hidden Fates booster packs, and a PTCGO code card.",140.0,153.0,250.0,128.24,,Normal,,,,,,,,,,,,
193438,Hidden Fates Tin [Raichu GX],Hidden Fates Tin Raichu GX,https://tcgplayer-cdn.tcgplayer.com/product/193438_200w.jpg,3,2480,https://cpt.tcgcsv.com/Nnz2,2019-06-28T19:39:24.237,1,"Each tin contains 1 Raichu GX promo card, four Hidden Fates booster packs, and a PTCGO code card.",125.0,147.0,200.0,119.83,,Normal,,,,,,,,,,,,
193439,Hidden Fates Pin Collection [Mew],Hidden Fates Pin Collection Mew,https://tcgplayer-cdn.tcgplayer.com/product/193439_200w.jpg,3,2480,https://cpt.tcgcsv.com/Pnz2,2019-08-15T18:51:19.05,1,"Each Hidden Fates Pin Collection [Mew] contains:
<br>• 1 Promo card of Mew
<br>• 1 Collector's pin of Mew
<br>• 3 Hidden Fates Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",162.01,176.0,189.99,146.63,,Normal,820650804779,,,,,,,,,,,
193440,Hidden Fates Pin Collection [Mewtwo],Hidden Fates Pin Collection Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/193440_200w.jpg,3,2480,https://cpt.tcgcsv.com/Qnz2,2019-08-15T18:52:11.833,1,"Each Hidden Fates Pin Collection [Mewtwo] contains:
<br>• 1 Promo card of Mewtwo
<br>• 1 Collector's pin of Mewtwo
<br>• 3 Hidden Fates Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",159.97,162.01,200.0,144.46,,Normal,820650804779,,,,,,,,,,,
194729,Hidden Fates Elite Trainer Box,Hidden Fates Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/194729_200w.jpg,3,2480,https://cpt.tcgcsv.com/CVz2,2019-07-18T19:06:19.963,1,"<strong>Contents:</strong>
<br>• 10 Pokemon TCG: Hidden Fates booster packs 
<br>• A full-art foil promo card featuring Moltres & Zapdos & Articuno GX 
<br>• 65 card sleeves featuring Moltres & Zapdos & Articuno 
<br>• 45 Pokémon TCG Energy cards 
<br>• A player’s guide to the Hidden Fates expansion 
<br>• 6 damage-counter dice 
<br>• 1 competition-legal coin-flip die 
<br>• 2 acrylic condition markers and 1 acrylic TAG TEAM GX marker 
<br>• Doubles as a collector’s box—including 4 dividers to help keep it organized 
<br>• A code card for the Pokemon Trading Card Game Online",421.0,499.98,9999.98,423.87,,Normal,,,,,,,,,,,,
197643,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/197643_200w.jpg,3,2480,https://cpt.tcgcsv.com/T3C2,2024-07-26T19:23:20.837,1,,0.01,0.15,2.44,0.13,0.05,Normal,,1/68,Common,Grass,60,Basic,[G] Tackle (10),Rx2,None,1,,
197643,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/197643_200w.jpg,3,2480,https://cpt.tcgcsv.com/T3C2,2024-07-26T19:23:20.837,1,,0.05,0.27,1.75,0.27,,Reverse Holofoil,,1/68,Common,Grass,60,Basic,[G] Tackle (10),Rx2,None,1,,
197644,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/197644_200w.jpg,3,2480,https://cpt.tcgcsv.com/V3C2,2024-07-26T19:23:20.877,1,,0.02,0.15,1.49,0.11,0.05,Normal,,2/68,Uncommon,Grass,90,Stage 1,[1G] Tackle (30),Rx2,None,2,,
197644,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/197644_200w.jpg,3,2480,https://cpt.tcgcsv.com/V3C2,2024-07-26T19:23:20.877,1,,0.11,0.25,1.49,0.24,,Reverse Holofoil,,2/68,Uncommon,Grass,90,Stage 1,[1G] Tackle (30),Rx2,None,2,,
197645,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/197645_200w.jpg,3,2480,https://cpt.tcgcsv.com/W3C2,2024-07-26T19:23:20.9,1,,0.05,0.25,1.49,0.21,0.21,Normal,,3/68,Rare,Grass,130,Stage 2,[1G] Gust (80),Rx2,None,1,,
