productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,extUPC
185717,Unbroken Bonds Booster Box,Unbroken Bonds Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/185717_200w.jpg,3,2420,https://cpt.tcgcsv.com/mjv2,2019-04-10T18:04:38.007,1,Each Sun & Moon—Unbroken Bonds booster box contains 36 booster packs <em>(each containing random 10 cards)</em>.,2900.0,3025.0,8999.99,2195.76,,Normal,,,,,,,,,,,,
185718,Unbroken Bonds Booster Pack,Unbroken Bonds Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/185718_200w.jpg,3,2420,https://cpt.tcgcsv.com/njv2,2019-03-20T17:55:23.857,1,Each Sun & Moon—Unbroken Bonds booster pack contains 10 random cards.,54.0,64.99,79.99,51.54,,Normal,,,,,,,,,,,,
185719,Unbroken Bonds Elite Trainer Box,Unbroken Bonds Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/185719_200w.jpg,3,2420,https://cpt.tcgcsv.com/pjv2,2019-04-10T18:04:18.987,1,"<strong>Contents:</strong>
<br>• 8 Unbroken Bonds booster packs
<br>• 65 card sleeves
<br>• 45 Energy cards
<br>• A player's guide
<br>• 6 damage-counter dice
<br>• Competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic GX marker
<br>• A collector's box
<br>• 4 dividers
<br>• A Pokemon Trading Card Game Online code card",1999.99,2175.0,2350.0,1164.5,,Normal,,,,,,,,,,,,
188399,Unbroken Bonds Battle Minds Theme Deck - [Mewtwo],Unbroken Bonds Battle Minds Theme Deck Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/188399_200w.jpg,3,2420,https://cpt.tcgcsv.com/_mw2,2019-11-22T16:04:11.783,1,"<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",20.0,24.91,33.86,19.79,,Normal,,,,,,,,,,,,
188400,Unbroken Bonds Lightning Loop Theme Deck - [Zeraora],Unbroken Bonds Lightning Loop Theme Deck Zeraora,https://tcgplayer-cdn.tcgplayer.com/product/188400_200w.jpg,3,2420,https://cpt.tcgcsv.com/0nw2,2019-11-22T16:07:49.487,1,"<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",25.99,26.0,38.99,27.45,,Normal,,,,,,,,,,,,
188401,Pheromosa & Buzzwole GX,Pheromosa and Buzzwole GX,https://tcgplayer-cdn.tcgplayer.com/product/188401_200w.jpg,3,2420,https://cpt.tcgcsv.com/2nw2,2022-12-13T16:24:24.703,1,,8.99,11.4,99.69,10.73,10.21,Holofoil,1/214,Ultra Rare,Grass,260,Basic,"[G] Jet Punch (30)
<br>This attack does 30 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>","[1GG] Elegant Sole (190)
<br>During your next turn, this Pokemon's Elegant Sole attacks base damage is 60.","<span style=""color:DarkRed""><strong>[G+] Beast Game GX (50)</strong>
<br>If your opponent's Pokemon is Knocked Out by damage from this attack, take 1 more Prize card. If this Pokmeon has at least 7 extra Energy attached to it <em>(in addition to this attack's cost)</em>, take 3 more Prize cards instead. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,None,2,
188402,Beast Bringer,Beast Bringer,https://tcgplayer-cdn.tcgplayer.com/product/188402_200w.jpg,3,2420,https://cpt.tcgcsv.com/3nw2,2025-02-07T19:59:42.683,1,"If you have exactly 6 Prize cards remaining, and if your opponent's Active Pokemon GX or Pokemon EX is Knocked Out by damage from an attack of the Ultra Beast this card is attached to, take 1 more Prize card.",0.02,0.2,1.49,0.08,0.08,Normal,164/214,Uncommon,Item,,,,,,,,,
188402,Beast Bringer,Beast Bringer,https://tcgplayer-cdn.tcgplayer.com/product/188402_200w.jpg,3,2420,https://cpt.tcgcsv.com/3nw2,2025-02-07T19:59:42.683,1,"If you have exactly 6 Prize cards remaining, and if your opponent's Active Pokemon GX or Pokemon EX is Knocked Out by damage from an attack of the Ultra Beast this card is attached to, take 1 more Prize card.",0.09,0.28,1.49,0.21,,Reverse Holofoil,164/214,Uncommon,Item,,,,,,,,,
188403,Celesteela GX,Celesteela GX,https://tcgplayer-cdn.tcgplayer.com/product/188403_200w.jpg,3,2420,https://cpt.tcgcsv.com/5nw2,2022-12-13T17:11:34.693,1,"<strong>Ability — Force Canceler</strong>
<br>As long as this Pokemon is your Active Pokemon, prevent all effects of your opponent's GX attacks, including damage, done to your Pokemon.",1.9,2.46,6.89,2.21,,Holofoil,163/214,Ultra Rare,Colorless,200,Basic,"[3] Power Cyclone (110)
<br>Move an Energy from this Pokemon to 1 of your Benched Pokemon.","<span style=""color:DarkRed""><strong>[1] Discovery GX</strong>
<br>Count your Prize cards and put them them into your hand. Then, take that many cards from the top of your deck and put them face down as your Prize cards. If you don't have that many cards in your deck, this attack does nothing. <em>(You can't use more than 1 GX attack in a game.)</em></span>",,Lx2,F-20,4,
188404,Gardevoir & Sylveon GX,Gardevoir and Sylveon GX,https://tcgplayer-cdn.tcgplayer.com/product/188404_200w.jpg,3,2420,https://cpt.tcgcsv.com/6nw2,2022-12-13T17:03:42.907,1,,45.0,66.5,185.0,57.11,58.15,Holofoil,130/214,Ultra Rare,Fairy,260,Basic,"[1] Fairy Song
<br>Search your deck for up to 2 Fairy Energy cards and attach them to your Benched Pokemon in any way you like. Then, shuffle your deck.","[1YY] Kaleidostorm (150)
<br>Move any number of Energy from your Pokemon to your other Pokemon in any way you like.","<span style=""color:Teal""><strong>[YYY+] Magical Miracle GX (200)</strong>
<br>If this Pokemon has at least 3 extra Fairy Energy attached to it <em>(in addition to this attack's cost)</em>, your opponent shuffles their hand into their deck. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Mx2,D-20,2,
188405,Greninja & Zoroark GX,Greninja and Zoroark GX,https://tcgplayer-cdn.tcgplayer.com/product/188405_200w.jpg,3,2420,https://cpt.tcgcsv.com/7nw2,2022-12-13T17:00:12.557,1,,38.99,61.02,85.0,46.24,38.99,Holofoil,107/214,Ultra Rare,Darkness,250,Basic,"[1D] Dark Pulse (30+)
<br>This attack does 30 more damage times the amount of Darkness Energy attached to all of your Pokemon.","<span style=""color:Teal""><strong>[1D+] Dark Union GX</strong>
<br>Put 2 in any combination of Darkness Pokemon GX and Darkness Pokemon EX from your discard pile onto your Bench. If this Pokemon has at least 1 extra Energy attached to it <em>(in addition to this attack's cost)</em>, attach 2 Energy cards from your discard pile to each Pokemon that you put onto your Bench this way. <em>(You can't use more than 1 GX attack in a game.)</em></span>",,Fx2,P-20,2,
188406,Lucario & Melmetal GX,Lucario and Melmetal GX,https://tcgplayer-cdn.tcgplayer.com/product/188406_200w.jpg,3,2420,https://cpt.tcgcsv.com/8nw2,2023-03-07T12:23:47.567,1,,26.33,30.2,100.0,30.16,26.82,Holofoil,120/214,Ultra Rare,Metal,260,Basic,"[2] Steel Fist (50)
<br>Search your deck for a Metal Energy card and attach it to this Pokemon. Then, shuffle your deck.",[2MM] Heavy Impact (150),"<span style=""color:Teal""><strong>[1+] Full Metal Wall GX</strong>
<br>For the rest of this game, your Metal Pokemon take 30 less damage from your opponent's attacks <em>(after applying Weakness and Resistance)</em>. If this Pokemon has at least 1 extra Energy attached to it <em>(in addition to this attack's cost)</em>, discard all Energy from your opponent's Active Pokemon. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,P-20,3,
188407,Marshadow & Machamp GX,Marshadow and Machamp GX,https://tcgplayer-cdn.tcgplayer.com/product/188407_200w.jpg,3,2420,https://cpt.tcgcsv.com/9nw2,2022-12-13T16:56:19.853,1,,27.02,35.26,200.0,27.46,30.21,Holofoil,82/214,Ultra Rare,Fighting,270,Basic,"[1F] Revenge (30+)
<br>If any of your Pokemon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.",[1FF] Hundred-Blows Impact (160),"<span style=""color:Teal""><strong>[1FF+] Acme of Heroism GX (200)</strong>
<br>If this Pokemon has at least 1 extra Energy attached to it <em>(in addition to this attack's cost)</em>, and if it would be Knocked Out by damage from an opponent's attack during their next turn, it is not Knocked Out, and its remaining HP becomes 10. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Px2,None,3,
188408,Muk & Alolan Muk GX,Muk and Alolan Muk GX,https://tcgplayer-cdn.tcgplayer.com/product/188408_200w.jpg,3,2420,https://cpt.tcgcsv.com/bnw2,2023-08-29T15:16:25.19,1,,11.62,20.0,66.0,16.08,24.15,Holofoil,61/214,Ultra Rare,Psychic,270,Basic,"[2P] Severe Poison
<br>Your opponent's Active Pokemon is now Poisoned. Put 8 damage counters instead of 1 on that Pokemon between turns.","[3P] Poison Absorption (120)
<br>If your opponent's Active Pokemon is Poisoned, heal 100 damage from this Pokemon.","<span style=""color:Teal""><strong>[0+] Nasty Goo Mix GX</strong>
<br>Your opponent's Active Pokemon is now Paralyzed and Poisoned. If this Pokemon has at least 4 extra Energy attached to it <em>(in addition to this attack's cost)</em>, put 15 damage counters instead of 1 on that Pokemon between turns. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Px2,None,4,
188409,Reshiram & Charizard GX,Reshiram and Charizard GX,https://tcgplayer-cdn.tcgplayer.com/product/188409_200w.jpg,3,2420,https://cpt.tcgcsv.com/cnw2,2024-02-11T14:42:08.66,1,,32.0,55.0,170.0,45.64,46.49,Holofoil,20/214,Ultra Rare,Fire,270,Basic,"[1R] Outrage (30+)
<br>This attack does 10 more damage for each damage counter on this Pokemon.","[1RRR] Flare Strike (230)
<br>This Pokemon can't use Flare Strike during your next turn.","<span style=""color:Teal""><strong>[RRR+] Double Blaze GX (200+)</strong>
<br>If this Pokemon has at least 3 extra Fire Energy attached to it <em.(in addition to this attack's cost)</em>, this attack does 100 more damage, and this attack's damage isn't affected by any effects on your opponent's Active Pokemon. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Wx2,None,3,
188410,Unbroken Bonds 3 Pack Blister [Sceptile],Unbroken Bonds 3 Pack Blister Sceptile,https://tcgplayer-cdn.tcgplayer.com/product/188410_200w.jpg,3,2420,https://cpt.tcgcsv.com/dnw2,2019-04-10T19:09:50.33,1,"Each blister comes with 3 SM—Unbroken Bonds booster packs, a coin, and a promotional card of Sceptile.",243.98,245.99,249.99,143.63,,Normal,,,,,,,,,,,,
188411,Unbroken Bonds 3 Pack Blister [Typhlosion],Unbroken Bonds 3 Pack Blister Typhlosion,https://tcgplayer-cdn.tcgplayer.com/product/188411_200w.jpg,3,2420,https://cpt.tcgcsv.com/fnw2,2019-04-10T19:10:20.74,1,"Each blister comes with 3 SM—Unbroken Bonds booster packs, a coin, and a promotional card of Typhlosion.",243.98,243.98,243.98,131.86,,Normal,,,,,,,,,,,,
188412,Unbroken Bonds Single Pack Blister [Eevee],Unbroken Bonds Single Pack Blister Eevee,https://tcgplayer-cdn.tcgplayer.com/product/188412_200w.jpg,3,2420,https://cpt.tcgcsv.com/gnw2,2019-04-10T19:15:31.033,1,"Each blister comes with 1 SM—Unbroken Bonds booster packs, a coin, and a promotional card of Eevee.",76.98,81.95,89.0,57.06,,Normal,,,,,,,,,,,,
