productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extCardText,extAttack3,extUPC
146995,Crimson Invasion Booster Box,Crimson Invasion Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/146995_200w.jpg,3,2071,https://cpt.tcgcsv.com/WPb2,2017-11-03T15:07:57.163,1,474.99,587.48,1200.0,410.18,,Normal,,,,,,,,,,,,,
146996,Crimson Invasion Booster Pack,Crimson Invasion Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/146996_200w.jpg,3,2071,https://cpt.tcgcsv.com/XPb2,2017-10-30T14:39:04.553,1,11.98,16.72,42.99,13.42,,Normal,,,,,,,,,,,,,
149022,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/149022_200w.jpg,3,2071,https://cpt.tcgcsv.com/sDc2,2022-12-05T19:05:27.163,1,0.02,0.16,1.49,0.16,,Normal,1/111,Common,Grass,50,Basic,"[G] Poison Sting
<br>Your opponent's Active Pokemon is now Poisoned.",Rx2,None,1,,,,
149022,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/149022_200w.jpg,3,2071,https://cpt.tcgcsv.com/sDc2,2022-12-05T19:05:27.163,1,0.14,0.29,1.56,0.29,,Reverse Holofoil,1/111,Common,Grass,50,Basic,"[G] Poison Sting
<br>Your opponent's Active Pokemon is now Poisoned.",Rx2,None,1,,,,
149023,Kakuna,Kakuna,https://tcgplayer-cdn.tcgplayer.com/product/149023_200w.jpg,3,2071,https://cpt.tcgcsv.com/tDc2,2022-12-05T19:05:38.183,1,0.01,0.15,1.49,0.11,0.1,Normal,2/111,Uncommon,Grass,80,Stage 1,"[G] Multiply
<br>Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.",Rx2,None,2,,,,
149023,Kakuna,Kakuna,https://tcgplayer-cdn.tcgplayer.com/product/149023_200w.jpg,3,2071,https://cpt.tcgcsv.com/tDc2,2022-12-05T19:05:38.183,1,0.19,0.25,1.53,0.25,0.25,Reverse Holofoil,2/111,Uncommon,Grass,80,Stage 1,"[G] Multiply
<br>Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.",Rx2,None,2,,,,
149024,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/149024_200w.jpg,3,2071,https://cpt.tcgcsv.com/vDc2,2025-02-05T21:26:06.89,1,0.06,0.25,3.0,0.21,,Normal,3/111,Rare,Grass,120,Stage 2,"[G] Sudden Sting (10)
<br>If this Pokemon evolved from Kakuna during this turn, your opponent's Active Pokemon is now Paralyzed and Poisoned.",Rx2,None,0,[G] Sharp Sting (60),,,
149024,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/149024_200w.jpg,3,2071,https://cpt.tcgcsv.com/vDc2,2025-02-05T21:26:06.89,1,0.13,0.37,5.4,0.31,,Reverse Holofoil,3/111,Rare,Grass,120,Stage 2,"[G] Sudden Sting (10)
<br>If this Pokemon evolved from Kakuna during this turn, your opponent's Active Pokemon is now Paralyzed and Poisoned.",Rx2,None,0,[G] Sharp Sting (60),,,
149025,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/149025_200w.jpg,3,2071,https://cpt.tcgcsv.com/wDc2,2025-02-05T21:26:06.947,1,0.01,0.13,1.54,0.08,,Normal,4/111,Common,Grass,50,Basic,"[1] Hypnosis
<br>Your opponent's Active Pokemon is now Asleep.",Rx2,None,1,[G] Ram (10),,,
149025,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/149025_200w.jpg,3,2071,https://cpt.tcgcsv.com/wDc2,2025-02-05T21:26:06.947,1,0.08,0.25,1.49,0.24,,Reverse Holofoil,4/111,Common,Grass,50,Basic,"[1] Hypnosis
<br>Your opponent's Active Pokemon is now Asleep.",Rx2,None,1,[G] Ram (10),,,
149026,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/149026_200w.jpg,3,2071,https://cpt.tcgcsv.com/xDc2,2025-02-05T21:26:06.993,1,0.01,0.13,3.0,0.09,,Normal,5/111,Common,Grass,60,Basic,"[G] Sucker Punch (10+)
<br>If this Pokemon has any Darkness Energy attached to it, this attack does 30 more damage.",Rx2,None,1,,,,
149026,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/149026_200w.jpg,3,2071,https://cpt.tcgcsv.com/xDc2,2025-02-05T21:26:06.993,1,0.09,0.25,1.49,0.18,,Reverse Holofoil,5/111,Common,Grass,60,Basic,"[G] Sucker Punch (10+)
<br>If this Pokemon has any Darkness Energy attached to it, this attack does 30 more damage.",Rx2,None,1,,,,
149027,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/149027_200w.jpg,3,2071,https://cpt.tcgcsv.com/zDc2,2022-12-05T19:06:09.007,1,0.02,0.23,3.0,0.19,,Normal,6/111,Rare,Grass,110,Stage 1,"[G] Spike Rend (30+)
<br>If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage.",Rx2,None,2,"[1G] Hunt
<br>Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 40 damage to the new Active Pokemon.",,,
149027,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/149027_200w.jpg,3,2071,https://cpt.tcgcsv.com/zDc2,2022-12-05T19:06:09.007,1,0.15,0.4,1.49,0.32,0.42,Reverse Holofoil,6/111,Rare,Grass,110,Stage 1,"[G] Spike Rend (30+)
<br>If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage.",Rx2,None,2,"[1G] Hunt
<br>Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 40 damage to the new Active Pokemon.",,,
