productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance
83623,Armaldo ex (Non-Holo),Armaldo ex Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/83623_200w.jpg,3,1422,https://cpt.tcgcsv.com/tsH,2022-09-23T18:09:39.51,1,016/017,Ultra Rare,Fighting,160,Stage 2,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1F] Twin Blade
<br>Does 30 damage to each Defending Pokémon.","[3FF] Supersonic Claws (80)
<br>This attack's damage is not affected by Resistance.",GW,3,9.1,10.0,39.99,20.8,,Normal,
83756,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83756_200w.jpg,3,1422,https://cpt.tcgcsv.com/8wH,2022-09-23T18:10:45.793,1,006/017,Uncommon,Grass,100,Stage 2,,"[1G] Blot (30)
<br>Remove 1 damage counter from Beautifly.","[3] Whirlwind (40)
<br>Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.",R,,4.5,5.53,9.95,5.24,,Normal,
83905,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83905_200w.jpg,3,1422,https://cpt.tcgcsv.com/7BH,2022-09-23T18:12:01.257,1,001/017,Rare,Fire,110,Stage 2,,[1R] Fire Punch (40),"[3] Double Kick (50x)
<br>Flip 2 coins. This attack does 50 damage times the number of heads.",W,2,5.07,8.12,9.99,9.52,,Normal,
83905,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83905_200w.jpg,3,1422,https://cpt.tcgcsv.com/7BH,2022-09-23T18:12:01.257,1,001/017,Rare,Fire,110,Stage 2,,[1R] Fire Punch (40),"[3] Double Kick (50x)
<br>Flip 2 coins. This attack does 50 damage times the number of heads.",W,2,6.36,11.61,15.21,8.75,,Holofoil,
86636,Larvitar,Larvitar,https://tcgplayer-cdn.tcgplayer.com/product/86636_200w.jpg,3,1422,https://cpt.tcgcsv.com/LGJ,2022-09-23T18:12:38.047,1,011/017,Common,Fighting,40,Basic,,"[F] Sand Attack (10)
<br>If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,W,1,0.61,0.93,7.0,0.77,,Normal,
87245,Masquerain,Masquerain,https://tcgplayer-cdn.tcgplayer.com/product/87245_200w.jpg,3,1422,https://cpt.tcgcsv.com/WVJ,2022-09-23T18:13:44.11,1,007/017,Uncommon,Grass,70,Stage 1,,"[1] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage.",[2G] Gust (50),L,,4.49,4.55,4.6,4.26,,Normal,F
87336,Metagross,Metagross,https://tcgplayer-cdn.tcgplayer.com/product/87336_200w.jpg,3,1422,https://cpt.tcgcsv.com/LXJ,2022-09-23T18:14:40.783,1,002/017,Rare,Metal,100,Stage 2,,[1M] Metal Claw (30),"[4] Hyper Beam (50)
<br>Flip a coin. If heads, discard 1 energy attached to the Defending Pokémon.",R,3,2.5,4.79,7.75,4.49,,Normal,G
87336,Metagross,Metagross,https://tcgplayer-cdn.tcgplayer.com/product/87336_200w.jpg,3,1422,https://cpt.tcgcsv.com/LXJ,2022-09-23T18:14:40.783,1,002/017,Rare,Metal,100,Stage 2,,[1M] Metal Claw (30),"[4] Hyper Beam (50)
<br>Flip a coin. If heads, discard 1 energy attached to the Defending Pokémon.",R,3,2.9,4.18,10.0,3.98,,Holofoil,G
87483,Minun,Minun,https://tcgplayer-cdn.tcgplayer.com/product/87483_200w.jpg,3,1422,https://cpt.tcgcsv.com/H_J,2022-12-30T18:43:48.887,1,012/017,Common,Lightning,50,Basic,,"[L] Thunder Wave (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[2] Spark (10)
<br>Choose 2 of your opponent's Benched Pokémon. This attack does 10 damage to each of those Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",F,1,0.74,1.84,7.0,1.24,,Normal,M
87650,Murkrow,Murkrow,https://tcgplayer-cdn.tcgplayer.com/product/87650_200w.jpg,3,1422,https://cpt.tcgcsv.com/05K,2022-09-23T18:16:41.073,1,008/017,Uncommon,Darkness,60,Basic,"<strong>Poké-BODY — Insomnia</strong>
<br>
Murkrow can't be Asleep.","[2] Feint Attack
<br>Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.",,F,1,,,,,,,P
