productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
229276,Battle Styles Booster Pack,Battle Styles Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/229276_200w.jpg,3,2765,https://cpt.tcgcsv.com/xKR2,2021-03-19T04:03:23.62,1,Each Battle Styles booster pack contains 10 random cards.,5.7,7.0,10.99,6.81,,Normal,,,,,,,,,,,
229277,Battle Styles Booster Box,Battle Styles Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/229277_200w.jpg,3,2765,https://cpt.tcgcsv.com/zKR2,2021-03-19T04:03:23.62,1,Each Battle Styles booster box contains 36 booster packs. <em>(each pack contains 10 random cards)</em>,282.93,327.95,1500.0,288.49,,Normal,0820650818189,,,,,,,,,,
229278,Battle Styles Build & Battle Box,Battle Styles Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/229278_200w.jpg,3,2765,https://cpt.tcgcsv.com/BKR2,2021-04-14T13:00:13.227,1,"<strong>Build & Battle Box contents:</strong>
<br>• 23-card Evolution pack featuring key cards from current and prior expansions <em>(including 1 of 4 alternate-art promo cards)</em>
<br>• 4 Battle Styles booster packs
<br>• 1 deck-building tip sheet",55.95,59.99,62.0,37.28,,Normal,0820650808326,,,,,,,,,,
229279,Battle Styles Build & Battle Box Display,Battle Styles Build and Battle Box Display,https://tcgplayer-cdn.tcgplayer.com/product/229279_200w.jpg,3,2765,https://cpt.tcgcsv.com/CKR2,2023-05-03T19:15:36.807,1,"Each display contains 10 Battle Styles Build & Battle Boxes.
<br><strong>Build & Battle Box contents:</strong>
<br>• 23-card Evolution pack featuring key cards from current and prior expansions <em>(including 1 of 4 alternate-art promo cards)</em>
<br>• 4 Battle Styles booster packs
<br>• 1 deck-building tip sheet",394.95,397.99,500.0,,,Normal,0820650818325,,,,,,,,,,
229280,Battle Styles Single Pack Blister [Charmander],Battle Styles Single Pack Blister Charmander,https://tcgplayer-cdn.tcgplayer.com/product/229280_200w.jpg,3,2765,https://cpt.tcgcsv.com/DKR2,2021-03-19T04:03:23.62,1,"Each blister comes with 1 Battle Styles booster pack, a coin, and a promotional card of Charmander.",10.5,12.99,49.99,10.24,,Normal,,,,,,,,,,,
229281,Battle Styles Single Pack Blister [Arrokuda],Battle Styles Single Pack Blister Arrokuda,https://tcgplayer-cdn.tcgplayer.com/product/229281_200w.jpg,3,2765,https://cpt.tcgcsv.com/FKR2,2021-09-14T12:11:42.657,1,"Each blister comes with 1 Battle Styles booster pack, a coin, and a promotional card of Arrokuda.",6.5,11.49,14.75,8.31,,Normal,,,,,,,,,,,
229282,Battle Styles 3 Pack Blister [Jolteon],Battle Styles 3 Pack Blister Jolteon,https://tcgplayer-cdn.tcgplayer.com/product/229282_200w.jpg,3,2765,https://cpt.tcgcsv.com/GKR2,2021-03-19T04:03:23.62,1,"Each 3 Pack blister comes with 3 Battle Styles booster packs, 1 coin, and a promotional card of Jolteon.",39.94,40.0,65.99,30.23,,Normal,820650828324,,,,,,,,,,
229283,Battle Styles 3 Pack Blister [Eevee],Battle Styles 3 Pack Blister Eevee,https://tcgplayer-cdn.tcgplayer.com/product/229283_200w.jpg,3,2765,https://cpt.tcgcsv.com/HKR2,2021-03-19T04:03:23.62,1,"Each 3 Pack blister comes with 3 Battle Styles booster packs, 1 coin, and a promotional card of Eevee.",22.06,29.98,50.0,25.47,,Normal,820650828324,,,,,,,,,,
229284,Battle Styles Elite Trainer Box [Single Strike Urshifu] (Red),Battle Styles Elite Trainer Box Single Strike Urshifu Red,https://tcgplayer-cdn.tcgplayer.com/product/229284_200w.jpg,3,2765,https://cpt.tcgcsv.com/JKR2,2021-03-19T04:03:23.62,1,"THE POKÉMON TCG: SWORD & SHIELD — BATTLE STYLES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield — Battle Styles booster packs
<br>• 65 card sleeves featuring Gigantamax Single Strike Urshifu 
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield — Battle Styles expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",69.99,88.89,150.0,75.28,,Normal,0820650808357,,,,,,,,,,
229285,Battle Styles Elite Trainer Box [Rapid Strike Urshifu] (Blue),Battle Styles Elite Trainer Box Rapid Strike Urshifu Blue,https://tcgplayer-cdn.tcgplayer.com/product/229285_200w.jpg,3,2765,https://cpt.tcgcsv.com/KKR2,2021-03-19T04:03:23.62,1,"THE POKÉMON TCG: SWORD & SHIELD — BATTLE STYLES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield — Battle Styles booster packs
<br>• 65 card sleeves featuring Gigantamax Rapid Strike Urshifu 
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield — Battle Styles expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",94.98,107.66,174.94,76.13,,Normal,0820650808357,,,,,,,,,,
