productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3
98026,XY Roaring Skies Booster Box,XY Roaring Skies Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/98026_200w.jpg,3,1534,https://cpt.tcgcsv.com/xdP,2019-08-26T13:46:42.5,1,Pokemon roaring skies 36 sealed packs per Booster box.,4948.0,5149.98,19999.99,2799.44,,Normal,,,,,,,,,,,
98028,XY Roaring Skies Elite Trainer Box,XY Roaring Skies Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/98028_200w.jpg,3,1534,https://cpt.tcgcsv.com/BdP,2015-05-05T17:40:56.74,1,,3999.99,3999.99,3999.99,1973.75,,Normal,,,,,,,,,,,
98029,"Roaring Skies Theme Deck - ""Aurora Blast"" [Articuno]",Roaring Skies Theme Deck Aurora Blast Articuno,https://tcgplayer-cdn.tcgplayer.com/product/98029_200w.jpg,3,1534,https://cpt.tcgcsv.com/CdP,2018-10-03T13:56:06.677,1,"<em>Overwhelm your opponents with the shimmering majesty of the Aurora Blast theme deck! Let the Freeze Pokemon Articuno lead the way with a Freezing Wind, while Victini paralyzes the foe with a Psy Bolt or two! Then let Salamence swoop in with Power Howl and Steam Blast to ramp up your offense. Combine these with Swellow's Delta-Plus Ancient Trait for extra Prize Cards, and you can knock out your opponent's northern lights!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",56.99,58.0,59.99,56.0,,Normal,,,,,,,,,,,
98030,"Roaring Skies Theme Deck - ""Storm Rider"" [Zapdos]",Roaring Skies Theme Deck Storm Rider Zapdos,https://tcgplayer-cdn.tcgplayer.com/product/98030_200w.jpg,3,1534,https://cpt.tcgcsv.com/DdP,2018-10-03T13:58:47.577,1,"<em>The Storm Rider theme deck goes BOOM in more ways than one! Strike from above with bolts of lightning while keeping your opponent off balance with some twisty Grass-type tricks! Zapdos can bring the Raging Thunder while Dragonite makes a Heavy Impact - and picks up extra Prize cards with its Delta-Plus Ancient Trait! To really crank up the noise, call on Shedinja for a Hopeless Scream that can make your opponent howl in despair as you sound your victory cry!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",49.99,52.6,55.2,40.98,,Normal,,,,,,,,,,,
98031,Roaring Skies 3 Pack Blister [Pangoro],Roaring Skies 3 Pack Blister Pangoro,https://tcgplayer-cdn.tcgplayer.com/product/98031_200w.jpg,3,1534,https://cpt.tcgcsv.com/FdP,2018-10-10T17:02:58.997,1,"Each blister comes with 3 XY—Roaring Skies booster packs, 1 coin, and a promotional card of Pangoro.",,,,,,,,,,,,,,,,,
98032,Roaring Skies 3 Pack Blister [Regirock],Roaring Skies 3 Pack Blister Regirock,https://tcgplayer-cdn.tcgplayer.com/product/98032_200w.jpg,3,1534,https://cpt.tcgcsv.com/GdP,2018-10-10T17:03:09.727,1,"Each blister comes with 3 XY—Roaring Skies booster packs, 1 coin, and a promotional card of Regirock.",,,,,,,,,,,,,,,,,
98037,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/98037_200w.jpg,3,1534,https://cpt.tcgcsv.com/MdP,2024-01-28T10:44:01.773,1,,0.01,0.21,1.49,0.21,,Normal,1/108,Common,Grass,40,Basic,"[1] Loathe
<br>Flip a coin. If heads, switch this Pokemon with 1 of your Benched Pokemon.",[G] Ram (10),Rx2,None,1,
98037,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/98037_200w.jpg,3,1534,https://cpt.tcgcsv.com/MdP,2024-01-28T10:44:01.773,1,,0.14,0.45,2.0,0.56,,Reverse Holofoil,1/108,Common,Grass,40,Basic,"[1] Loathe
<br>Flip a coin. If heads, switch this Pokemon with 1 of your Benched Pokemon.",[G] Ram (10),Rx2,None,1,
98038,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/98038_200w.jpg,3,1534,https://cpt.tcgcsv.com/NdP,2022-12-19T20:03:30.937,1,,0.05,0.2,2.01,0.18,,Normal,2/108,Uncommon,Grass,120,Stage 1,"[G] Shake It Off (20x)
<br>This attack does 20 damage times the number of Colorless Pokemon your opponent has in play.",[2G] Seed Bomb (80),Rx2,None,3,
98038,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/98038_200w.jpg,3,1534,https://cpt.tcgcsv.com/NdP,2022-12-19T20:03:30.937,1,,0.1,0.42,4.95,0.42,0.61,Reverse Holofoil,2/108,Uncommon,Grass,120,Stage 1,"[G] Shake It Off (20x)
<br>This attack does 20 damage times the number of Colorless Pokemon your opponent has in play.",[2G] Seed Bomb (80),Rx2,None,3,
98039,Wurmple,Wurmple,https://tcgplayer-cdn.tcgplayer.com/product/98039_200w.jpg,3,1534,https://cpt.tcgcsv.com/PdP,2023-01-10T06:37:25.097,1,,0.03,0.2,1.49,0.18,,Normal,3/108,Common,Grass,60,Basic,"[G] Flock
<br>Search your deck for Wurmple and put it onto your Bench. Shuffle your deck afterward.",[2] Tackle (20),Rx2,None,1,
98039,Wurmple,Wurmple,https://tcgplayer-cdn.tcgplayer.com/product/98039_200w.jpg,3,1534,https://cpt.tcgcsv.com/PdP,2023-01-10T06:37:25.097,1,,0.05,0.32,2.0,0.31,,Reverse Holofoil,3/108,Common,Grass,60,Basic,"[G] Flock
<br>Search your deck for Wurmple and put it onto your Bench. Shuffle your deck afterward.",[2] Tackle (20),Rx2,None,1,
98040,Silcoon,Silcoon,https://tcgplayer-cdn.tcgplayer.com/product/98040_200w.jpg,3,1534,https://cpt.tcgcsv.com/QdP,2022-12-19T20:03:48.03,1,,0.04,0.22,2.25,0.21,0.21,Normal,4/108,Uncommon,Grass,80,Stage 1,"[G] String Shot (10)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,Rx2,None,3,
98040,Silcoon,Silcoon,https://tcgplayer-cdn.tcgplayer.com/product/98040_200w.jpg,3,1534,https://cpt.tcgcsv.com/QdP,2022-12-19T20:03:48.03,1,,0.21,0.48,2.0,0.51,,Reverse Holofoil,4/108,Uncommon,Grass,80,Stage 1,"[G] String Shot (10)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,Rx2,None,3,
98041,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/98041_200w.jpg,3,1534,https://cpt.tcgcsv.com/RdP,2022-12-19T20:04:00.67,1,"<b>Ability - </b>Miraculous Scales
<br>Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon EX.",0.25,0.69,3.0,0.69,,Holofoil,5/108,Holo Rare,Grass,130,Stage 2,"[2G] Whirlwind (80)
<br>You may have your opponent switch his or her Active Pokemon with 1 of his or her Benched Pokemon.",,Rx2,None,0,
98041,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/98041_200w.jpg,3,1534,https://cpt.tcgcsv.com/RdP,2022-12-19T20:04:00.67,1,"<b>Ability - </b>Miraculous Scales
<br>Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon EX.",0.19,0.6,2.0,0.61,,Reverse Holofoil,5/108,Holo Rare,Grass,130,Stage 2,"[2G] Whirlwind (80)
<br>You may have your opponent switch his or her Active Pokemon with 1 of his or her Benched Pokemon.",,Rx2,None,0,
98042,Cascoon,Cascoon,https://tcgplayer-cdn.tcgplayer.com/product/98042_200w.jpg,3,1534,https://cpt.tcgcsv.com/SdP,2022-12-19T20:04:14.92,1,,0.03,0.16,3.0,0.16,,Normal,6/108,Common,Grass,80,Stage 1,"[G] Poison Sting
<br>Your opponent's Active Pokemon is now Poisoned.","[2] Iron Defense
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.",Rx2,None,3,
98042,Cascoon,Cascoon,https://tcgplayer-cdn.tcgplayer.com/product/98042_200w.jpg,3,1534,https://cpt.tcgcsv.com/SdP,2022-12-19T20:04:14.92,1,,0.04,0.28,2.0,0.28,,Reverse Holofoil,6/108,Common,Grass,80,Stage 1,"[G] Poison Sting
<br>Your opponent's Active Pokemon is now Poisoned.","[2] Iron Defense
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.",Rx2,None,3,
98043,Dustox (7),Dustox 7,https://tcgplayer-cdn.tcgplayer.com/product/98043_200w.jpg,3,1534,https://cpt.tcgcsv.com/TdP,2025-02-07T20:23:17.167,1,,0.05,0.21,1.49,0.22,,Normal,7/108,Uncommon,Grass,140,Stage 2,"[2] Psybeam (30)
<br>Your opponent's Active Pokemon is now Confused.","[2GG] Twilight Poison (80)
<br>Your opponent's Active Pokemon is now Asleep and Poisoned.",Rx2,None,2,
98043,Dustox (7),Dustox 7,https://tcgplayer-cdn.tcgplayer.com/product/98043_200w.jpg,3,1534,https://cpt.tcgcsv.com/TdP,2025-02-07T20:23:17.167,1,,0.1,0.35,2.0,0.37,,Reverse Holofoil,7/108,Uncommon,Grass,140,Stage 2,"[2] Psybeam (30)
<br>Your opponent's Active Pokemon is now Confused.","[2GG] Twilight Poison (80)
<br>Your opponent's Active Pokemon is now Asleep and Poisoned.",Rx2,None,2,
98044,Dustox (8 Delta),Dustox 8 Delta,https://tcgplayer-cdn.tcgplayer.com/product/98044_200w.jpg,3,1534,https://cpt.tcgcsv.com/VdP,2025-02-07T20:23:17.263,1,"<b>Delta Plus</b> <em>If your opponent's Pokemon is Knocked Out by damage from an attack of this Pokemon, take 1 more Prize card.",0.2,0.66,4.04,0.68,,Normal,8/108,Rare,Grass,130,Stage 2,[G] Flap (20),"[2G] Wind Shard
<br>This attack does 50 damage to 1 of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Rx2,None,1,
98044,Dustox (8 Delta),Dustox 8 Delta,https://tcgplayer-cdn.tcgplayer.com/product/98044_200w.jpg,3,1534,https://cpt.tcgcsv.com/VdP,2025-02-07T20:23:17.263,1,"<b>Delta Plus</b> <em>If your opponent's Pokemon is Knocked Out by damage from an attack of this Pokemon, take 1 more Prize card.",0.69,1.5,3.98,1.89,,Reverse Holofoil,8/108,Rare,Grass,130,Stage 2,[G] Flap (20),"[2G] Wind Shard
<br>This attack does 50 damage to 1 of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Rx2,None,1,
98045,Nincada,Nincada,https://tcgplayer-cdn.tcgplayer.com/product/98045_200w.jpg,3,1534,https://cpt.tcgcsv.com/WdP,2022-12-19T20:04:46.487,1,,0.04,0.15,3.0,0.14,0.09,Normal,9/108,Common,Grass,40,Basic,"[1] Slight Intrusion (20)
<br>This Pokemon does 10 damage to itself.",,Rx2,None,1,
98045,Nincada,Nincada,https://tcgplayer-cdn.tcgplayer.com/product/98045_200w.jpg,3,1534,https://cpt.tcgcsv.com/WdP,2022-12-19T20:04:46.487,1,,0.09,0.3,2.0,0.3,,Reverse Holofoil,9/108,Common,Grass,40,Basic,"[1] Slight Intrusion (20)
<br>This Pokemon does 10 damage to itself.",,Rx2,None,1,
98046,Ninjask,Ninjask,https://tcgplayer-cdn.tcgplayer.com/product/98046_200w.jpg,3,1534,https://cpt.tcgcsv.com/XdP,2022-12-19T20:04:55.783,1,"<b>Ability -</b Wing Buzz
<br>Once during your turn <em>(before you attack)</b>, if this Pokemon is your Active Pokemon, you may discard a card from your hand. if you do, discard the top card of your opponent's deck.",0.05,0.23,1.49,0.21,0.21,Normal,10/108,Uncommon,Grass,70,Stage 1,"[1G] Afterimage Assault (30)
<br>Search your deck for up to 2 Ninjask and put them onto your bench. Shuffle your deck afterward.",,Rx2,None,0,
98046,Ninjask,Ninjask,https://tcgplayer-cdn.tcgplayer.com/product/98046_200w.jpg,3,1534,https://cpt.tcgcsv.com/XdP,2022-12-19T20:04:55.783,1,"<b>Ability -</b Wing Buzz
<br>Once during your turn <em>(before you attack)</b>, if this Pokemon is your Active Pokemon, you may discard a card from your hand. if you do, discard the top card of your opponent's deck.",0.15,0.49,2.0,0.48,,Reverse Holofoil,10/108,Uncommon,Grass,70,Stage 1,"[1G] Afterimage Assault (30)
<br>Search your deck for up to 2 Ninjask and put them onto your bench. Shuffle your deck afterward.",,Rx2,None,0,
