productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
284251,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/284251_200w.jpg,3,3172,https://cpt.tcgcsv.com/2Kh3,2024-11-29T02:10:26.407,1,TG03/TG30,Ultra Rare,Fire,170,Stage 2,"<strong>Ability — Battle Sense</strong>
<br>Once during your turn, you may look at the top 3 cards of your deck and put 1 of them into your hand. Discard the other cards.","[RR] Royal Blaze (100+)
<br>This attack does 50 more damage for each Leon in your discard pile.",Wx2,None,3,18.02,25.48,100.0,21.74,20.0,Holofoil,
284253,Parasect,Parasect,https://tcgplayer-cdn.tcgplayer.com/product/284253_200w.jpg,3,3172,https://cpt.tcgcsv.com/5Kh3,2024-10-15T14:31:47.953,1,TG01/TG30,Ultra Rare,Grass,120,Stage 1,"Ability — Lethargy Spores
<br>When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may make both Active Pokemon Asleep and Poisoned.","[1G] X-Scissor (50+)
<br>Flip a coin. If heads, this attack does 50 more damage.",Rx2,,2,1.0,1.99,999.99,1.67,,Holofoil,
284254,Roserade,Roserade,https://tcgplayer-cdn.tcgplayer.com/product/284254_200w.jpg,3,3172,https://cpt.tcgcsv.com/6Kh3,2025-02-07T20:17:37.91,1,TG02/TG30,Ultra Rare,Grass,120,Stage 1,,"[G] Poisonous Whip (30)
<br>Your opponent's Active Pokemon is now Poisoned.",Rx2,,1,1.0,2.0,999.99,1.89,2.39,Holofoil,"[1G] Assassin's Rose (60)
<br>If your opponent's Active Pokemon is affected by a Special Condition, this attack also does 60 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>"
284255,Chandelure,Chandelure,https://tcgplayer-cdn.tcgplayer.com/product/284255_200w.jpg,3,3172,https://cpt.tcgcsv.com/7Kh3,2022-09-09T04:03:39.38,1,TG04/TG30,Ultra Rare,Fire,150,Stage 2,"Ability — Mountain Toasting
<br>When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may discard the top 3 cards of your opponent's deck.",[1R] Heat Blast (90),Wx2,,2,0.5,2.29,15.0,2.32,3.0,Holofoil,
284258,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/284258_200w.jpg,3,3172,https://cpt.tcgcsv.com/bKh3,2024-06-23T04:22:34.613,1,TG05/TG30,Ultra Rare,Lightning,60,Basic,"Ability — Pika Dash
<br>If this Pokemon has any Energy attached, it has no Retreat Cost.","[2L] Whimsy Tackle (50)
<br>Flip a coin. If tails, this attack does nothing.",Fx2,,1,24.55,31.2,418.15,28.98,27.99,Holofoil,
284266,Gengar,Gengar,https://tcgplayer-cdn.tcgplayer.com/product/284266_200w.jpg,3,3172,https://cpt.tcgcsv.com/lKh3,2023-05-01T19:25:34.457,1,TG06/TG30,Ultra Rare,Psychic,120,Stage 2,"Ability — Netherworld Gate
<br>Once during your turn, if this Pokemon is in your discard pile, you may put it onto your Bench. If you do, put 3 damage counters on this Pokemon.","[P] Screaming Circle
<br>Put 2 damage counters on your opponent's Active Pokemon for each of your opponent's Benched Pokemon.",Dx2,F-30,2,34.2,50.21,104.99,45.23,34.2,Holofoil,
284267,Banette,Banette,https://tcgplayer-cdn.tcgplayer.com/product/284267_200w.jpg,3,3172,https://cpt.tcgcsv.com/mKh3,2025-02-07T20:17:37.97,1,TG07/TG30,Ultra Rare,Psychic,80,Stage 1,,"[P] Resolute Spike (20x)
<br>Put up to 7 damage counters on this Pokemon. This attack does 20 damage for each damage counter you placed in this way.",Dx2,F-30,1,1.0,2.22,999.99,2.32,2.89,Holofoil,"[1P] Eerie Light (50)
<br>Your opponent's Active Pokemon is now Confused."
284268,Hisuian Arcanine,Hisuian Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/284268_200w.jpg,3,3172,https://cpt.tcgcsv.com/nKh3,2022-09-20T12:43:44.003,1,TG08/TG30,Ultra Rare,Fighting,130,Stage 1,,"[0] Very Vulnerable (10+)
<br>If you have no cards in your hand, this attack does 150 more damage.",Gx2,,2,2.34,3.22,19.99,2.84,3.72,Holofoil,[2F] Sharp Fang (100)
284269,Spiritomb,Spiritomb,https://tcgplayer-cdn.tcgplayer.com/product/284269_200w.jpg,3,3172,https://cpt.tcgcsv.com/pKh3,2024-10-15T14:32:16.793,1,TG09/TG30,Ultra Rare,Darkness,60,Basic,"Ability — Cursed Message
<br>If this Pokemon is Knocked Out by damage from an attack from your opponent's Pokemon, search your deck for a card and put it into your hand. Then, shuffle your deck.","[DD] Chain of Spirits (10+)
<br>This attack does 60 more damage for each Spirittomb in your discard pile.",Gx2,,2,1.33,2.1,99.0,1.99,,Holofoil,
284270,Snorlax,Snorlax,https://tcgplayer-cdn.tcgplayer.com/product/284270_200w.jpg,3,3172,https://cpt.tcgcsv.com/qKh3,2024-02-20T18:26:49.893,1,TG10/TG30,Ultra Rare,Colorless,150,Basic,"Ability — Unfazed Fat
<br>Prevent all effects of attacks from your opponent's Pokemon done to this Pokemon. <em>(Damage is not an effect.)</em>","[3] Thumping Snore (180)
<br>This Pokemon is now Asleep. During Pokemon Checkup, flip 2 coins instead of 1. If either of them is tails, this Pokemon is still Asleep.",Fx2,,4,10.0,18.5,39.99,16.01,16.34,Holofoil,
