productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
170273,Celestial Storm Booster Box,Celestial Storm Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/170273_200w.jpg,3,2278,https://cpt.tcgcsv.com/t7n2,2018-07-25T17:58:48.97,1,"Pokemon: Sun & Moon – Celestial Storm Booster will contain over 160 cards, including 3 Prism Star cards introducing a new game mechanic, 11 Pokemon-GX (including Articuno-GX, Blaziken-GX, Scizor-GX, Stakataka-GX, and Rayquaza-GX), 3 Ultra beasts, 27 Trainer cards, and Rainbow Energy cards.  
<br><br>
<br>• Each pack contains 10 cards
<br>• There are 36 packs per display. 
<br>• Each carton contains 6 displays.",2850.0,2999.88,3499.99,1670.0,,Normal,,,,,,,,,,,,
170274,Celestial Storm Booster Pack,Celestial Storm Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/170274_200w.jpg,3,2278,https://cpt.tcgcsv.com/v7n2,2018-07-25T17:58:54.83,1,"Pokemon: Sun & Moon – Celestial Storm Booster will contain over 160 cards, including 3 Prism Star cards introducing a new game mechanic, 11 Pokemon-GX (including Articuno-GX, Blaziken-GX, Scizor-GX, Stakataka-GX, and Rayquaza-GX), 3 Ultra beasts, 27 Trainer cards, and Rainbow Energy cards. 
<br>

<br>• Each pack contains 10 cards 
<br>• There are 36 packs per display. 
<br>• Each carton contains 6 displays.",43.0,59.49,65.11,43.57,,Normal,,,,,,,,,,,,
170275,Celestial Storm 3 Pack Booster Blister [Tapu Koko],Celestial Storm 3 Pack Booster Blister Tapu Koko,https://tcgplayer-cdn.tcgplayer.com/product/170275_200w.jpg,3,2278,https://cpt.tcgcsv.com/w7n2,2018-10-10T15:14:39.64,1,"3 Pack Blister includes 3 Sun & Moon Celestial Storm Booster Packs, a promotional foil Tapu Koko, and a collectible Pokemon coin! Each pack contains 10 cards.",,,,,,,,,,,,,,,,,,
170276,Celestial Storm 3 Pack Booster Blister [Tapu Lele],Celestial Storm 3 Pack Booster Blister Tapu Lele,https://tcgplayer-cdn.tcgplayer.com/product/170276_200w.jpg,3,2278,https://cpt.tcgcsv.com/x7n2,2018-10-10T15:14:30.34,1,"3 Pack Blister includes 3 Sun & Moon Celestial Storm Booster Packs, a promotional foil Tapu Lele, and a collectible Pokemon coin! Each pack contains 10 cards.",,,,,,,,,,,,,,,,,,
170277,Celestial Storm Elite Trainer Box,Celestial Storm Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/170277_200w.jpg,3,2278,https://cpt.tcgcsv.com/z7n2,2018-07-25T17:58:59.367,1,"Nature's Wrath in Full Fury!
<br><br>
Watch out for the vortex! It's a season of furious emerald storms and a sky alive with portents, as Pokemon and creatures from Ultra Space clash. Some ride the storm, and others defy it, with a lineup including Articuno-GX, Blaziken-GX, Scizor-GX, Stakataka-GX, and the amazing Rayquaza-GX, plus new cards featuring Latios, Latias, and Jirachi. Face the winds of change head-on in the Pokemon TCG: Sun & Moon - Celestial Storm!
<br><br>
<strong>Contents:</strong>
<br>• 8 Celestial Storm booster packs
<br>• 65 card sleeves featuring Rayquaza
<br>• 45 Energy cards
<br>• A player's guide
<br>• 6 damage-counter dice
<br>• Competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic GX marker
<br>• A collector's box
<br>• 4 dividers
<br>• A Pokemon Trading Card Game Online code card",1280.0,1999.99,2000.0,1022.8,,Normal,,,,,,,,,,,,
170278,"Celestial Storm Theme Deck - ""Leaf Charge"" [Sceptile]",Celestial Storm Theme Deck Leaf Charge Sceptile,https://tcgplayer-cdn.tcgplayer.com/product/170278_200w.jpg,3,2278,https://cpt.tcgcsv.com/B7n2,2021-02-17T16:02:29.41,1,"Watch out for the vortex! It's a season of furious emerald storms and a sky alive with portents, as Pokemon and creatures from Ultra Space clash. Some ride the storm, and others defy it, with a lineup including Articuno GX, Blaziken GX, Scizor GX, Stakataka GX, and the amazing Rayquaza GX, plus new cards featuring Latios, Latias and Jirachi. Face the winds of change head-on in the Pokemon TCG: Sun & Moon-Celestial Storm expansion! 
<br><br>
<strong>Contents:</strong>
<br>• 60-card preconstructed deck",35.0,47.9,55.0,40.78,,Normal,,,,,,,,,,,,
170279,"Celestial Storm Theme Deck - ""Hydro Fury"" [Swampert]",Celestial Storm Theme Deck Hydro Fury Swampert,https://tcgplayer-cdn.tcgplayer.com/product/170279_200w.jpg,3,2278,https://cpt.tcgcsv.com/C7n2,2021-02-17T16:02:23.04,1,"Watch out for the vortex! It's a season of furious emerald storms and a sky alive with portents, as Pokemon and creatures from Ultra Space clash. Some ride the storm, and others defy it, with a lineup including Articuno GX, Blaziken GX, Scizor GX, Stakataka GX, and the amazing Rayquaza GX, plus new cards featuring Latios, Latias and Jirachi. Face the winds of change head-on in the Pokemon TCG: Sun & Moon-Celestial Storm expansion! 
<br><br>
<strong>Contents:</strong>
<br>• 60-card preconstructed deck",39.99,50.0,60.0,43.74,,Normal,,,,,,,,,,,,
170280,Celestial Storm Build & Battle Box,Celestial Storm Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/170280_200w.jpg,3,2278,https://cpt.tcgcsv.com/D7n2,2024-12-23T18:06:01.317,1,"Each Pokémon TCG: Sun & Moon - Celestial Storm Build & Battle Box includes: 
<br>• A 23-card Evolution pack featuring key cards from current and prior sets, including 1 of 4 alternate-art promo cards 
<br>• 4 Pokémon TCG: Sun & Moon - Celestial Storm booster packs 
<br>• 1 deck-building tip sheet",257.97,257.99,258.0,163.74,,Normal,0820650824531,,,,,,,,,,,
170806,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/170806_200w.jpg,3,2278,https://cpt.tcgcsv.com/8ln2,2022-12-06T15:19:35.37,1,,0.04,0.21,2.0,0.19,,Normal,,1/168,Common,Grass,60,Basic,"[1G] Blot (20)
<br>Heal 10 damage from this Pokémon.",Rx2,None,1,,
170806,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/170806_200w.jpg,3,2278,https://cpt.tcgcsv.com/8ln2,2022-12-06T15:19:35.37,1,,0.16,0.5,1.0,0.5,,Reverse Holofoil,,1/168,Common,Grass,60,Basic,"[1G] Blot (20)
<br>Heal 10 damage from this Pokémon.",Rx2,None,1,,
