productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
176625,Fighting Energy (2004-2005),Fighting Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176625_200w.jpg,3,2332,https://cpt.tcgcsv.com/wGq2,2018-09-13T19:39:46.237,1,105/109,Promo,Energy,6.3,13.75,19.95,13.94,,Normal,,,,,,,,
176626,Fire Energy (2004-2005),Fire Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176626_200w.jpg,3,2332,https://cpt.tcgcsv.com/xGq2,2018-09-13T19:40:20.023,1,108/109,Promo,Energy,8.0,15.8,29.24,8.18,,Normal,,,,,,,,
176627,Grass Energy (2004-2005),Grass Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176627_200w.jpg,3,2332,https://cpt.tcgcsv.com/zGq2,2018-09-13T19:41:18,1,104/109,Promo,Energy,9.94,16.88,21.24,17.7,,Normal,,,,,,,,
176628,Lightning Energy (2004-2005),Lightning Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176628_200w.jpg,3,2332,https://cpt.tcgcsv.com/BGq2,2018-09-13T19:42:29.04,1,109/109,Promo,Energy,18.0,27.19,39.0,24.72,27.19,Normal,,,,,,,,
176629,Prof. Oak's Research (2004-2005),Prof Oaks Research 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176629_200w.jpg,3,2332,https://cpt.tcgcsv.com/CGq2,2018-09-13T19:45:58.427,1,98/112,Promo,Supporter,119.99,247.48,251.66,,,Normal,"Shuffle your hand into your deck, then draw 5 cards.",,,,,,,
176630,Professor Birch (2006),Professor Birch 2006,https://tcgplayer-cdn.tcgplayer.com/product/176630_200w.jpg,3,2332,https://cpt.tcgcsv.com/DGq2,2018-09-13T19:49:15.107,1,82/106,Promo,Supporter,69.25,84.99,149.9,45.99,,Holofoil,Draw cards from your deck until you have 6 cards in your hand.,,,,,,,
176631,Professor Oak's Visit (2008-2009),Professor Oaks Visit 2008 2009,https://tcgplayer-cdn.tcgplayer.com/product/176631_200w.jpg,3,2332,https://cpt.tcgcsv.com/FGq2,2022-03-28T16:30:49.38,1,122/132,Promo,Supporter,19.47,19.48,38.24,19.69,,Normal,"Draw 3 cards. Then, choose a card from your hand and put it on the bottom of your deck.",,,,,,,
176632,Professor Juniper - 98/108 (2013),Professor Juniper 98 108 2013,https://tcgplayer-cdn.tcgplayer.com/product/176632_200w.jpg,3,2332,https://cpt.tcgcsv.com/GGq2,2020-08-11T13:26:10.06,1,98/108,Promo,Supporter,9.99,17.92,28.99,17.35,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
176633,Professor Juniper - 101/114 (2013),Professor Juniper 101 114 2013,https://tcgplayer-cdn.tcgplayer.com/product/176633_200w.jpg,3,2332,https://cpt.tcgcsv.com/HGq2,2020-08-12T14:53:10.173,1,101/114,Promo,Supporter,12.67,14.75,15.62,15.76,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
176634,Professor Rowan (2007),Professor Rowan 2007,https://tcgplayer-cdn.tcgplayer.com/product/176634_200w.jpg,3,2332,https://cpt.tcgcsv.com/JGq2,2018-09-13T19:55:06.757,1,112/130,Promo,Supporter,17.12,17.12,17.12,24.95,,Normal,"Choose 1 card in your hand and shuffle the rest of your cards into your deck. Then, draw 4 cards. (If this is the only card in your hand, you can't play this card.)",,,,,,,
176636,Water Energy (2004-2005),Water Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176636_200w.jpg,3,2332,https://cpt.tcgcsv.com/LGq2,2018-09-13T19:57:49.55,1,106/109,Promo,Energy,15.94,19.0,20.0,19.75,,Normal,,,,,,,,
176637,Psychic Energy (2004-2005),Psychic Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176637_200w.jpg,3,2332,https://cpt.tcgcsv.com/MGq2,2018-09-13T19:58:23.367,1,107/109,Promo,Energy,14.99,22.75,38.5,18.72,,Normal,,,,,,,,
176638,Professor Sycamore (2015),Professor Sycamore 2015,https://tcgplayer-cdn.tcgplayer.com/product/176638_200w.jpg,3,2332,https://cpt.tcgcsv.com/NGq2,2022-03-28T16:32:19.66,1,122/146,Promo,Supporter,13.12,14.99,20.0,14.99,13.12,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
