productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance,extAttack3
84616,Dark Ivysaur - 6,Dark Ivysaur 6,https://tcgplayer-cdn.tcgplayer.com/product/84616_200w.jpg,3,1455,https://cpt.tcgcsv.com/lSH,2025-01-15T13:59:34.26,1,006/009,Promo,Grass,50,Stage 1,"<strong>Poké-BODY — Vine Pull</strong>
<br>
One during your turn when Dark Ivysaur retreats, choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.","[GG] Fury Strikes 
<br>
Your opponent puts 3 markers onto his or her Pokémon (divided as he or she chooses). <em>(More than 1 marker can be put on the same Pokémon.)</em> Then, this attack does 10 damage to each Pokémon for each marker on it. Don't apply Weakness and Resistance. Remove the markers at the end of the turn.",R,2,24.99,32.84,34.69,23.95,16.9,Normal,,,
84666,Dark Venusaur - 7,Dark Venusaur 7,https://tcgplayer-cdn.tcgplayer.com/product/84666_200w.jpg,3,1455,https://cpt.tcgcsv.com/lTH,2022-09-16T14:49:39.703,1,007/009,Promo,Grass,70,Stage 2,,"[GGG] Horrid Pollen (30) 
<br>
Flip 2 coins. If 1 is heads, the Defending Pokémon is now Asleep and Poisoned. If both are heads, the Defending Pokémon is now Confused and Poisoned. If both are tails, the Defending Pokémon is now Paralyzed and Poisoned.",R,2,95.0,105.0,109.98,92.47,,Normal,,,
85106,Electabuzz - 1,Electabuzz 1,https://tcgplayer-cdn.tcgplayer.com/product/85106_200w.jpg,3,1455,https://cpt.tcgcsv.com/83J,2022-09-16T14:49:54.7,1,001/009,Promo,Lightning,70,Basic,,"[L] Thundershock (10) 
<br>Flip a coin. If heads, defender is now Paralyzed.",F,2,19.0,24.97,29.99,18.72,,Reverse Holofoil,"[1L] Thunderpunch (30+) 
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage. If tails, this attack does 30 damage and Electabuzz does 10 damage to itself.",,
86098,Hitmonchan - 2,Hitmonchan 2,https://tcgplayer-cdn.tcgplayer.com/product/86098_200w.jpg,3,1455,https://cpt.tcgcsv.com/-rJ,2022-09-16T14:50:07.037,1,002/009,Promo,Fighting,60,Basic,,[F] Jab (20),P,2,15.38,30.0,37.99,24.41,,Reverse Holofoil,[1FF] Special Punch (40),,
88387,Professor Elm - 3,Professor Elm 3,https://tcgplayer-cdn.tcgplayer.com/product/88387_200w.jpg,3,1455,https://cpt.tcgcsv.com/MmK,2022-09-16T14:50:20.54,1,003/009,Promo,Trainer,,,"Shuffle your hand into your deck. Then, draw 7 cards. You can't play any more Trainer cards this turn.",,,,9.0,10.41,14.99,13.07,,Reverse Holofoil,,,
88786,Rocket's Scizor - 4,Rockets Scizor 4,https://tcgplayer-cdn.tcgplayer.com/product/88786_200w.jpg,3,1455,https://cpt.tcgcsv.com/LwK,2023-06-17T15:36:57.027,1,004/009,Promo,Metal,60,Basic,,"[1] Focus 
<br>During your next turn, Rocket's Scizor's Agility attack's damage is doubled.",R,2,21.0,26.97,49.79,24.98,16.0,Normal,"[2M] Agility (20) 
<br>Flip a coin. If heads, during your opponent's next turn, prevent all effects, including damage, done to Rocket's Scizor.",G,
88793,Rocket's Sneasel - 5,Rockets Sneasel 5,https://tcgplayer-cdn.tcgplayer.com/product/88793_200w.jpg,3,1455,https://cpt.tcgcsv.com/TwK,2022-09-16T14:49:13.247,1,005/009,Promo,Darkness,60,Basic,,"[D] Entrap 
<br>The Defending Pokémon can't retreat during your opponent's next turn.",F,1,12.0,15.27,24.99,10.25,,Normal,"[2] Continuous Scratch (10x) 
<br>Flip 4 coins. This attack does 10 damage times the number of heads.",P,
107876,Dark Ivysaur - 6 [Winner],Dark Ivysaur 6 Winner,https://tcgplayer-cdn.tcgplayer.com/product/107876_200w.jpg,3,1455,https://cpt.tcgcsv.com/x9T,2022-09-16T14:49:32.987,1,006/009,Promo,Grass,50,Stage 1,"<strong>Poké-BODY — Vine Pull</strong>
<br>
One during your turn when Dark Ivysaur retreats, choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.","[GG] Fury Strikes 
<br>
Your opponent puts 3 markers onto his or her Pokémon (divided as he or she chooses). <em>(More than 1 marker can be put on the same Pokémon.)</em> Then, this attack does 10 damage to each Pokémon for each marker on it. Don't apply Weakness and Resistance. Remove the markers at the end of the turn.",R,2,59.98,67.47,74.95,43.36,,Normal,,,
107877,Rocket's Sneasel - 5 [Winner],Rockets Sneasel 5 Winner,https://tcgplayer-cdn.tcgplayer.com/product/107877_200w.jpg,3,1455,https://cpt.tcgcsv.com/z9T,2022-09-16T14:49:19.487,1,005/009,Promo,Darkness,60,Basic,,"[D] Entrap 
<br>The Defending Pokémon can't retreat during your opponent's next turn.",F,1,19.98,22.0,29.99,19.68,19.98,Normal,"[2] Continuous Scratch (10x) 
<br>Flip 4 coins. This attack does 10 damage times the number of heads.",P,
117599,Hitmonchan - 2 [Winner],Hitmonchan 2 Winner,https://tcgplayer-cdn.tcgplayer.com/product/117599_200w.jpg,3,1455,https://cpt.tcgcsv.com/_2Z,2022-09-16T14:50:12.543,1,002/009,Promo,Fighting,60,Basic,,[F] Jab (20),P,2,24.23,24.27,34.88,40.24,,Reverse Holofoil,[1FF] Special Punch (40),,
