productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
111278,XY BREAKpoint Booster Box,XY BREAKpoint Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/111278_200w.jpg,3,1701,https://cpt.tcgcsv.com/BwV,2016-02-04T23:22:34.927,1,3600.0,3788.88,4500.0,1979.99,,Normal,,,,,,,,,,,
111279,XY BREAKpoint Booster Pack,XY BREAKpoint Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/111279_200w.jpg,3,1701,https://cpt.tcgcsv.com/CwV,2016-01-18T16:45:29.383,1,29.99,38.3,50.0,30.23,,Normal,,,,,,,,,,,
111280,XY BREAKpoint Elite Trainer Box,XY BREAKpoint Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/111280_200w.jpg,3,1701,https://cpt.tcgcsv.com/DwV,2016-02-04T23:22:39.24,1,742.61,747.45,1199.99,613.8,,Normal,,,,,,,,,,,
111504,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/111504_200w.jpg,3,1701,https://cpt.tcgcsv.com/6DV,2025-05-06T14:19:37.963,1,0.09,0.25,3.65,0.23,,Normal,1/122,Common,Grass,60,Basic,[C] Tackle (10),"[1G] Blot (10)
<br>Heal 10 damage from this Pokemon.",Rx2,None,1,
111504,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/111504_200w.jpg,3,1701,https://cpt.tcgcsv.com/6DV,2025-05-06T14:19:37.963,1,0.24,0.55,2.0,0.59,,Reverse Holofoil,1/122,Common,Grass,60,Basic,[C] Tackle (10),"[1G] Blot (10)
<br>Heal 10 damage from this Pokemon.",Rx2,None,1,
111505,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/111505_200w.jpg,3,1701,https://cpt.tcgcsv.com/7DV,2022-12-15T16:25:46.787,1,0.25,0.63,2.51,0.69,,Normal,2/122,Uncommon,Grass,90,Stage 1,"[C] Body Slam (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",[1G] Vine Whip (30),Rx2,None,2,
111505,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/111505_200w.jpg,3,1701,https://cpt.tcgcsv.com/7DV,2022-12-15T16:25:46.787,1,0.75,1.72,5.99,2.1,,Reverse Holofoil,2/122,Uncommon,Grass,90,Stage 1,"[C] Body Slam (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",[1G] Vine Whip (30),Rx2,None,2,
111506,Meganium,Meganium,https://tcgplayer-cdn.tcgplayer.com/product/111506_200w.jpg,3,1701,https://cpt.tcgcsv.com/8DV,2025-02-05T21:21:03.263,1,0.97,1.69,5.0,1.63,,Holofoil,3/122,Holo Rare,Grass,150,Stage 2,"[1GG] Green Force (50)
<br>Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.",,Rx2,None,3,"<b>Ability — Overgrow</b>
<br>If this Pokemon's HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>."
111506,Meganium,Meganium,https://tcgplayer-cdn.tcgplayer.com/product/111506_200w.jpg,3,1701,https://cpt.tcgcsv.com/8DV,2025-02-05T21:21:03.263,1,2.15,3.26,9.78,3.37,,Reverse Holofoil,3/122,Holo Rare,Grass,150,Stage 2,"[1GG] Green Force (50)
<br>Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.",,Rx2,None,3,"<b>Ability — Overgrow</b>
<br>If this Pokemon's HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>."
111507,Seedot,Seedot,https://tcgplayer-cdn.tcgplayer.com/product/111507_200w.jpg,3,1701,https://cpt.tcgcsv.com/9DV,2022-12-15T16:26:03.513,1,0.02,0.18,1.49,0.11,0.16,Normal,4/122,Common,Grass,50,Basic,[1] Ram (10),,Rx2,None,1,
