productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extHP,extStage,extAttack1,extAttack2,extCardType
520781,My First Battle [Pikachu & Bulbasaur],My First Battle Pikachu and Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/520781_200w.jpg,3,23330,https://cpt.tcgcsv.com/Fkb6,2023-12-21T20:59:32.593,2,"Your Pokémon TCG Adventure Starts Here!

If you've always wanted to play the Pokémon Trading Card Game with family and friends, the Pokémon TCG: My First Battle set is the perfect introduction. With a streamlined game and foolproof guidance, you'll be ready to train and battle together. Everything you need for two players is included!",29.98,38.69,65.0,21.69,,Normal,,,,,,
520782,My First Battle [Charmander & Squirtle],My First Battle Charmander and Squirtle,https://tcgplayer-cdn.tcgplayer.com/product/520782_200w.jpg,3,23330,https://cpt.tcgcsv.com/Gkb6,2023-12-21T21:00:04.54,2,"Your Pokémon TCG Adventure Starts Here!

If you've always wanted to play the Pokémon Trading Card Game with family and friends, the Pokémon TCG: My First Battle set is the perfect introduction. With a streamlined game and foolproof guidance, you'll be ready to train and battle together. Everything you need for two players is included!",26.0,29.97,65.0,21.08,,Normal,,,,,,
523984,Bulbasaur (Blue Border),Bulbasaur Blue Border,https://tcgplayer-cdn.tcgplayer.com/product/523984_200w.jpg,3,23330,https://cpt.tcgcsv.com/JCc6,2023-12-21T21:01:11.643,1,,6.49,7.92,8.29,6.44,,Normal,Unconfirmed,70,Basic,[G] Tackle (10),[GG] Vine Whip (30),
523985,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/523985_200w.jpg,3,23330,https://cpt.tcgcsv.com/KCc6,2023-12-21T21:03:58.503,1,,6.99,8.04,9.24,8.04,,Normal,Unconfirmed,70,Basic,[G] Tackle (10),[GG] Vine Whip (30),
524007,Ivysaur,Ivysaur,https://tcgplayer-cdn.tcgplayer.com/product/524007_200w.jpg,3,23330,https://cpt.tcgcsv.com/9Dc6,2023-12-21T21:19:10.783,1,,0.4,0.65,1.0,0.65,,Normal,Unconfirmed,100,Stage 1,[G] Vine Whip (30),[GGG] Razor Leaf (60),
524008,Oddish,Oddish,https://tcgplayer-cdn.tcgplayer.com/product/524008_200w.jpg,3,23330,https://cpt.tcgcsv.com/bDc6,2023-12-21T21:21:16.183,1,,0.15,0.23,0.49,0.4,,Normal,Unconfirmed,50,Basic,"[G] Absorb (10)
<br>Heal 10 damage from this Pokemon.",,
524010,Gloom,Gloom,https://tcgplayer-cdn.tcgplayer.com/product/524010_200w.jpg,3,23330,https://cpt.tcgcsv.com/dDc6,2023-12-21T21:19:09.067,1,,0.3,0.71,0.75,0.72,,Normal,Unconfirmed,90,Stage 1,"[GG] Mega Drain (60)
<br>Heal 20 damage from this Pokemon.",,
524013,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/524013_200w.jpg,3,23330,https://cpt.tcgcsv.com/hDc6,2023-12-21T21:19:07.67,1,,0.1,0.25,0.4,0.2,,Normal,Unconfirmed,60,Basic,[GG] Rollout (40),,
524015,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/524015_200w.jpg,3,23330,https://cpt.tcgcsv.com/kDc6,2023-12-21T21:19:07.67,1,,0.2,0.25,0.89,0.24,,Normal,Unconfirmed,90,Stage 1,[GG] Seed Bomb (40),[GGG] Barrage Impact (80),
524016,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/524016_200w.jpg,3,23330,https://cpt.tcgcsv.com/lDc6,2023-12-21T21:21:20.887,1,,0.6,0.85,1.61,0.85,,Normal,Unconfirmed,80,Basic,"[G] X-Scissor (20+)
<br>Flip a coin. If heads, this attack does 40 more damage.",,
