productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack3,extAttack4
83524,Altaria ex,Altaria ex,https://tcgplayer-cdn.tcgplayer.com/product/83524_200w.jpg,3,1410,https://cpt.tcgcsv.com/vqH,2024-04-11T15:05:23.18,1,90/106,Ultra Rare,Colorless,100,Stage 1,"<b>Poke-BODY</b> Mist <br>
<br>Any damage done to Altaria ex by attacks from Stage 2 Evolved Pokemon <em>(both yours and your opponent's)</em> is reduced by 30 <em>(after applying Weakness and Resistance).J<  (Poke-BODY)",[1] Dive (20),"[1LW] Dragon Mist (70) 
<br>This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",None,None,1,125.0,125.0,125.0,,,Normal,,
83713,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83713_200w.jpg,3,1410,https://cpt.tcgcsv.com/hvH,2024-04-11T15:05:23.677,1,43/106,Common,Fighting,50,Basic,,[1] Slap (10),[3] Pierce (30),G,None,1,0.5,1.1,4.75,1.18,,Normal,,
83713,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83713_200w.jpg,3,1410,https://cpt.tcgcsv.com/hvH,2024-04-11T15:05:23.677,1,43/106,Common,Fighting,50,Basic,,[1] Slap (10),[3] Pierce (30),G,None,1,9.55,13.55,14.99,8.33,,Reverse Holofoil,,
83740,Battle Frontier,Battle Frontier,https://tcgplayer-cdn.tcgplayer.com/product/83740_200w.jpg,3,1410,https://cpt.tcgcsv.com/QvH,2024-04-11T15:07:21.997,1,75/106,Uncommon,Stadium,,,"Each player's Colorless Evolved Pokemon, Darkness Evolved Pokemon, and Metal Evolved Pokemon can't use any Poke-Powers or Poke-Bodies.",,,,,,2.68,4.8,14.98,3.3,,Normal,,
83740,Battle Frontier,Battle Frontier,https://tcgplayer-cdn.tcgplayer.com/product/83740_200w.jpg,3,1410,https://cpt.tcgcsv.com/QvH,2024-04-11T15:07:21.997,1,75/106,Uncommon,Stadium,,,"Each player's Colorless Evolved Pokemon, Darkness Evolved Pokemon, and Metal Evolved Pokemon can't use any Poke-Powers or Poke-Bodies.",,,,,,11.24,19.08,36.25,20.25,,Reverse Holofoil,,
83906,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83906_200w.jpg,3,1410,https://cpt.tcgcsv.com/8BH,2024-04-11T15:05:24.103,1,1/106,Holo Rare,Fire,110,Stage 2,"<b>Poke-BODY</b> Blaze <br>
<br>As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance). </em>","[1] Searing Flame (10) 
<br>The Defending Pokemon is now Burned.","[1RR] Damage Burn (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",W,None,2,33.33,34.47,35.6,15.28,,Normal,,
83906,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83906_200w.jpg,3,1410,https://cpt.tcgcsv.com/8BH,2024-04-11T15:05:24.103,1,1/106,Holo Rare,Fire,110,Stage 2,"<b>Poke-BODY</b> Blaze <br>
<br>As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance). </em>","[1] Searing Flame (10) 
<br>The Defending Pokemon is now Burned.","[1RR] Damage Burn (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",W,None,2,21.85,51.84,69.99,24.18,69.99,Holofoil,,
83906,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83906_200w.jpg,3,1410,https://cpt.tcgcsv.com/8BH,2024-04-11T15:05:24.103,1,1/106,Holo Rare,Fire,110,Stage 2,"<b>Poke-BODY</b> Blaze <br>
<br>As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance). </em>","[1] Searing Flame (10) 
<br>The Defending Pokemon is now Burned.","[1RR] Damage Burn (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",W,None,2,49.99,70.0,86.96,68.98,,Reverse Holofoil,,
83956,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83956_200w.jpg,3,1410,https://cpt.tcgcsv.com/8CH,2024-04-11T15:05:24.337,1,22/106,Uncommon,Grass,80,Stage 1,,"[1] Power Blow (10+) 
<br>Does 10 damage plus 10 more damage for each Energy attached to Breloom.","[1GG] Body Slam (40) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",P,None,1,1.0,1.49,5.69,1.73,,Normal,,
83956,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83956_200w.jpg,3,1410,https://cpt.tcgcsv.com/8CH,2024-04-11T15:05:24.337,1,22/106,Uncommon,Grass,80,Stage 1,,"[1] Power Blow (10+) 
<br>Does 10 damage plus 10 more damage for each Energy attached to Breloom.","[1GG] Body Slam (40) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",P,None,1,14.8,28.1,29.5,28.21,,Reverse Holofoil,,
