productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance,extAttack3,extUPC
83858,Blaine (17),Blaine 17,https://tcgplayer-cdn.tcgplayer.com/product/83858_200w.jpg,3,1440,https://cpt.tcgcsv.com/bzH,2023-07-07T12:31:42.94,1,017/132,Holo Rare,Trainer,"During this turn, instead of attaching your free Energy card, you may instead attach 2 Fire Energy cards to 1 of your Pokémon with Blaine in its name. <em>(Playing additional copies of this card this turn has no effect.)</em>",56.46,75.0,174.99,84.99,,1st Edition Holofoil,,,,,,,,,
83858,Blaine (17),Blaine 17,https://tcgplayer-cdn.tcgplayer.com/product/83858_200w.jpg,3,1440,https://cpt.tcgcsv.com/bzH,2023-07-07T12:31:42.94,1,017/132,Holo Rare,Trainer,"During this turn, instead of attaching your free Energy card, you may instead attach 2 Fire Energy cards to 1 of your Pokémon with Blaine in its name. <em>(Playing additional copies of this card this turn has no effect.)</em>",28.86,37.99,59.95,30.51,,Unlimited Holofoil,,,,,,,,,
83859,Blaine (100),Blaine 100,https://tcgplayer-cdn.tcgplayer.com/product/83859_200w.jpg,3,1440,https://cpt.tcgcsv.com/czH,2023-01-04T22:33:46.24,1,100/132,Rare,Trainer,"During this turn, instead of attaching your free Energy card, you may instead attach 2 Fire Energy cards to 1 of your Pokémon with Blaine in its name. <em>(Playing additional copies of this card this turn has no effect.)</em>",4.0,6.9,10.49,7.57,,1st Edition,,,,,,,,,
83859,Blaine (100),Blaine 100,https://tcgplayer-cdn.tcgplayer.com/product/83859_200w.jpg,3,1440,https://cpt.tcgcsv.com/czH,2023-01-04T22:33:46.24,1,100/132,Rare,Trainer,"During this turn, instead of attaching your free Energy card, you may instead attach 2 Fire Energy cards to 1 of your Pokémon with Blaine in its name. <em>(Playing additional copies of this card this turn has no effect.)</em>",2.21,3.45,7.5,3.46,,Unlimited,,,,,,,,,
83860,Blaine's Arcanine,Blaines Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83860_200w.jpg,3,1440,https://cpt.tcgcsv.com/dzH,2023-03-14T04:41:43.107,1,001/132,Holo Rare,Fire,,285.0,299.99,325.0,239.99,,1st Edition Holofoil,90,Stage 1,"[2R] Heat Tackle (40)
<br>Blaine's Arcanine does 10 damage to itself.","[RRRR] Firestorm (120)
<br>Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.",W,3,,,
83860,Blaine's Arcanine,Blaines Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83860_200w.jpg,3,1440,https://cpt.tcgcsv.com/dzH,2023-03-14T04:41:43.107,1,001/132,Holo Rare,Fire,,53.0,75.5,245.99,79.4,,Unlimited Holofoil,90,Stage 1,"[2R] Heat Tackle (40)
<br>Blaine's Arcanine does 10 damage to itself.","[RRRR] Firestorm (120)
<br>Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.",W,3,,,
83861,Blaine's Charizard,Blaines Charizard,https://tcgplayer-cdn.tcgplayer.com/product/83861_200w.jpg,3,1440,https://cpt.tcgcsv.com/fzH,2025-04-21T19:37:17.533,1,002/132,Holo Rare,Fire,"<em><span style=""color:red"">(1st and Normal Edition): Early prints of these cards have a Fighting-type symbol instead of the Fire-type symbol. Also, ""Energy"" is misspelled with a lowercase ""e"" instead of a capital ""E"".</em></span>",805.35,993.74,1199.99,767.0,,1st Edition Holofoil,100,Stage 2,"[R] Roaring Flames (20+)
<br>Discard all Fire Energy cards attached to Blaine's Charizard except 1. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discard in this way.","[RR] Flame Jet
<br>Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",W,3,F-30,,
83861,Blaine's Charizard,Blaines Charizard,https://tcgplayer-cdn.tcgplayer.com/product/83861_200w.jpg,3,1440,https://cpt.tcgcsv.com/fzH,2025-04-21T19:37:17.533,1,002/132,Holo Rare,Fire,"<em><span style=""color:red"">(1st and Normal Edition): Early prints of these cards have a Fighting-type symbol instead of the Fire-type symbol. Also, ""Energy"" is misspelled with a lowercase ""e"" instead of a capital ""E"".</em></span>",347.99,498.95,588.51,524.03,,Unlimited Holofoil,100,Stage 2,"[R] Roaring Flames (20+)
<br>Discard all Fire Energy cards attached to Blaine's Charizard except 1. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discard in this way.","[RR] Flame Jet
<br>Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",W,3,F-30,,
83863,Blaine's Charmander,Blaines Charmander,https://tcgplayer-cdn.tcgplayer.com/product/83863_200w.jpg,3,1440,https://cpt.tcgcsv.com/hzH,2022-12-15T16:09:22.14,1,060/132,Common,Fire,,6.41,10.49,22.99,9.93,,1st Edition,50,Basic,"[R] Fire Tail Slap (20)
<br>Use this attack only if there are any Fire Energy cards attached to Blaine's Charmander. Flip a coin. If tails, discard 1 of those cards.",,W,1,,,
83863,Blaine's Charmander,Blaines Charmander,https://tcgplayer-cdn.tcgplayer.com/product/83863_200w.jpg,3,1440,https://cpt.tcgcsv.com/hzH,2022-12-15T16:09:22.14,1,060/132,Common,Fire,,1.0,2.05,501.66,2.27,,Unlimited,50,Basic,"[R] Fire Tail Slap (20)
<br>Use this attack only if there are any Fire Energy cards attached to Blaine's Charmander. Flip a coin. If tails, discard 1 of those cards.",,W,1,,,
