productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
83665,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83665_200w.jpg,3,1465,https://cpt.tcgcsv.com/ktH,2023-01-06T21:18:45.513,1,RC17/RC25,Common,80,Basic,[3] Relaxed Roll (30x) Flip a coin until you get tails.  This attack does 30 damage times the number of heads.,Fx2,2,1.28,2.87,25.0,2.75,3.97,Holofoil,,,
84321,Cinccino,Cinccino,https://tcgplayer-cdn.tcgplayer.com/product/84321_200w.jpg,3,1465,https://cpt.tcgcsv.com/rLH,2025-02-02T04:19:27.877,1,RC19/RC25,Uncommon,90,Stage 1,"[3] Echoed Voice (50) During your next turn, this Pokemon's attack does 50 more damage (before applying Weakness and Resistance).",Fx2,1,2.83,7.44,25.0,8.02,14.98,Holofoil,"Smooth Coat - If any damage is done to this Pokemon by attacks, flip a coin.  If heads, prevent that damage.  (Ability)",,
85094,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85094_200w.jpg,3,1465,https://cpt.tcgcsv.com/V2J,2024-07-10T05:29:14.95,1,RC14/RC25,Uncommon,60,Basic,"[1] Surprise Attack (20) Flip a coin.  If tails, this attack does nothing.",Fx2,1,12.0,18.33,60.0,22.09,14.77,Holofoil,,,
85174,Elesa,Elesa,https://tcgplayer-cdn.tcgplayer.com/product/85174_200w.jpg,3,1465,https://cpt.tcgcsv.com/v5J,2024-08-12T19:56:07.22,1,RC20/RC25,Common,0,Supporter,"Search your deck for 3 Pokemon Tool cards, reveal them, and put them into your hand.  Shuffle your deck afterward.",,,0.2,0.91,4.49,0.99,,Holofoil,You may play only 1 Supporter card per turn (before your attack).,,
85194,Emolga (Full Art),Emolga Full Art,https://tcgplayer-cdn.tcgplayer.com/product/85194_200w.jpg,3,1465,https://cpt.tcgcsv.com/V5J,2023-01-06T21:21:03.273,1,RC23/RC25,Ultra Rare,70,Basic,[1] Call for Family - Search your deck for 2 Basic Pokemon and put them onto your Bench.  Shuffle your deck afterward.,Lx2,0,36.16,56.26,92.18,56.26,29.6,Holofoil,,[L] Static Shock (20),F-20
85639,Gardevoir,Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/85639_200w.jpg,3,1465,https://cpt.tcgcsv.com/PgJ,2023-01-06T21:17:33.2,1,RC10/RC25,Uncommon,120,Stage 2,[1P] Psybeam (40) The Defending Pokemon is now Confused.,Px2,1,3.9,7.6,25.0,8.38,7.28,Holofoil,,[PP] Eternal Radiance - Move all damage counters from this Pokemon to the Defending Pokemon.  This Pokemon can't use Eternal Radiance during your next turn.,
85963,Growlithe,Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/85963_200w.jpg,3,1465,https://cpt.tcgcsv.com/hpJ,2023-11-22T03:37:08.74,1,RC4/RC25,Uncommon,80,Basic,[2] Rest - Heal all damage from this Pokemon.  This Pokemon is now Asleep.,Wx2,2,9.36,16.42,61.74,19.77,59.94,Holofoil,,"[2R] Lunge (40) Flip a coin.  If tails, this attack does nothing.",
86472,Kirlia,Kirlia,https://tcgplayer-cdn.tcgplayer.com/product/86472_200w.jpg,3,1465,https://cpt.tcgcsv.com/sCJ,2023-01-06T21:22:25.567,1,RC9/RC25,Common,70,Stage 1,[P] Tiptoe Step - Draw a card for each P Energy attached to this Pokemon.,Px2,1,1.69,3.84,15.0,3.86,,Holofoil,,[1P] Double Slap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,
87304,Meloetta EX,Meloetta EX,https://tcgplayer-cdn.tcgplayer.com/product/87304_200w.jpg,3,1465,https://cpt.tcgcsv.com/6XJ,2025-06-08T04:56:29.687,1,RC11/RC25,Ultra Rare,110,Basic,"[2] Brilliant Voice (20) Flip a coin.  If heads, the Defending Pokemon is now Asleep.  If tails, the Defending Pokemon is now Confused.",Px2,1,5.49,9.96,25.0,11.21,,Holofoil,,[PPP] Round (30x) Does 30 damage times the number of your Pokemon that have the Round attack.,
87305,Meloetta EX (Full Art),Meloetta EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/87305_200w.jpg,3,1465,https://cpt.tcgcsv.com/7XJ,2024-10-26T08:10:06.477,1,RC25/RC25,Ultra Rare,110,Basic,"[2] Brilliant Voice (20) Flip a coin.  If heads, the Defending Pokemon is now Asleep.  If tails, the Defending Pokemon is now Confused.",Px2,1,15.0,28.09,50.0,27.82,17.7,Holofoil,,[PPP] Round (30x) Does 30 damage times the number of your Pokemon that have the Round attack.,
87413,Mew EX (Full Art),Mew EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/87413_200w.jpg,3,1465,https://cpt.tcgcsv.com/h-J,2025-09-26T20:07:02.867,1,RC24/RC25,Ultra Rare,120,Basic,[P] Replace - Move as many Energy attached to your Pokemon to your other Pokemon in any way you like.,Px2,1,150.0,184.85,281.23,190.83,,Holofoil,Versatile - This Pokemon can use the attacks of any Pokemon in play (both yours and your opponent's).  (You still need the necessary Energy to use each attack.)  (Ability),,
87479,Minccino,Minccino,https://tcgplayer-cdn.tcgplayer.com/product/87479_200w.jpg,3,1465,https://cpt.tcgcsv.com/C_J,2023-08-26T16:03:12.76,1,RC18/RC25,Common,60,Basic,[1] Tail Slap (10x) Flip 2 coins.  This attack does 10 damage times the number of heads.,Fx2,1,4.11,15.0,15.0,4.91,,Holofoil,,,
88105,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/88105_200w.jpg,3,1465,https://cpt.tcgcsv.com/7gK,2023-04-11T08:43:39.53,1,RC7/RC25,Uncommon,60,Basic,"[L] Thundershock (10) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,1,29.01,38.94,199.95,37.37,15.42,Holofoil,,[2] Tail Whap (20),
88154,Piplup,Piplup,https://tcgplayer-cdn.tcgplayer.com/product/88154_200w.jpg,3,1465,https://cpt.tcgcsv.com/6hK,2024-08-12T19:56:07.267,1,RC6/RC25,Uncommon,60,Basic,"[1] Charm - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).",Lx2,1,3.25,7.59,30.0,7.7,5.97,Holofoil,,[1W] Peck (20),
88462,Purrloin,Purrloin,https://tcgplayer-cdn.tcgplayer.com/product/88462_200w.jpg,3,1465,https://cpt.tcgcsv.com/gpK,2024-08-12T19:56:07.407,1,RC13/RC25,Uncommon,50,Basic,"[D] Captivate - Flip a coin.  If heads, switch 1 of your opponent's Benched Pokemon with the Defending Pokemon.",Fx2,1,1.08,3.75,15.0,4.15,3.36,Holofoil,,,P-20
88567,Ralts,Ralts,https://tcgplayer-cdn.tcgplayer.com/product/88567_200w.jpg,3,1465,https://cpt.tcgcsv.com/mrK,2025-05-10T03:35:44.277,1,RC8/RC25,Common,40,Basic,[P] Hypnotic Gaze - The Defending Pokemon is now Asleep.,Px2,1,3.6,5.15,50.0,6.02,7.97,Holofoil,,[1P] Pound (20),
88712,Reshiram (Full Art),Reshiram Full Art,https://tcgplayer-cdn.tcgplayer.com/product/88712_200w.jpg,3,1465,https://cpt.tcgcsv.com/gvK,2025-06-24T20:21:56.573,1,RC22/RC25,Ultra Rare,130,Basic,[2] Outrage (20+) Does 10 more damage for each damage counter on this Pokemon.,Wx2,2,67.0,111.6,199.99,119.35,107.98,Holofoil,,[1RR] Blue Flare (120) Discard 2 R Energy attached to this Pokemon.,
89075,Serperior,Serperior,https://tcgplayer-cdn.tcgplayer.com/product/89075_200w.jpg,3,1465,https://cpt.tcgcsv.com/wFK,2024-08-12T19:56:07.54,1,RC3/RC25,Uncommon,140,Stage 2,[2G] Solar Beam (80),Rx2,2,1.49,3.0,12.0,3.23,1.65,Holofoil,"Royal Garden - If this Pokemon has any G Energy attached to it, this Pokemon has no Retreat Cost.  (Ability)",,
89080,Servine,Servine,https://tcgplayer-cdn.tcgplayer.com/product/89080_200w.jpg,3,1465,https://cpt.tcgcsv.com/DFK,2023-10-08T09:29:41.73,1,RC2/RC25,Common,80,Stage 1,"[1] Leaf Blade (10+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,1,0.35,1.45,6.0,1.46,0.89,Holofoil,,[2G] Vine Whip (40),
89113,Shaymin EX (Full Art),Shaymin EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/89113_200w.jpg,3,1465,https://cpt.tcgcsv.com/hGK,2023-01-06T21:20:22.617,1,RC21/RC25,Ultra Rare,110,Basic,[G] Synthesis - Search your deck for a G Energy card and attach it to 1 of your Pokemon.  Shuffle your deck afterward.,Rx2,1,22.18,36.54,125.0,36.62,38.67,Holofoil,,[1G] Revenge Blast (30+) Does 30 more damage for each Prize card your opponent has taken.,F-20
89382,Snivy,Snivy,https://tcgplayer-cdn.tcgplayer.com/product/89382_200w.jpg,3,1465,https://cpt.tcgcsv.com/GMK,2024-08-12T19:56:07.697,1,RC1/RC25,Common,50,Basic,[1] Growth - Attach a G Energy card from your hand to this Pokemon.,Rx2,1,0.69,1.52,6.0,1.55,,Holofoil,,[2G] Razor Leaf (30),
89583,Stunfisk,Stunfisk,https://tcgplayer-cdn.tcgplayer.com/product/89583_200w.jpg,3,1465,https://cpt.tcgcsv.com/HRK,2024-08-12T19:56:07.773,1,RC12/RC25,Uncommon,90,Basic,"[F] Attract - If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Wx2,3,0.73,1.98,6.3,2.08,4.95,Holofoil,,[1FF] Mud-Slap (70),L-20
