productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance,extCardText
232316,Bulbasaur - 1/25,Bulbasaur 1 25,https://tcgplayer-cdn.tcgplayer.com/product/232316_200w.jpg,3,2782,https://cpt.tcgcsv.com/lXS2,2024-02-08T14:40:45.467,1,001/025,Promo,Grass,70,Basic,[1G] Razor Leaf (30),Rx2,2,0.06,0.58,213402.06,0.58,,Normal,,,
232316,Bulbasaur - 1/25,Bulbasaur 1 25,https://tcgplayer-cdn.tcgplayer.com/product/232316_200w.jpg,3,2782,https://cpt.tcgcsv.com/lXS2,2024-02-08T14:40:45.467,1,001/025,Promo,Grass,70,Basic,[1G] Razor Leaf (30),Rx2,2,1.62,4.48,20.0,4.47,,Holofoil,,,
232317,Chikorita - 2/25,Chikorita 2 25,https://tcgplayer-cdn.tcgplayer.com/product/232317_200w.jpg,3,2782,https://cpt.tcgcsv.com/mXS2,2023-08-14T07:27:29.477,1,002/025,Promo,Grass,70,Basic,"[G] Mini Drain (10)
<br>Heal 10 damage from this Pokémon.",Rx2,1,0.8,1.65,5.99,1.54,,Holofoil,,,
232317,Chikorita - 2/25,Chikorita 2 25,https://tcgplayer-cdn.tcgplayer.com/product/232317_200w.jpg,3,2782,https://cpt.tcgcsv.com/mXS2,2023-08-14T07:27:29.477,1,002/025,Promo,Grass,70,Basic,"[G] Mini Drain (10)
<br>Heal 10 damage from this Pokémon.",Rx2,1,0.1,0.38,3.0,0.38,,Normal,,,
232318,Treecko - 3/25,Treecko 3 25,https://tcgplayer-cdn.tcgplayer.com/product/232318_200w.jpg,3,2782,https://cpt.tcgcsv.com/nXS2,2022-09-23T16:48:41.923,1,003/025,Promo,Grass,60,Basic,"[G] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 more damage.",Rx2,1,0.1,0.32,3.35,0.3,,Normal,,,
232318,Treecko - 3/25,Treecko 3 25,https://tcgplayer-cdn.tcgplayer.com/product/232318_200w.jpg,3,2782,https://cpt.tcgcsv.com/nXS2,2022-09-23T16:48:41.923,1,003/025,Promo,Grass,60,Basic,"[G] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 more damage.",Rx2,1,1.25,2.43,19.99,2.43,,Holofoil,,,
232319,Turtwig - 4/25,Turtwig 4 25,https://tcgplayer-cdn.tcgplayer.com/product/232319_200w.jpg,3,2782,https://cpt.tcgcsv.com/pXS2,2022-09-23T16:49:37.31,1,004/025,Promo,Grass,80,Basic,[2] Tackle (20),Rx2,2,0.1,0.39,2.0,0.38,,Normal,[1GG] Razor Leaf (50),,
232319,Turtwig - 4/25,Turtwig 4 25,https://tcgplayer-cdn.tcgplayer.com/product/232319_200w.jpg,3,2782,https://cpt.tcgcsv.com/pXS2,2022-09-23T16:49:37.31,1,004/025,Promo,Grass,80,Basic,[2] Tackle (20),Rx2,2,0.69,1.7,5.24,1.69,,Holofoil,[1GG] Razor Leaf (50),,
232320,Snivy - 5/25,Snivy 5 25,https://tcgplayer-cdn.tcgplayer.com/product/232320_200w.jpg,3,2782,https://cpt.tcgcsv.com/qXS2,2022-09-23T16:41:30.897,1,005/025,Promo,Grass,60,Basic,"[1G] Slam (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",Rx2,1,0.1,0.36,190637.15,0.36,,Normal,,W-20,
232320,Snivy - 5/25,Snivy 5 25,https://tcgplayer-cdn.tcgplayer.com/product/232320_200w.jpg,3,2782,https://cpt.tcgcsv.com/qXS2,2022-09-23T16:41:30.897,1,005/025,Promo,Grass,60,Basic,"[1G] Slam (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",Rx2,1,0.41,1.35,5.0,1.33,,Holofoil,,W-20,
232321,Chespin - 6/25,Chespin 6 25,https://tcgplayer-cdn.tcgplayer.com/product/232321_200w.jpg,3,2782,https://cpt.tcgcsv.com/rXS2,2022-09-23T16:23:25.187,1,006/025,Promo,Grass,60,Basic,[G] Vine Whip (10),Rx2,1,0.05,0.33,213397.8,0.33,,Normal,[1G] Seed Bomb (20),,
232321,Chespin - 6/25,Chespin 6 25,https://tcgplayer-cdn.tcgplayer.com/product/232321_200w.jpg,3,2782,https://cpt.tcgcsv.com/rXS2,2022-09-23T16:23:25.187,1,006/025,Promo,Grass,60,Basic,[G] Vine Whip (10),Rx2,1,0.35,0.99,5.0,0.96,,Holofoil,[1G] Seed Bomb (20),,
232322,Rowlet - 7/25,Rowlet 7 25,https://tcgplayer-cdn.tcgplayer.com/product/232322_200w.jpg,3,2782,https://cpt.tcgcsv.com/sXS2,2022-09-23T16:38:41.907,1,007/025,Promo,Grass,60,Basic,[1] Tackle (10),Rx2,1,0.6,1.14,5.0,1.13,,Holofoil,[1G] Leafage (20),,
232322,Rowlet - 7/25,Rowlet 7 25,https://tcgplayer-cdn.tcgplayer.com/product/232322_200w.jpg,3,2782,https://cpt.tcgcsv.com/sXS2,2022-09-23T16:38:41.907,1,007/025,Promo,Grass,60,Basic,[1] Tackle (10),Rx2,1,0.15,0.33,191166.59,0.3,,Normal,[1G] Leafage (20),,
232323,Grookey - 8/25,Grookey 8 25,https://tcgplayer-cdn.tcgplayer.com/product/232323_200w.jpg,3,2782,https://cpt.tcgcsv.com/tXS2,2022-09-23T16:29:54.56,1,008/025,Promo,Grass,60,Basic,[1G] Branch Poke (30),Rx2,1,0.18,0.99,5.99,0.76,0.68,Holofoil,,,
232323,Grookey - 8/25,Grookey 8 25,https://tcgplayer-cdn.tcgplayer.com/product/232323_200w.jpg,3,2782,https://cpt.tcgcsv.com/tXS2,2022-09-23T16:29:54.56,1,008/025,Promo,Grass,60,Basic,[1G] Branch Poke (30),Rx2,1,0.09,0.26,190635.31,0.25,0.2,Normal,,,
232324,Charmander - 9/25,Charmander 9 25,https://tcgplayer-cdn.tcgplayer.com/product/232324_200w.jpg,3,2782,https://cpt.tcgcsv.com/vXS2,2022-09-23T16:20:23.007,1,009/025,Promo,Fire,70,Basic,[1] Scratch (10),Wx2,1,0.73,3.2,32.0,3.22,5.95,Holofoil,[1R] Flame Tail (20),,
232324,Charmander - 9/25,Charmander 9 25,https://tcgplayer-cdn.tcgplayer.com/product/232324_200w.jpg,3,2782,https://cpt.tcgcsv.com/vXS2,2022-09-23T16:20:23.007,1,009/025,Promo,Fire,70,Basic,[1] Scratch (10),Wx2,1,0.2,0.69,172581.03,0.6,,Normal,[1R] Flame Tail (20),,
232325,Cyndaquil - 10/25,Cyndaquil 10 25,https://tcgplayer-cdn.tcgplayer.com/product/232325_200w.jpg,3,2782,https://cpt.tcgcsv.com/wXS2,2022-11-15T16:46:58.257,1,010/025,Promo,Fire,70,Basic,[2] Hammer In (30),Wx2,1,0.55,1.64,6.99,1.62,,Holofoil,,,
232325,Cyndaquil - 10/25,Cyndaquil 10 25,https://tcgplayer-cdn.tcgplayer.com/product/232325_200w.jpg,3,2782,https://cpt.tcgcsv.com/wXS2,2022-11-15T16:46:58.257,1,010/025,Promo,Fire,70,Basic,[2] Hammer In (30),Wx2,1,0.02,0.37,208583.6,0.36,,Normal,,,
