productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack3
490239,Rowlet (Ash vs Team Rocket Deck Kit),Rowlet Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490239_200w.jpg,3,23095,https://cpt.tcgcsv.com/P6X5,2023-03-28T18:44:09.597,1,001/026,Promo,Grass,60,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>","[1] Nap
<br>
Heal 10 damage from this Pokémon.",[1] Peck (10),Rx2,1,49.99,57.49,64.99,42.51,,Normal,,
490242,Ash's Pikachu-GX (Ash vs Team Rocket Deck Kit),Ashs Pikachu GX Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490242_200w.jpg,3,23095,https://cpt.tcgcsv.com/S6X5,2023-03-28T18:47:53.553,1,005/026,Promo,Lightning,170,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>","[L] Quick Attack (20+)
<br>
Flip a coin. If heads, this attack does 20 more damage.","<span style=""color:Teal""><strong>[LLL] Thunderbolt-GX (200)</strong>
<br>Discard all Energy attached to this Pokémon. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Fx2,1,119.99,124.99,129.99,145.83,,Holofoil,M-20,
490243,Togedemaru (Ash vs Team Rocket Deck Kit),Togedemaru Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490243_200w.jpg,3,23095,https://cpt.tcgcsv.com/T6X5,2023-03-28T18:49:56.687,1,006/026,Promo,Lightning,70,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>","[1L] Zing Zap (30)
<br>
Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,Fx2,1,58.79,76.49,79.99,79.99,,Normal,M-20,
490244,Tapu Koko (Ash vs Team Rocket Deck Kit),Tapu Koko Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490244_200w.jpg,3,23095,https://cpt.tcgcsv.com/V6X5,2023-03-28T18:51:19.043,1,007/026,Promo,Lightning,110,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>","[1] Electric Surge
<br>
Attach a Lightning Energy from your discard pile to 1 of your Benched Pokémon.",[1LL] Mach Bolt (90),Fx2,1,14.99,14.99,14.99,8.0,,Normal,M-20,
490245,Rockruff (Ash vs Team Rocket Deck Kit),Rockruff Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490245_200w.jpg,3,23095,https://cpt.tcgcsv.com/W6X5,2023-03-28T18:52:20.903,1,011/026,Promo,Fighting,70,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>",[1F] Rock Throw (20),,Gx2,1,9.99,12.49,14.99,14.42,,Normal,,
490246,Lycanroc (Ash vs Team Rocket Deck Kit),Lycanroc Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490246_200w.jpg,3,23095,https://cpt.tcgcsv.com/X6X5,2023-03-28T18:58:24.563,1,012/026,Promo,Fighting,110,Stage 1,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>",[1F] Rock Throw (30),[1FF] Accelerock (100),Gx2,2,9.99,12.5,15.0,10.99,,Normal,,
490248,Tauros (Ash vs Team Rocket Deck Kit),Tauros Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490248_200w.jpg,3,23095,https://cpt.tcgcsv.com/-6X5,2023-03-28T18:55:52.677,1,014/026,Promo,Colorless,100,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>","[1] Take Down (30)
<br>
This Pokémon does 10 damage to itself.",,Fx2,2,39.99,44.99,49.99,37.31,,Normal,,
490249,Yungoos (Ash vs Team Rocket Deck Kit),Yungoos Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490249_200w.jpg,3,23095,https://cpt.tcgcsv.com/_6X5,2023-03-28T18:56:40.883,1,015/026,Promo,Colorless,60,Basic,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>","[1] Focus Fang (20)
<br>
Flip a coin. If tails, this attack does nothing.",,Fx2,1,4.0,4.0,5.99,5.99,,Normal,,
490250,Gumshoos (Ash vs Team Rocket Deck Kit),Gumshoos Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490250_200w.jpg,3,23095,https://cpt.tcgcsv.com/07X5,2023-03-28T18:58:01.417,1,016/026,Promo,Colorless,100,Stage 1,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>",[1] Tackle (20),"[2] Continuous Headbutt (50x)
<br>
Flip a coin until you get tails. This attack does 50 damage times the number of heads.",Fx2,1,1.3,1.3,3.99,3.1,,Normal,,
490255,Ash's Friendship (Ash vs Team Rocket Deck Kit),Ashs Friendship Ash vs Team Rocket Deck Kit,https://tcgplayer-cdn.tcgplayer.com/product/490255_200w.jpg,3,23095,https://cpt.tcgcsv.com/77X5,2023-03-28T19:03:41.007,1,025/026,Promo,Supporter,,,"<span style=""color:red""><em>This promotional card was printed in Japanese only.</em></span>
<br><br>
Draw 2 cards. If you have Ash's Pikachu GX in play, draw 2 more cards.",,,,,,,,,,,,
