productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack2
272472,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/272472_200w.jpg,3,3068,https://cpt.tcgcsv.com/s_b3,2025-02-07T20:19:00.16,1,TG01/TG30,Ultra Rare,Grass,140,Stage 1,"<strong>Ability — Toughness Boost</strong>
<br>Your Single Strike Pokémon in play, except any Abomasnow, get +50 HP. You can't apply more than 1 Toughness Boost Ability at a time.",[2G] Mega Punch (90),Rx2,3,0.99,1.95,999.99,1.62,,Holofoil,,
272473,Flapple,Flapple,https://tcgplayer-cdn.tcgplayer.com/product/272473_200w.jpg,3,3068,https://cpt.tcgcsv.com/t_b3,2022-08-04T18:24:39.173,1,TG02/TG30,Ultra Rare,Grass,80,Stage 1,"<strong>Ability — Apple Drop</strong>
<br>Once during your turn, you may put 2 damage counters on I of your opponent's Pokémon. If you placed any damage counters in this way, shuffle this Pokémon and all attached cards into your deck.","[2] Acid Spray (60)
<br>Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Rx2,1,1.0,1.99,999.99,1.5,2.0,Holofoil,,
272474,Kingdra,Kingdra,https://tcgplayer-cdn.tcgplayer.com/product/272474_200w.jpg,3,3068,https://cpt.tcgcsv.com/v_b3,2022-05-27T04:03:19.25,1,TG03/TG30,Ultra Rare,Water,150,Stage 2,"<strong>Ability — Deep Sea King</strong>
<br>When your Active Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, you may move any amount of Water Energy from that Pokémon to this Pokémon:","[W] Aqua Burst (40x)
<br>This attack does 40 damage for each Energy attached to this Pokémon.",Lx2,1,4.99,11.95,50.0,9.93,13.09,Holofoil,,
272475,Frosmoth,Frosmoth,https://tcgplayer-cdn.tcgplayer.com/product/272475_200w.jpg,3,3068,https://cpt.tcgcsv.com/w_b3,2025-02-07T20:19:00.26,1,TG04/TG30,Ultra Rare,Water,90,Stage 1,"<strong>Ability — Ice Dance</strong>
<br>As often as you like during your turn, you may attach a Energy card from your hand to of your Benched Pokémon.",[1W] Aurora Beam (30),Mx2,2,1.93,2.78,999.99,2.44,,Holofoil,,
272476,Gardevoir,Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/272476_200w.jpg,3,3068,https://cpt.tcgcsv.com/x_b3,2024-06-21T12:10:27.693,1,TG05/TG30,Ultra Rare,Psychic,140,Stage 2,"<strong>Ability — Shining Arcana</strong>
<br>Once during your turn, you may look at the top 2 cards of your deck and attach any number of basic Energy cards you find there to your Pokémon in any way you like. Put the other cards into your hand.","[3] Brainwave (60+)
<br>This attack does 30 more damage for each Psychic Energy attached to this Pokémon.",Mx2,2,3.0,5.5,30.0,5.36,3.04,Holofoil,,
272477,Wyrdeer,Wyrdeer,https://tcgplayer-cdn.tcgplayer.com/product/272477_200w.jpg,3,3068,https://cpt.tcgcsv.com/z_b3,2022-05-27T04:03:19.25,1,TG06/TG30,Ultra Rare,Psychic,140,Stage 1,"<strong>Ability — Hurried Gait</strong>
<br>Once during your turn, you may draw a card.","[2] Extrasensory (40+)
<br>If you have the same number of cards in your hand as your opponent, this attack does 80 more damage.",Dx2,2,0.78,1.91,999.99,1.73,2.12,Holofoil,F-30,
272478,Falinks,Falinks,https://tcgplayer-cdn.tcgplayer.com/product/272478_200w.jpg,3,3068,https://cpt.tcgcsv.com/B_b3,2022-05-27T04:03:19.25,1,TG07/TG30,Ultra Rare,Fighting,110,Basic,,"[1F] Rapid Strike Squad (20x)
<br>This attack does 20 damage for each of your Rapid Strike Pokémon in play",Px2,2,1.5,2.84,999.99,3.03,2.69,Holofoil,,
272479,Kleavor,Kleavor,https://tcgplayer-cdn.tcgplayer.com/product/272479_200w.jpg,3,3068,https://cpt.tcgcsv.com/C_b3,2024-07-04T07:16:04.093,1,TG08/TG30,Ultra Rare,Fighting,140,Stage 1,,"[2] Timbercleave
<br>Flip 2 coins. If both of them are heads, your opponent's Active Pokémon is Knocked Out.",Gx2,2,1.25,2.49,999.99,2.36,,Holofoil,,"[FF] Berserker Tackle (120)
<br>This Pokémon also does 30 damage to itself."
272480,Mightyena,Mightyena,https://tcgplayer-cdn.tcgplayer.com/product/272480_200w.jpg,3,3068,https://cpt.tcgcsv.com/D_b3,2022-05-27T04:03:19.25,1,TG09/TG30,Ultra Rare,Darkness,110,Stage 1,"<strong>Ability — Hustle Bark</strong>
<br>If your opponent has any Pokémon-VMAX in play, this Pokémon's attacks cost less.","[3] Wild Tackle (160)
<br>This Pokémon also does 50 damage to itself.",Gx2,2,2.0,3.06,999.99,3.06,2.99,Holofoil,,
272481,Galarian Obstagoon,Galarian Obstagoon,https://tcgplayer-cdn.tcgplayer.com/product/272481_200w.jpg,3,3068,https://cpt.tcgcsv.com/F_b3,2025-02-07T20:19:00.353,1,TG10/TG30,Ultra Rare,Darkness,160,Stage 2,"<strong>Ability — Untamed Shout</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 3 damage counters on I of your opponent's Pokémon.","[1D] Obstruct (90)
<br>During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon. weakness",Gx2,2,1.0,2.0,999.99,1.76,,Holofoil,,
