productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83475,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83475_200w.jpg,3,1393,https://cpt.tcgcsv.com/wpH,2023-12-21T20:33:07.593,1,1/109,Holo Rare,Metal,110,Stage 2,"[1] Retaliate (10x) 
<br>Flip a coin.  If heads, this attack does 10 damage times the number of damage counters on Aggron.",[3] Mega Punch (40),"[3MM] Double Lariat (70x) 
<br>Flip 2 coins.  This attack does 70 damage times the number of heads.",R,G,4,12.53,15.82,20.28,17.59,,Holofoil,
83475,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83475_200w.jpg,3,1393,https://cpt.tcgcsv.com/wpH,2023-12-21T20:33:07.593,1,1/109,Holo Rare,Metal,110,Stage 2,"[1] Retaliate (10x) 
<br>Flip a coin.  If heads, this attack does 10 damage times the number of damage counters on Aggron.",[3] Mega Punch (40),"[3MM] Double Lariat (70x) 
<br>Flip 2 coins.  This attack does 70 damage times the number of heads.",R,G,4,16.25,17.02,36.45,18.01,,Reverse Holofoil,
83628,Aron - 25/109,Aron 25 109,https://tcgplayer-cdn.tcgplayer.com/product/83628_200w.jpg,3,1393,https://cpt.tcgcsv.com/BsH,2023-12-21T20:53:13.567,1,25/109,Uncommon,Metal,50,Basic,[M] Rollout (10),"[2] Double Stab (20x) 
<br>Flip 2 coins.  This attack does 20 damage times the number of heads.",,R,None,1,1.11,2.0,3.8,2.14,,Normal,
83628,Aron - 25/109,Aron 25 109,https://tcgplayer-cdn.tcgplayer.com/product/83628_200w.jpg,3,1393,https://cpt.tcgcsv.com/BsH,2023-12-21T20:53:13.567,1,25/109,Uncommon,Metal,50,Basic,[M] Rollout (10),"[2] Double Stab (20x) 
<br>Flip 2 coins.  This attack does 20 damage times the number of heads.",,R,None,1,4.9,5.32,8.0,5.53,,Reverse Holofoil,
83629,Aron - 49/109,Aron 49 109,https://tcgplayer-cdn.tcgplayer.com/product/83629_200w.jpg,3,1393,https://cpt.tcgcsv.com/CsH,2023-12-21T20:58:20.233,1,49/109,Common,Metal,40,Basic,"[1] Teary Eyes 
<br>During your opponent's next turn, any damage done to Aron is reduced by 10.",[2] Ram (20),,R,G,1,0.4,0.78,1.99,0.86,,Normal,
83629,Aron - 49/109,Aron 49 109,https://tcgplayer-cdn.tcgplayer.com/product/83629_200w.jpg,3,1393,https://cpt.tcgcsv.com/CsH,2023-12-21T20:58:20.233,1,49/109,Common,Metal,40,Basic,"[1] Teary Eyes 
<br>During your opponent's next turn, any damage done to Aron is reduced by 10.",[2] Ram (20),,R,G,1,1.49,1.87,7.52,3.16,,Reverse Holofoil,
83630,Aron - 50/109,Aron 50 109,https://tcgplayer-cdn.tcgplayer.com/product/83630_200w.jpg,3,1393,https://cpt.tcgcsv.com/DsH,2023-12-21T20:58:34.54,1,50/109,Common,Metal,50,Basic,[1] Gnaw (10),,,R,G,2,0.2,0.57,1.99,0.58,,Normal,
83630,Aron - 50/109,Aron 50 109,https://tcgplayer-cdn.tcgplayer.com/product/83630_200w.jpg,3,1393,https://cpt.tcgcsv.com/DsH,2023-12-21T20:58:34.54,1,50/109,Common,Metal,50,Basic,[1] Gnaw (10),,,R,G,2,3.37,7.5,10.95,8.68,,Reverse Holofoil,
83755,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83755_200w.jpg,3,1393,https://cpt.tcgcsv.com/7wH,2023-12-21T20:33:26.113,1,2/109,Holo Rare,Grass,80,Stage 2,"[G] Stun Spore (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[2G] Parallel Gain (50) 
<br>Remove 1 damage counter from each of your Pokemon including Beautifly.",,R,None,0,6.65,10.0,13.93,11.42,,Holofoil,"<b>Poke-BODY</b> Withering Dust 
<br>As long as Beautifly is in play, do not apply resistance for all Active Pokemon."
83755,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83755_200w.jpg,3,1393,https://cpt.tcgcsv.com/7wH,2023-12-21T20:33:26.113,1,2/109,Holo Rare,Grass,80,Stage 2,"[G] Stun Spore (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[2G] Parallel Gain (50) 
<br>Remove 1 damage counter from each of your Pokemon including Beautifly.",,R,None,0,9.29,13.71,27.99,13.9,,Reverse Holofoil,"<b>Poke-BODY</b> Withering Dust 
<br>As long as Beautifly is in play, do not apply resistance for all Active Pokemon."
