productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3,extAttack4
83553,Ancient Technical Machine [Ice],Ancient Technical Machine Ice,https://tcgplayer-cdn.tcgplayer.com/product/83553_200w.jpg,3,1416,https://cpt.tcgcsv.com/5rH,2024-03-08T16:28:52.41,1,84/101,Uncommon,Item,"Attach this card to 1 of your Evolved Pokemon (excluding Pokemon-ex and Pokemon that has an owner in its name) in play.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Ancient Technical Machine [Ice].","[1] Ice Generator 
<br>Discard all of your opponent's Trainer cards in play.  If you do, prevent all effects, including damage, done to the Pokemon using this attack during your opponent's next turn.",0.35,0.58,4.74,0.57,,Normal,,,,,,,,
83553,Ancient Technical Machine [Ice],Ancient Technical Machine Ice,https://tcgplayer-cdn.tcgplayer.com/product/83553_200w.jpg,3,1416,https://cpt.tcgcsv.com/5rH,2024-03-08T16:28:52.41,1,84/101,Uncommon,Item,"Attach this card to 1 of your Evolved Pokemon (excluding Pokemon-ex and Pokemon that has an owner in its name) in play.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Ancient Technical Machine [Ice].","[1] Ice Generator 
<br>Discard all of your opponent's Trainer cards in play.  If you do, prevent all effects, including damage, done to the Pokemon using this attack during your opponent's next turn.",0.99,1.62,5.0,1.91,1.25,Reverse Holofoil,,,,,,,,
83554,Ancient Technical Machine [Rock],Ancient Technical Machine Rock,https://tcgplayer-cdn.tcgplayer.com/product/83554_200w.jpg,3,1416,https://cpt.tcgcsv.com/6rH,2024-03-08T16:28:43.607,1,85/101,Uncommon,Item,"<em>Attach this card to 1 of your Evolved Pokemon (excluding Pokemon-ex and Pokemon that has an owner in its name) in play.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Ancient Technical Machine [Rock].</em>","[1] Stone Generator 
<br> If your opponent has any Evolved Pokemon in play, remove the highest Stage Evolution card from each of them and put those cards back into his or her hand.",1.23,2.46,7.97,2.46,,Normal,,,,,,,,
83554,Ancient Technical Machine [Rock],Ancient Technical Machine Rock,https://tcgplayer-cdn.tcgplayer.com/product/83554_200w.jpg,3,1416,https://cpt.tcgcsv.com/6rH,2024-03-08T16:28:43.607,1,85/101,Uncommon,Item,"<em>Attach this card to 1 of your Evolved Pokemon (excluding Pokemon-ex and Pokemon that has an owner in its name) in play.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Ancient Technical Machine [Rock].</em>","[1] Stone Generator 
<br> If your opponent has any Evolved Pokemon in play, remove the highest Stage Evolution card from each of them and put those cards back into his or her hand.",1.49,2.97,10.44,2.37,4.99,Reverse Holofoil,,,,,,,,
83555,Ancient Technical Machine [Steel],Ancient Technical Machine Steel,https://tcgplayer-cdn.tcgplayer.com/product/83555_200w.jpg,3,1416,https://cpt.tcgcsv.com/7rH,2024-03-08T16:28:34.877,1,86/101,Uncommon,Item,"Attach this card to 1 of your Evolved Pokemon (excluding Pokemon-ex and Pokemon that has an owner in its name) in play.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Ancient Technical Machine [Steel].","[2] Steel Generator 
<br> If the Defending Pokemon has a Poke-Power or Poke-Body, choose up to 2 basic Energy cards attached to 1 of your opponent's Pokemon and attach them to the Defending Pokemon.",0.27,0.5,1.97,0.47,,Normal,,,,,,,,
83555,Ancient Technical Machine [Steel],Ancient Technical Machine Steel,https://tcgplayer-cdn.tcgplayer.com/product/83555_200w.jpg,3,1416,https://cpt.tcgcsv.com/7rH,2024-03-08T16:28:34.877,1,86/101,Uncommon,Item,"Attach this card to 1 of your Evolved Pokemon (excluding Pokemon-ex and Pokemon that has an owner in its name) in play.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Ancient Technical Machine [Steel].","[2] Steel Generator 
<br> If the Defending Pokemon has a Poke-Power or Poke-Body, choose up to 2 basic Energy cards attached to 1 of your opponent's Pokemon and attach them to the Defending Pokemon.",0.66,1.1,5.93,1.2,,Reverse Holofoil,,,,,,,,
83556,Ancient Tomb,Ancient Tomb,https://tcgplayer-cdn.tcgplayer.com/product/83556_200w.jpg,3,1416,https://cpt.tcgcsv.com/8rH,2024-03-08T16:28:24.713,1,87/101,Uncommon,Stadium,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.
<br>
<br>Don't apply Weakness for all Pokemon in play <em>(excluding Pokemon-ex and Pokemon that has an owner in its name).</em>",,0.78,1.28,3.99,1.26,,Normal,,,,,,,,
83556,Ancient Tomb,Ancient Tomb,https://tcgplayer-cdn.tcgplayer.com/product/83556_200w.jpg,3,1416,https://cpt.tcgcsv.com/8rH,2024-03-08T16:28:24.713,1,87/101,Uncommon,Stadium,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.
<br>
<br>Don't apply Weakness for all Pokemon in play <em>(excluding Pokemon-ex and Pokemon that has an owner in its name).</em>",,2.43,3.05,5.09,3.19,2.43,Reverse Holofoil,,,,,,,,
83710,Baltoy - 52/101,Baltoy 52 101,https://tcgplayer-cdn.tcgplayer.com/product/83710_200w.jpg,3,1416,https://cpt.tcgcsv.com/dvH,2024-03-07T16:37:08.643,1,52/101,Common,Psychic,,"[P] Psyshock (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",0.15,0.3,1.74,0.26,,Normal,50,Basic,P,None,1,,,
83710,Baltoy - 52/101,Baltoy 52 101,https://tcgplayer-cdn.tcgplayer.com/product/83710_200w.jpg,3,1416,https://cpt.tcgcsv.com/dvH,2024-03-07T16:37:08.643,1,52/101,Common,Psychic,,"[P] Psyshock (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",1.79,3.26,5.0,4.44,,Reverse Holofoil,50,Basic,P,None,1,,,
