productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
173392,Dragon Majesty Booster Pack,Dragon Majesty Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/173392_200w.jpg,3,2295,https://cpt.tcgcsv.com/Smp2,2018-08-31T15:45:36.717,1,"Noble Pokémon of wing and claw fly high in the Pokémon TCG: Dragon Majesty expansion! Look for Dragon Majesty collections to bring forth a mighty horde of draconic Pokémon: Reshiram-GX, Salamence-GX, Dragonite-GX, and over a dozen more, including Charizard! Their command of fire, battle, and sky will rise to the top for collectors and competitors alike. Get ready to soar with these awesome Pokémon in the special Dragon Majesty expansion!
<br>
<br>",68.0,74.0,80.0,53.06,,Normal,,,,,,,,,,,
173393,Dragon Majesty Elite Trainer Box,Dragon Majesty Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/173393_200w.jpg,3,2295,https://cpt.tcgcsv.com/Tmp2,2018-09-06T14:25:37.773,1,"Noble Pokémon of wing and claw fly high in the Pokémon TCG: Dragon Majesty expansion! Look for Dragon Majesty collections to bring forth a mighty horde of draconic Pokémon: Reshiram-GX, Salamence-GX, Dragonite-GX, and over a dozen more, including Charizard! Their command of fire, battle, and sky will rise to the top for collectors and competitors alike. Get ready to soar with these awesome Pokémon in the special Dragon Majesty expansion!
<br>
<br>",750.0,1412.5,1999.99,683.8,,Normal,,,,,,,,,,,
175062,Dragon Majesty Pin Collection [Latias],Dragon Majesty Pin Collection Latias,https://tcgplayer-cdn.tcgplayer.com/product/175062_200w.jpg,3,2295,https://cpt.tcgcsv.com/g2q2,2018-08-31T15:41:33.487,1,"Each Dragon Majesty Pin Collection [Latias] contains:
<br>• 1 Promo card of Latias
<br>• 1 Collector's pin of Latias
<br>• 3 Dragon Majesty Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",250.0,275.0,299.99,,,Normal,,,,,,,,,,,
175063,Dragon Majesty Pin Collection [Latios],Dragon Majesty Pin Collection Latios,https://tcgplayer-cdn.tcgplayer.com/product/175063_200w.jpg,3,2295,https://cpt.tcgcsv.com/h2q2,2018-08-31T15:41:59.187,1,"Each Dragon Majesty Pin Collection [Latios] contains:
<br>• 1 Promo card of Latios
<br>• 1 Collector's pin of Latios
<br>• 3 Dragon Majesty Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",,,,,,,,,,,,,,,,,
175263,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/175263_200w.jpg,3,2295,https://cpt.tcgcsv.com/h7q2,2023-11-02T13:51:24.873,1,,8.72,9.59,17.85,12.27,,Reverse Holofoil,1/70,Common,Fire,70,Basic,"[1R] Fire Fang (20)
<br>Your opponent's Active Pokémon is now Burned.",Wx2,None,2,,
175263,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/175263_200w.jpg,3,2295,https://cpt.tcgcsv.com/h7q2,2023-11-02T13:51:24.873,1,,0.89,1.4,4.95,1.45,,Normal,1/70,Common,Fire,70,Basic,"[1R] Fire Fang (20)
<br>Your opponent's Active Pokémon is now Burned.",Wx2,None,2,,
175269,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/175269_200w.jpg,3,2295,https://cpt.tcgcsv.com/p7q2,2024-12-21T14:21:10.8,1,"<strong>Ability — Burning Fighter</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokemon.",1.8,2.56,3.9,2.65,2.87,Reverse Holofoil,2/70,Uncommon,Fire,80,Stage 1,"[1RR] Flamethrower (80)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175269,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/175269_200w.jpg,3,2295,https://cpt.tcgcsv.com/p7q2,2024-12-21T14:21:10.8,1,"<strong>Ability — Burning Fighter</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokemon.",0.44,0.75,2.0,0.77,0.85,Normal,2/70,Uncommon,Fire,80,Stage 1,"[1RR] Flamethrower (80)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175270,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/175270_200w.jpg,3,2295,https://cpt.tcgcsv.com/q7q2,2024-11-11T11:03:39.673,1,"<strong>Ability — Resolute Flame</strong>
<br>This Pokémon's attacks do 30 more damage to your opponent's Active Pokémon for each of their Pokémon-GX and Pokémon-EX in play.",14.38,32.31,40.66,15.14,14.38,Reverse Holofoil,3/70,Holo Rare,Fire,160,Stage 2,"[1RR] Fiery Blast (130)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175270,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/175270_200w.jpg,3,2295,https://cpt.tcgcsv.com/q7q2,2024-11-11T11:03:39.673,1,"<strong>Ability — Resolute Flame</strong>
<br>This Pokémon's attacks do 30 more damage to your opponent's Active Pokémon for each of their Pokémon-GX and Pokémon-EX in play.",3.99,5.41,10.0,5.72,,Holofoil,3/70,Holo Rare,Fire,160,Stage 2,"[1RR] Fiery Blast (130)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
