productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
270708,Pokemon GO Elite Trainer Box,Pokemon GO Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/270708_200w.jpg,3,3064,https://cpt.tcgcsv.com/bjb3,2022-07-01T04:03:10.78,1,"Gear up for battle like never before as Pokémon GO meets the Pokémon Trading Card Game! Dragonite VSTAR and Mewtwo VSTAR show off immense powers, while Melmetal VMAX in its Gigantamax form smashes the competition. Appearing as sought-after Shiny Pokémon, Radiant Venusaur, Radiant Charizard, and Radiant Blastoise bring dazzling new strategies to the battlefield. Meanwhile, the leaders of Team Instinct, Team Mystic, and Team Valor are ready to show their support in the Pokémon TCG: Pokémon GO expansion!The Pokémon TCG: Pokémon GO Elite Trainer Box includes:
<br><br>• 10 Pokémon TCG: Pokémon GO booster packs
<br>• 1 foil promo card featuring Mewtwo V
<br>• 65 card sleeves featuring Mewtwo
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Pokémon GO expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic VSTAR marker
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",820650850509,89.99,110.0,999.99,95.26,,Normal,,,,,,,,,,
270709,Pokemon GO Pokemon Center Elite Trainer Box Plus (Exclusive),Pokemon GO Pokemon Center Elite Trainer Box Plus Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/270709_200w.jpg,3,3064,https://cpt.tcgcsv.com/cjb3,2022-07-29T04:03:24.727,1,"This Pokémon TCG: Pokémon GO Pokémon Center Elite Trainer Box Plus can be found only at Pokémon Center and comes with exclusive accessories—a deck box, metal dice, metal coin, and metal condition markers—plus 12 booster packs (two more than in a standard Pokémon GO Elite Trainer Box).
<br><br>• 12 Pokémon TCG: Pokémon GO booster packs
<br>• 1 full-art foil promo card featuring Mewtwo V
<br>• 65 card sleeves featuring Mewtwo
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Pokémon GO expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic VSTAR marker
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",,167.99,239.95,1799.99,153.11,,Normal,,,,,,,,,,
270710,V Battle Deck [Mewtwo V],V Battle Deck Mewtwo V,https://tcgplayer-cdn.tcgplayer.com/product/270710_200w.jpg,3,3064,https://cpt.tcgcsv.com/djb3,2022-07-01T04:03:10.78,1,"Unleash mental might or metal mayhem with a deck led by Mewtwo V or Melmetal V! Mewtwo V leads an elusive team of Psychic types, and Melmetal V brings the crushing power of Metal types, so you can land quick hits turn after turn, keep Energy in play, and master all the tricks of these two V Battle Decks!
<br><br>In each box, you’ll find:
<br>• 1 ready-to-play 60-card deck
<br>• 3 reference cards
<br>• 1 rules booklet
<br>• Single-player playmat
<br>• Damage counters
<br>• 1 large metallic coin
<br>• 1 deck box
<br>• 1 Quick Guide to unlock the strategies within
<br>• 1 code card to play this deck online",,14.6,20.99,45.0,16.24,,Normal,,,,,,,,,,
270711,V Battle Deck [Melmetal V],V Battle Deck Melmetal V,https://tcgplayer-cdn.tcgplayer.com/product/270711_200w.jpg,3,3064,https://cpt.tcgcsv.com/fjb3,2022-07-01T04:03:10.78,1,"Unleash mental might or metal mayhem with a deck led by Mewtwo V or Melmetal V! Mewtwo V leads an elusive team of Psychic types, and Melmetal V brings the crushing power of Metal types, so you can land quick hits turn after turn, keep Energy in play, and master all the tricks of these two V Battle Decks!
<br><br>In each box, you’ll find:
<br>• 1 ready-to-play 60-card deck
<br>• 3 reference cards
<br>• 1 rules booklet
<br>• Single-player playmat
<br>• Damage counters
<br>• 1 large metallic coin
<br>• 1 deck box
<br>• 1 Quick Guide to unlock the strategies within
<br>• 1 code card to play this deck online",,6.5,7.93,27.39,7.4,,Normal,,,,,,,,,,
270712,Pokemon GO V Battle Deck Bundle [Mewtwo V/Melmetal V],Pokemon GO V Battle Deck Bundle Mewtwo V Melmetal V,https://tcgplayer-cdn.tcgplayer.com/product/270712_200w.jpg,3,3064,https://cpt.tcgcsv.com/gjb3,2022-07-07T14:12:09.797,1,"Get ready for a major Pokémon battle with a ready-to-play double deck bundle—with extra Trainer cards! This set includes a deck for you and one for a friend. You can choose either Mewtwo V or Melmetal V to lead your team in a heads-up battle against another Trainer. Then, switch up the decks and see what things look like from the other side—can you win with both powerful Pokémon V?
The Pokémon TCG: Pokémon GO V Battle Deck—Mewtwo vs. Melmetal includes:
<br>
<br>The Pokemon TCG: V Battle Deck—Mewtwo vs. Melmetal  includes:
<br>• 2 ready-to-play V Battle Decks (60 cards each)
<br>• Each deck includes a foil Pokémon V: Mewtwo V or Melmetal V
<br>• 11 additional Trainer cards, including 5 foil cards
<br>• 2 Pokémon GO booster packs
<br>• Each booster pack contains 10 cards and either 1 basic Energy or 1 VSTAR marker. Cards vary by pack.
<br>• 1 sticker sheet
<br>• 2 large metallic coins
<br>• 2 deck boxes
<br>• 2 Quick Guides to unlock the strategies within
<br>• 2 single-player playmats
<br>• 6 reference cards
<br>• Damage counters
<br>• 1 guide to upgrading your decks
<br>• 1 code card for the Pokemon Trading Card Game Online",,25.99,31.0,80.0,26.79,,Normal,,,,,,,,,,
270713,Pokemon GO Special Collection - Team Instinct,Pokemon GO Special Collection Team Instinct,https://tcgplayer-cdn.tcgplayer.com/product/270713_200w.jpg,3,3064,https://cpt.tcgcsv.com/hjb3,2022-07-01T04:03:10.78,1,"Nothing beats exploring the world with your teammates by your side! Proudly let other Trainers know which team you’re on with the eye-catching pin in this collection. You’ll also find your favorite team leader as a playable Supporter card that helps you draw cards and get Energy into play, as well as a stack of booster packs from the special Pokémon GO expansion.
<br>Each Pokémon TCG: Pokémon GO Special Team Collection includes:
<br>• A full-art foil promo card featuring Spark, Blanche, or Candela
<br>• A deluxe pin featuring the emblem of Team Instinct, Team Mystic, or Team Valor
<br>• 6 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,50.0,59.74,237.0,45.54,,Normal,,,,,,,,,,
270714,Pokemon GO Special Collection - Team Mystic,Pokemon GO Special Collection Team Mystic,https://tcgplayer-cdn.tcgplayer.com/product/270714_200w.jpg,3,3064,https://cpt.tcgcsv.com/jjb3,2022-07-01T04:03:10.78,1,"Nothing beats exploring the world with your teammates by your side! Proudly let other Trainers know which team you’re on with the eye-catching pin in this collection. You’ll also find your favorite team leader as a playable Supporter card that helps you draw cards and get Energy into play, as well as a stack of booster packs from the special Pokémon GO expansion.
<br>Each Pokémon TCG: Pokémon GO Special Team Collection includes:
<br>• A full-art foil promo card featuring Spark, Blanche, or Candela
<br>• A deluxe pin featuring the emblem of Team Instinct, Team Mystic, or Team Valor
<br>• 6 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,43.99,56.48,237.0,47.43,,Normal,,,,,,,,,,
270715,Pokemon GO Special Collection - Team Valor,Pokemon GO Special Collection Team Valor,https://tcgplayer-cdn.tcgplayer.com/product/270715_200w.jpg,3,3064,https://cpt.tcgcsv.com/kjb3,2022-07-01T04:03:10.78,1,"Nothing beats exploring the world with your teammates by your side! Proudly let other Trainers know which team you’re on with the eye-catching pin in this collection. You’ll also find your favorite team leader as a playable Supporter card that helps you draw cards and get Energy into play, as well as a stack of booster packs from the special Pokémon GO expansion.
<br>Each Pokémon TCG: Pokémon GO Special Team Collection includes:
<br>• A full-art foil promo card featuring Spark, Blanche, or Candela
<br>• A deluxe pin featuring the emblem of Team Instinct, Team Mystic, or Team Valor
<br>• 6 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,48.99,61.99,237.0,56.41,,Normal,,,,,,,,,,
270716,Pokemon GO Collection [Alolan Exeggutor V],Pokemon GO Collection Alolan Exeggutor V,https://tcgplayer-cdn.tcgplayer.com/product/270716_200w.jpg,3,3064,https://cpt.tcgcsv.com/ljb3,2022-07-01T04:03:10.78,1,"Growing taller and stronger in the tropical sunshine, Alolan Exeggutor V surveys its surroundings and then swings in to strike! This powerful Grass-type Pokémon makes it easy to get Energy into play so you can land a big hit. Here you’ll find a ready-to-play copy of Alolan Exeggutor V, plus an oversize version to show off in your collection, as well as a handful of booster packs from the special Pokémon GO expansion.
<br>The Pokémon TCG: Pokémon GO Collection—Alolan Exeggutor V includes:
<br>• A foil promo card featuring Alolan Exeggutor V
<br>• An oversize foil card featuring Alolan Exeggutor V
<br>• 4 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",820650870545,30.0,39.99,164.0,29.96,,Normal,,,,,,,,,,
270717,Pokemon GO Premium Collection [Radiant Eevee],Pokemon GO Premium Collection Radiant Eevee,https://tcgplayer-cdn.tcgplayer.com/product/270717_200w.jpg,3,3064,https://cpt.tcgcsv.com/mjb3,2022-07-01T04:03:10.78,1,"A Shining Smile & Fluffy Fur—Radiant Eevee Is Here!
<br>With their unique coloration, Shiny Pokémon are usually tough to find, but the adorable Radiant Eevee is eager to join your team in this collection filled with tons of treasures! In addition to a playable foil card featuring Radiant Eevee, you also get a glossy enamel pin and a playmat that shows off beautiful artwork of this rare Pokémon. Then, find even more awesome Pokémon and Trainer cards in a stack of Pokémon GO booster packs!
<br>The Pokémon TCG: Pokémon GO Premium Collection—Radiant Eevee includes:
<br>• A foil promo card featuring Radiant Eevee
<br>• A deluxe pin featuring Radiant Eevee
<br>• A playmat with artwork featuring Radiant Eevee
<br>• 8 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,82.44,100.0,999.0,84.23,,Normal,,,,,,,,,,
