productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
83450,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83450_200w.jpg,3,1377,https://cpt.tcgcsv.com/0pH,2022-11-17T20:59:18.253,1,96/95,Secret Rare,Darkness,70,Basic,"[2] Quick Attack (10+) 
<br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.","[1DD] Feint Attack 
<br>Choose 1 of your opponent's Pokemon.  This attack does 30 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies or any other effects on that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,99.69,99.83,99.96,159.5,,Holofoil,,
83565,Aqua Energy,Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/83565_200w.jpg,3,1377,https://cpt.tcgcsv.com/krH,2024-04-01T21:21:07.207,1,86/95,Uncommon,Special Multi Energy,,,,,,,,1.15,1.74,3.75,1.35,,Normal,"Aqua Energy can be attached only to a Pokemon with Team Aqua in its name.  Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Aqua Energy.",
83565,Aqua Energy,Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/83565_200w.jpg,3,1377,https://cpt.tcgcsv.com/krH,2024-04-01T21:21:07.207,1,86/95,Uncommon,Special Multi Energy,,,,,,,,2.9,7.45,14.36,11.67,,Reverse Holofoil,"Aqua Energy can be attached only to a Pokemon with Team Aqua in its name.  Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Aqua Energy.",
83612,Archie,Archie,https://tcgplayer-cdn.tcgplayer.com/product/83612_200w.jpg,3,1377,https://cpt.tcgcsv.com/gsH,2024-04-01T21:21:07.6,1,71/95,Uncommon,Trainer - Supporter,,,,,,,,1.93,3.24,7.42,2.87,,Normal,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for a Pokemon with Team Aqua in its name and put it onto your Bench.  Shuffle your deck afterward.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
83612,Archie,Archie,https://tcgplayer-cdn.tcgplayer.com/product/83612_200w.jpg,3,1377,https://cpt.tcgcsv.com/gsH,2024-04-01T21:21:07.6,1,71/95,Uncommon,Trainer - Supporter,,,,,,,,2.09,4.24,4.97,4.68,,Reverse Holofoil,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for a Pokemon with Team Aqua in its name and put it onto your Bench.  Shuffle your deck afterward.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
83912,Blaziken ex,Blaziken ex,https://tcgplayer-cdn.tcgplayer.com/product/83912_200w.jpg,3,1377,https://cpt.tcgcsv.com/gBH,2024-04-01T21:21:03.937,1,89/95,Ultra Rare,Fire,150,Stage 2,"[1R] Blaze Kick (30+) 
<br>Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.  If tails, this attack does 30 damage and the Defending Pokemon is now Burned.","[2RR] Volcanic Ash
<br>Discard 2 Fire Energy attached to Blaziken ex and then choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",PW,None,2,90.0,94.96,169.01,158.73,,Holofoil,,
84028,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84028_200w.jpg,3,1377,https://cpt.tcgcsv.com/BDH,2024-04-01T21:21:04.963,1,39/95,Common,Grass,50,Basic,"[1] Growth
<br>Attach a Grass Energy card from your hand to Bulbasaur.",[G] Razor Leaf (10),R,None,1,14.5,17.75,29.98,10.01,14.99,Normal,,
84457,Cradily ex,Cradily ex,https://tcgplayer-cdn.tcgplayer.com/product/84457_200w.jpg,3,1377,https://cpt.tcgcsv.com/9PH,2024-04-01T21:21:05.04,1,90/95,Ultra Rare,Grass,150,Stage 2,"[2] Eerie Light (30) 
<br>The Defending Pokemon is now Confused.","[2GG] Acidic Poison (60) 
<br>The Defending Pokemon is now Poisoned and Burned.",RW,None,2,50.25,75.99,83.59,73.46,,Holofoil,"<strong>Poké-BODY</strong> — Primal Vibes <br>
As long as Cradily ex is your Active Pokemon, your opponent can't play a Pokemon from his or her hand to evolve his or her Active Pokemon.",
84530,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84530_200w.jpg,3,1377,https://cpt.tcgcsv.com/DQH,2024-04-01T21:20:59.193,1,40/95,Common,Fighting,50,Basic,"[F] Bone Attack (20) 
<br>Flip a coin.  If tails, this attack does nothing.",,G,None,1,2.18,2.75,4.45,3.0,,Normal,,
84530,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84530_200w.jpg,3,1377,https://cpt.tcgcsv.com/DQH,2024-04-01T21:20:59.193,1,40/95,Common,Fighting,50,Basic,"[F] Bone Attack (20) 
<br>Flip a coin.  If tails, this attack does nothing.",,G,None,1,19.98,20.44,20.89,35.0,,Reverse Holofoil,,
