productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
218789,Champion's Path Booster Pack,Champions Path Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/218789_200w.jpg,3,2685,https://cpt.tcgcsv.com/PwM2,2020-09-25T04:03:13.787,1,Each booster pack contains 10 random cards.,12.5,16.74,49.99,14.41,,Normal,,,,,,,,,,
218791,Champion's Path Elite Trainer Box,Champions Path Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/218791_200w.jpg,3,2685,https://cpt.tcgcsv.com/RwM2,2020-09-25T04:03:13.787,1,"The Pokémon TCG: Champion’s Path Elite Trainer Box includes:
<br>• 10 Pokémon TCG: Champion’s Path booster packs
<br>• 1 full-art promo card featuring Charizard V
<br>• 65-pack of card sleeves featuring Gigantamax Charizard
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Champion’s Path expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",159.99,180.0,399.99,149.85,,Normal,,,,,,,,,,
218792,"Champion's Path Pin Collection Display: Turffield, Hulbury, & Motostoke Gyms",Champions Path Pin Collection Display Turffield Hulbury and Motostoke Gyms,https://tcgplayer-cdn.tcgplayer.com/product/218792_200w.jpg,3,2685,https://cpt.tcgcsv.com/SwM2,2020-09-25T04:03:13.787,1,"<strong>Enter the Stadium—and Meet the Gym Leader!</strong>

<br><br>Many Trainers in the Galar region undertake the Gym Challenge, facing off against exceptional Gym Leaders in stadiums packed with cheering fans. Explore the first three stops along the way—Milo’s Turffield Gym, Nessa’s Hulbury Gym, and Kabu’s Motostoke Gym. Earn your Gym badge, add the Gym Leader’s partner Pokémon to your own team, and find more surprises in Pokémon TCG: Champion’s Path booster packs! Start your journey and defeat your rivals!
<br>
<br><strong>Contents:</strong>
Each display contains 6 Champion's Path Pin Collection(s).",357.36,386.18,420.0,319.96,,Normal,,,,,,,,,,
218794,Champion's Path Pin Collection [Hulbury Gym],Champions Path Pin Collection Hulbury Gym,https://tcgplayer-cdn.tcgplayer.com/product/218794_200w.jpg,3,2685,https://cpt.tcgcsv.com/VwM2,2020-09-25T04:03:13.787,1,"<br><strong>Contents:</strong>
<br>• 1 foil card featuring the Gym Leader’s partner Pokémon: Drednaw
<br>• 1 collector’s pin featuring the Gym logo
<br>• 3 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",45.0,47.98,79.99,38.32,,Normal,,,,,,,,,,
218796,Champion's Path Pin Collection [Motostoke Gym],Champions Path Pin Collection Motostoke Gym,https://tcgplayer-cdn.tcgplayer.com/product/218796_200w.jpg,3,2685,https://cpt.tcgcsv.com/XwM2,2020-09-25T04:03:13.787,1,"<br><strong>Contents:</strong>
<br>• 1 foil card featuring the Gym Leader’s partner Pokémon: Centiskorch
<br>• 1 collector’s pin featuring the Gym logo
<br>• 3 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",59.0,59.99,89.99,44.98,,Normal,,,,,,,,,,
218797,Champion's Path Pin Collection [Turffield Gym],Champions Path Pin Collection Turffield Gym,https://tcgplayer-cdn.tcgplayer.com/product/218797_200w.jpg,3,2685,https://cpt.tcgcsv.com/ZwM2,2020-09-25T04:03:13.787,1,"<br><strong>Contents:</strong>
<br>• 1 foil card featuring the Gym Leader’s partner Pokémon: Eldegoss
<br>• 1 collector’s pin featuring the Gym logo
<br>• 3 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",50.0,57.33,79.99,39.31,,Normal,,,,,,,,,,
218798,Champion's Path Pin Collection [Hammerlocke Gym],Champions Path Pin Collection Hammerlocke Gym,https://tcgplayer-cdn.tcgplayer.com/product/218798_200w.jpg,3,2685,https://cpt.tcgcsv.com/-wM2,2023-03-06T13:42:05.313,1,"<br><strong>Contents:</strong>
<br>• 1 foil card featuring the Gym Leader’s partner Pokémon: Duraludon
<br>• 1 collector’s pin featuring the Gym logo
<br>• 3 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",49.99,64.99,79.99,42.8,,Normal,,,,,,,,,,
218799,Champion's Path Pin Collection [Ballonlea Gym],Champions Path Pin Collection Ballonlea Gym,https://tcgplayer-cdn.tcgplayer.com/product/218799_200w.jpg,3,2685,https://cpt.tcgcsv.com/_wM2,2020-11-13T05:03:12.027,1,"<br><strong>Contents:</strong>
<br>• 1 foil card featuring the Gym Leader’s partner Pokémon: Alcremie
<br>• 1 collector’s pin featuring the Gym logo
<br>• 3 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",50.0,50.0,50.0,51.47,,Normal,,,,,,,,,,
218800,Champion's Path Pin Collection [Spikemuth Gym],Champions Path Pin Collection Spikemuth Gym,https://tcgplayer-cdn.tcgplayer.com/product/218800_200w.jpg,3,2685,https://cpt.tcgcsv.com/0xM2,2020-11-13T05:03:12.027,1,"<br><strong>Contents:</strong>
<br>• 1 foil card featuring the Gym Leader’s partner Pokémon: Galarian Obstagoon
<br>• 1 collector’s pin featuring the Gym logo
<br>• 3 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",59.99,69.99,79.99,58.99,,Normal,,,,,,,,,,
218802,Champion's Path Special Pin Collection [Stow-on-Side],Champions Path Special Pin Collection Stow on Side,https://tcgplayer-cdn.tcgplayer.com/product/218802_200w.jpg,3,2685,https://cpt.tcgcsv.com/3xM2,2020-10-02T04:03:21.117,1,"Each Pokémon TCG: Champion’s Path Special Pin Collection includes:
<br>• 2 foil cards featuring both Gym Leaders’ partner Pokémon: Machamp and Gengar
<br>• 2 collector’s pins featuring both Gym logos
<br>• 5 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",,,,,,,,,,,,,,,,
218803,Champion's Path Special Pin Collection [Circhester],Champions Path Special Pin Collection Circhester,https://tcgplayer-cdn.tcgplayer.com/product/218803_200w.jpg,3,2685,https://cpt.tcgcsv.com/5xM2,2020-10-02T04:03:21.117,1,"Each Pokémon TCG: Champion’s Path Special Pin Collection includes:
<br>• 2 foil cards featuring both Gym Leaders’ partner Pokémon: Coalossal and Lapras
<br>• 2 collector’s pins featuring both Gym logos
<br>• 5 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",54.99,67.5,99.99,48.12,,Normal,,,,,,,,,,
218804,Champion's Path Collection [Hatterene V],Champions Path Collection Hatterene V,https://tcgplayer-cdn.tcgplayer.com/product/218804_200w.jpg,3,2685,https://cpt.tcgcsv.com/6xM2,2020-10-23T04:03:03.057,1,"The Pokémon TCG: Champion’s Path Collection—Hatterene V includes:
<br>• 1 foil card featuring Hatterene V
<br>• 1 oversize foil card featuring Hatterene V
<br>• 4 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",39.96,49.98,79.99,38.73,,Normal,,,,,,,,,,
218806,Champion's Path Collection [Dubwool V],Champions Path Collection Dubwool V,https://tcgplayer-cdn.tcgplayer.com/product/218806_200w.jpg,3,2685,https://cpt.tcgcsv.com/8xM2,2020-09-25T04:03:13.787,1,"The Pokémon TCG: Champion’s Path Collection—Dubwool V includes:
<br>• 1 foil card featuring Dubwool V
<br>• 1 oversize foil card featuring Dubwool V
<br>• 4 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",30.75,49.98,79.99,39.35,,Normal,,,,,,,,,,
218807,Champion's Path Premium Collection [Marnie],Champions Path Premium Collection Marnie,https://tcgplayer-cdn.tcgplayer.com/product/218807_200w.jpg,3,2685,https://cpt.tcgcsv.com/9xM2,2020-10-23T04:03:03.057,1,"The Pokémon TCG: Champion’s Path Premium Collection—Marnie includes:
<br>• 1 foil card featuring Grimmsnarl V
<br>• 1 foil card featuring Morpeko V
<br>• 2 collector’s pins featuring Morpeko and Grimmsnarl
<br>• An awesome Pokémon TCG playmat featuring Marnie with her Pokémon partners
<br>• 8 Pokémon TCG: Champion’s Path booster packs
<br>• A code card for the Pokémon Trading Card Game Online",119.96,137.5,199.99,93.93,,Normal,,,,,,,,,,
