productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText,extAttack3
84270,Chespin - XY01,Chespin XY01,https://tcgplayer-cdn.tcgplayer.com/product/84270_200w.jpg,3,1451,https://cpt.tcgcsv.com/qKH,2021-10-20T12:58:05.303,1,XY01,Promo,Grass,60,Basic,[G] Vine Whip (10),[1G] Seed Bomb (20),Rx2,1,2.99,3.0,7.5,3.94,,Holofoil,,,
85410,Fennekin,Fennekin,https://tcgplayer-cdn.tcgplayer.com/product/85410_200w.jpg,3,1451,https://cpt.tcgcsv.com/dbJ,2016-06-06T14:59:40.453,1,XY02,Promo,Fire,60,Basic,[R] Scratch (10),[1R] Live Coal (20),Wx2,1,1.36,1.92,3.04,3.87,,Holofoil,,,
85568,Froakie - XY03,Froakie XY03,https://tcgplayer-cdn.tcgplayer.com/product/85568_200w.jpg,3,1451,https://cpt.tcgcsv.com/nfJ,2021-08-17T21:43:05.19,1,XY03,Promo,Water,60,Basic,[W] Pound (10),[1W] Water Drip (20),Gx2,1,3.4,6.45,7.06,6.88,,Holofoil,,,
89729,Sylveon - XY04,Sylveon XY04,https://tcgplayer-cdn.tcgplayer.com/product/89729_200w.jpg,3,1451,https://cpt.tcgcsv.com/CVK,2020-06-26T18:18:10.857,1,XY04,Promo,Fairy,90,Stage 1,"[Y] Disarming Voice (20) 
<br>Your opponent's Active Pokemon is now Confused.",[2Y] Fairy Wind (60),Mx2,1,13.17,18.69,32.37,19.75,,Holofoil,D-20,,
90670,Xerneas - XY05,Xerneas XY05,https://tcgplayer-cdn.tcgplayer.com/product/90670_200w.jpg,3,1451,https://cpt.tcgcsv.com/qhL,2021-08-05T14:21:29.503,1,XY05,Promo,Fairy,130,Basic,"[Y] Geomancy
<br>Choose 2 of your Benched Pokemon.  For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon.  Shuffle your deck afterward.","[1YY] Rainbow Spear (100) 
<br>Discard an Energy attached to this Pokemon.",Mx2,2,4.0,5.39,15.0,6.4,,Holofoil,D-20,,
90673,Xerneas EX - XY07,Xerneas EX XY07,https://tcgplayer-cdn.tcgplayer.com/product/90673_200w.jpg,3,1451,https://cpt.tcgcsv.com/thL,2022-12-25T10:41:36.743,1,XY07,Promo,Fairy,170,Basic,"[2Y] Break Through (60) 
<br>This attack does 30 damage to 1 of your opponent's Benched Pokemon.  <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>","[2YY] X Blast (140) 
<br>This Pokemon can't use X Blast during your next turn.",Mx2,2,2.88,4.43,4.99,4.41,,Holofoil,D-20,,
90698,Yveltal - XY06,Yveltal XY06,https://tcgplayer-cdn.tcgplayer.com/product/90698_200w.jpg,3,1451,https://cpt.tcgcsv.com/-hL,2020-08-12T19:11:36.26,1,XY06,Promo,Darkness,130,Basic,"[D] Oblivion Wing (30) 
<br>Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokemon.","[1DD] Darkness Blade (100) Flip a coin.  If tails, this Pokemon can't attack during your next turn.",Lx2,2,4.95,9.74,117.98,6.61,,Holofoil,F-20,,
90701,Yveltal EX - XY08,Yveltal EX XY08,https://tcgplayer-cdn.tcgplayer.com/product/90701_200w.jpg,3,1451,https://cpt.tcgcsv.com/2jL,2021-12-13T22:25:54.927,1,XY08,Promo,Darkness,170,Basic,[1D] Evil Ball (20+) This attack does 20 more damage times the amount of Energy attached to both Active Pokemon.,[2D] Y Cyclone (90) Move an Energy from this Pokemon to 1 of your Benched Pokemon.,Lx2,2,3.0,7.5,26.1,8.35,2.05,Holofoil,F-20,,
96369,Garchomp EX,Garchomp EX,https://tcgplayer-cdn.tcgplayer.com/product/96369_200w.jpg,3,1451,https://cpt.tcgcsv.com/pzN,2023-09-19T16:51:53.953,1,XY09,Promo,Dragon,170,Basic,"[F1] Dual Chop (30x)
<br>Flilp 2 coins. This attack does 30 damage times the number of heads.","[1WF] Power Blast (120)
<br>Discard an Energy attached to this Pokemon.",Yx2,2,8.44,9.7,17.79,9.2,,Holofoil,None,,
96370,Dragalge - XY10 (Prerelease) [Staff],Dragalge XY10 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/96370_200w.jpg,3,1451,https://cpt.tcgcsv.com/qzN,2024-04-08T15:48:02.393,1,XY10,Promo,Dragon,100,Stage 1,"[WP1] Poison Breath (60)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.",,Yx2,1,32.79,65.0,79.99,67.34,,Holofoil,None,"<strong>Ability - Poison Barrier</strong>
<br>Your opponent's Poisoned Pokemon can't retreat.",
