productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
518886,Pokemon Trading Card Game Classic,Pokemon Trading Card Game Classic,https://tcgplayer-cdn.tcgplayer.com/product/518886_200w.jpg,3,23323,https://cpt.tcgcsv.com/Lz96,2024-01-02T21:31:32.183,1,"Experience the timeless joy of the Pokémon TCG with Pokémon Trading Card Game Classic—a product designed for fans to enjoy friendly battles anytime and anywhere! Pokémon Trading Card Game Classic features a foldable, portable two-player game board complete with card placement zones for your Active Pokémon, Benched Pokémon, deck, discard pile, and Prize cards. Since this board features a compartment at the center, it can also hold up to three decks and a toolbox featuring accessories you need for battling.
<br>
<br>Recount the days of Venusaur, Charizard, and Blastoise from Base Set running wild with three specially constructed decks featuring these fully evolved Kanto first partner Pokémon. These decks also feature newly printed cards to go alongside the classics, letting you form new strategies with never-before-seen cards like Ho-Oh ex and Lugia ex. Except for Basic Energy cards, the cards in these decks are not legal for tournament play, but since the game is always changing, these static decks are perfect for challenging friends and family to an evergreen battle of the Pokémon TCG.
<br>
<br>Inside the toolbox, you'll find stackable damage counters that clearly indicate how much damage a Pokémon has taken, three-dimensional Poison and Burn markers, and metal orbs that take the place of Pokémon coins. At the center of the toolbox, you'll be able to roll these metal orbs down a small chute—if the orb lands in a white-bordered hole, it's treated as heads, and if it lands in a black-bordered hole, it's treated as tails. When playing with Pokémon Trading Card Game Classic, you'll never need to scrounge for dice or coins.
<br>
<br>Pokémon Trading Card Game Classic includes:
<br>
<br>• A game board that folds up to store all the items included in Pokémon Trading Card Game Classic.
<br>• A toolbox for storing stackable damage counters, Poison and Burn markers, and metal orbs.
<br>• Three Pokémon TCG decks featuring Venusaur, Charizard, and Blastoise, as well as newly printed cards to go along with the classics.
<br>• Three deck boxes featuring Energy symbols matching the included Pokémon TCG decks.",279.0,370.0,1000.0,269.5,,Normal,,,,,,,,,,
527883,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/527883_200w.jpg,3,23323,https://cpt.tcgcsv.com/H9f6,2024-07-18T16:12:23.533,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",6.0,10.0,18.99,8.58,10.0,Holofoil,001/034,Classic Collection,Grass,40,Basic,"[GG] Leech Seed (20)
<br>Heal 10 damage from this Pokémon.",Rx2,None,1,
527884,Ivysaur,Ivysaur,https://tcgplayer-cdn.tcgplayer.com/product/527884_200w.jpg,3,23323,https://cpt.tcgcsv.com/J9f6,2024-07-18T16:14:29.57,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",2.5,4.04,37.91,3.7,4.07,Holofoil,002/034,Classic Collection,Grass,60,Stage 1,[2G] Vine Whip (30),Rx2,None,1,"[GGG] Poisonpowder (20)
<br>Your opponent's Active Pokémon is now Poisoned."
527885,Venusaur,Venusaur,https://tcgplayer-cdn.tcgplayer.com/product/527885_200w.jpg,3,23323,https://cpt.tcgcsv.com/K9f6,2024-08-28T19:52:17.493,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span><br>
<strong>Pokémon Power: Energy Trans</strong> As often as you like during your turn, you may move 1 Grass Energy card from 1 of your Pokémon to another of your Pokémon. This Pokémon Power can't be used if this Pokémon is Asleep, Confused or Paralyzed.",20.7,28.93,55.0,23.7,,Holofoil,003/034,Classic Collection,Grass,100,Stage 2,[GGGG] Solar Beam (60),Rx2,None,2,
527886,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/527886_200w.jpg,3,23323,https://cpt.tcgcsv.com/L9f6,2024-07-18T16:15:31.573,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",0.2,0.53,4.99,0.66,0.73,Holofoil,004/034,Classic Collection,Grass,50,Basic,"[1] Call for Family 
<br>Search your deck for up to 2 Basic Pokemon and put them onto your Bench.  Then, shuffle your deck.",Rx2,None,1,"[G] Toxic Sport (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Poisoned."
527887,Parasect,Parasect,https://tcgplayer-cdn.tcgplayer.com/product/527887_200w.jpg,3,23323,https://cpt.tcgcsv.com/M9f6,2024-07-18T16:15:34.02,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",0.26,0.51,8.99,0.52,0.58,Holofoil,005/034,Classic Collection,Grass,80,Stage 1,"[1] Nutritional Support 
<br>Search your deck for up to 2 G Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.",R+20,None,1,"[1GG] Hibernation Spore (40) 
<br>Your opponent's Active Pokémon is now Asleep. During Pokémon Checkup, your opponent flips 2 coins instead of 1. If either of them is tails, that Pokémon is still Asleep."
527888,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/527888_200w.jpg,3,23323,https://cpt.tcgcsv.com/N9f6,2024-07-18T16:18:13.247,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",4.28,6.04,16.31,6.21,9.38,Holofoil,006/034,Classic Collection,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, this Pokémon's Slash attack does 30 more damage <em>(before applying Weakness and Resistance)</em>.",Rx2,F-30,0,[3] Slash (30)
527891,Pinsir,Pinsir,https://tcgplayer-cdn.tcgplayer.com/product/527891_200w.jpg,3,23323,https://cpt.tcgcsv.com/R9f6,2024-07-18T16:15:40.577,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",0.34,0.49,1.99,0.45,0.47,Holofoil,007/034,Classic Collection,Grass,110,Basic,"[2] Roof Fling
<br>Flip a coin. If heads, return your opponent's Active Pokemon and attached all cards into your opponent's hand.",Rx2,None,2,[GG] Guillotine (50)
527893,Sandshrew,Sandshrew,https://tcgplayer-cdn.tcgplayer.com/product/527893_200w.jpg,3,23323,https://cpt.tcgcsv.com/T9f6,2024-07-18T16:18:01.077,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",0.45,0.75,6.99,0.76,0.84,Holofoil,008/034,Classic Collection,Fighting,70,Basic,"[1] Collect
<br>Draw a card.",Gx2,None,1,[2F] Rolling Tackle (30)
527894,Sandslash,Sandslash,https://tcgplayer-cdn.tcgplayer.com/product/527894_200w.jpg,3,23323,https://cpt.tcgcsv.com/V9f6,2024-07-18T16:18:03.55,1,"<span style=""color:red"">Note: This card is <strong>NOT</strong> tournament legal.</span>",0.3,0.56,8.99,0.62,0.68,Holofoil,009/034,Classic Collection,Fighting,110,Stage 1,"[1] Continuous Scratch (30x)
<br>Flip 4 coins. This attack does 30 damage for each heads.",Gx2,None,1,"[2F] Sand Tomb (90)
<br>During your opponent's next turn, the Defending Pokémon can't retreat."
