productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extAttack,extDefense,extLinkRating,extLinkArrows
158233,Monster Reborn (LART-EN001),Monster Reborn LART EN001,https://tcgplayer-cdn.tcgplayer.com/product/158233_200w.jpg,2,2196,https://cpt.tcgcsv.com/Hjh2,2025-02-10T13:38:48.923,1,LART-EN001,Ultra Rare,SPELL,Normal Spell,Target 1 monster in either player's Graveyard; Special Summon it.,6.0,18.78,99.99,11.75,29.99,Limited,,,,,
158234,Left Leg of the Forbidden One,Left Leg of the Forbidden One,https://tcgplayer-cdn.tcgplayer.com/product/158234_200w.jpg,2,2196,https://cpt.tcgcsv.com/Jjh2,2018-11-30T19:46:11.52,1,LART-EN003,Ultra Rare,DARK,Normal Monster,<em>A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.</em>,4.45,6.99,200.0,6.21,18.94,Limited,Spellcaster,200,300,,
158235,Exodia the Forbidden One,Exodia the Forbidden One,https://tcgplayer-cdn.tcgplayer.com/product/158235_200w.jpg,2,2196,https://cpt.tcgcsv.com/Kjh2,2018-11-30T19:47:37.64,1,LART-EN004,Ultra Rare,DARK,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",20.0,24.0,200.0,22.27,39.95,Limited,Spellcaster,1000,1000,,
158236,Left Arm of the Forbidden One,Left Arm of the Forbidden One,https://tcgplayer-cdn.tcgplayer.com/product/158236_200w.jpg,2,2196,https://cpt.tcgcsv.com/Ljh2,2018-11-30T19:48:25.313,1,LART-EN005,Ultra Rare,DARK,Effect Monster,<em>A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.</em>,13.98,17.2,200.0,16.33,19.99,Limited,Spellcaster,200,300,,
158237,Right Arm of the Forbidden One,Right Arm of the Forbidden One,https://tcgplayer-cdn.tcgplayer.com/product/158237_200w.jpg,2,2196,https://cpt.tcgcsv.com/Mjh2,2019-04-19T12:21:01.713,1,LART-EN006,Ultra Rare,DARK,Effect Monster,<em>A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.</em>,9.44,12.07,49.99,12.43,9.43,Limited,Spellcaster,200,300,,
158238,Right Leg of the Forbidden One,Right Leg of the Forbidden One,https://tcgplayer-cdn.tcgplayer.com/product/158238_200w.jpg,2,2196,https://cpt.tcgcsv.com/Njh2,2024-10-03T04:09:51,1,LART-EN002,Ultra Rare,DARK,Effect Monster,<em>A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.</em>,19.3,24.43,200.0,23.07,23.35,Limited,Spellcaster,200,300,,
183585,Ring of Destruction,Ring of Destruction,https://tcgplayer-cdn.tcgplayer.com/product/183585_200w.jpg,2,2196,https://cpt.tcgcsv.com/Krt2,2024-12-21T12:14:34.817,1,LART-EN007,Ultra Rare,TRAP,Normal Trap,"During your opponent's turn: Target 1 face-up monster your opponent controls whose ATK is less than or equal to their LP; destroy that face-up monster, and if you do, take damage equal to its original ATK, then inflict damage to your opponent, equal to the damage you took. You can only activate 1 ""Ring of Destruction"" per turn.",3.91,6.95,20.0,6.61,,Limited,,,,,
185720,Lesser Fiend,Lesser Fiend,https://tcgplayer-cdn.tcgplayer.com/product/185720_200w.jpg,2,2196,https://cpt.tcgcsv.com/qjv2,2019-03-01T18:00:59.883,1,LART-EN008,Ultra Rare,DARK,Effect Monster,"(This card is always treated as an ""Archfiend"" card.)
<br>Banish any monster destroyed by battle with this card.",0.75,1.3,30.0,1.02,1.07,Limited,Fiend,2100,1000,,
185974,Call of the Haunted,Call of the Haunted,https://tcgplayer-cdn.tcgplayer.com/product/185974_200w.jpg,2,2196,https://cpt.tcgcsv.com/vpv2,2020-06-19T16:34:51.25,1,LART-EN009,Ultra Rare,TRAP,Continuous Trap,"Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",6.99,9.8,50.0,8.2,10.72,Limited,,,,,
194275,Soul Drain,Soul Drain,https://tcgplayer-cdn.tcgplayer.com/product/194275_200w.jpg,2,2196,https://cpt.tcgcsv.com/wKz2,2019-10-02T16:28:58.317,1,LART-EN011,Ultra Rare,TRAP,Continuous Trap,"Activate by paying 1000 LP. Monsters that are banished, as well as monsters in the GY, cannot activate their effects.",5.87,9.04,29.96,8.25,9.78,Limited,,,,,
194276,Dark Ruler Ha Des,Dark Ruler Ha Des,https://tcgplayer-cdn.tcgplayer.com/product/194276_200w.jpg,2,2196,https://cpt.tcgcsv.com/xKz2,2019-07-09T20:51:31.257,1,LART-EN010,Ultra Rare,DARK,Effect Monster,Cannot be Special Summoned from the GY. Negate effects of monsters destroyed by battle with Fiend monsters you control.,2.99,4.99,19.99,4.75,19.96,Limited,Fiend,2450,1600,,
196648,Skill Drain,Skill Drain,https://tcgplayer-cdn.tcgplayer.com/product/196648_200w.jpg,2,2196,https://cpt.tcgcsv.com/-GB2,2022-10-10T13:20:57.95,1,LART-EN012,Ultra Rare,TRAP,Continuous Trap,Activate this card by paying 1000 LP. Negate the effects of all face-up monsters while they are face-up on the field (but their effects can still be activated).,3.2,4.74,89.0,4.39,,Limited,,,,,
