productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extAttribute,extMonsterType,extAttack,extDefense
184337,Speed Duel: Arena of Lost Souls Booster Pack,Speed Duel Arena of Lost Souls Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/184337_200w.jpg,2,2399,https://cpt.tcgcsv.com/MLt2,2019-03-03T13:05:06.243,1,Each booster pack contains 4 random cards.,3.05,3.99,5.0,3.38,,Normal,,,,,,,
184338,Speed Duel: Arena of Lost Souls Booster Box,Speed Duel Arena of Lost Souls Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/184338_200w.jpg,2,2399,https://cpt.tcgcsv.com/NLt2,2019-03-03T13:04:22.98,1,Each booster box contains 36 packs of 4 random cards.,49.95,67.97,84.99,56.44,,Normal,,,,,,,
186712,Ectoplasmic Fortification!,Ectoplasmic Fortification,https://tcgplayer-cdn.tcgplayer.com/product/186712_200w.jpg,2,2399,https://cpt.tcgcsv.com/gJv2,2019-03-28T20:56:31.053,1,"<strong>Skill activation:</strong>
<br>Flip this card over when you activate this Skill.
<br><strong>Effect:</strong>
<br>Once per turn, if you control a Zombie monster, you can place 1 counter on this card. All Zombie monsters you control gain 100 ATK and lose 100 DEF for each counter on this card. Any battle damage you take from battles involving your Zombie monster is doubled.",0.24,0.57,3.99,0.36,,1st Edition,SBLS-ENS01,Super Rare,Skill,,,,
186713,Straight to the Grave,Straight to the Grave,https://tcgplayer-cdn.tcgplayer.com/product/186713_200w.jpg,2,2399,https://cpt.tcgcsv.com/hJv2,2019-03-28T20:57:02.057,1,"<strong>Skill activation:</strong>
<br>At the start of the Duel, place this card in your Field Zone and flip it over.
<br><strong>Effect:</strong>
<br>All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.",0.23,0.49,2.49,0.3,,1st Edition,SBLS-ENS02,Super Rare,Skill/Field Spell,,,,
186714,Call of the Haunted (Skill Card),Call of the Haunted Skill Card,https://tcgplayer-cdn.tcgplayer.com/product/186714_200w.jpg,2,2399,https://cpt.tcgcsv.com/jJv2,2020-11-17T19:44:45.943,1,"<strong>Skill activation:</strong>
<br>At the start of the Duel, place this card in your center Spell & Trap Zone. You cannot activate this Skill during your first turn of the Duel. You draw 1 less card at the beginning of the Duel.
<br><strong>Effect:</strong>
<br>Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",0.87,1.91,9.95,1.91,,1st Edition,SBLS-ENS03,Ultra Rare,Skill/Continuous Trap,,,,
186715,Royal Flush,Royal Flush,https://tcgplayer-cdn.tcgplayer.com/product/186715_200w.jpg,2,2399,https://cpt.tcgcsv.com/kJv2,2019-03-28T21:00:34.29,1,"<strong>Skill activation:</strong>
<br>Flip this card over when you activate this Skill.
<br><strong>Effect:</strong>
<br>Once per turn, if you control ""Queen's Knight"", you can pay 1000 LP to Normal Summon 1 ""King's Knight"" in addition to your Normal Summon or Set. ""King's Knight"" and ""Jack's Knight"" you control cannot attack directly the turn you use this Skill.",0.2,0.71,2.99,0.52,,1st Edition,SBLS-ENS04,Super Rare,Skill,,,,
186716,Tomb of the Pharaoh,Tomb of the Pharaoh,https://tcgplayer-cdn.tcgplayer.com/product/186716_200w.jpg,2,2399,https://cpt.tcgcsv.com/lJv2,2019-03-28T21:01:00.85,1,"<strong>Skill activation:</strong>
<br>At the start of the Duel, place this card in your Field Zone and flip it over.
<br><strong>Effect:</strong>
<br>This card's name is always treated as ""Necrovalley"".
<br>All ""Gravekeeper's"" monsters on the field gain 200 ATK/DEF.",0.4,0.99,4.99,0.6,,1st Edition,SBLS-ENS05,Ultra Rare,Skill/Field Spell,,,,
186717,Buster Blader,Buster Blader,https://tcgplayer-cdn.tcgplayer.com/product/186717_200w.jpg,2,2399,https://cpt.tcgcsv.com/mJv2,2019-03-28T18:56:16.22,1,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,0.19,0.32,2.52,0.26,,1st Edition,SBLS-EN001,Common,Effect Monster,EARTH,Warrior,2600,2300
186718,Whiptail Crow,Whiptail Crow,https://tcgplayer-cdn.tcgplayer.com/product/186718_200w.jpg,2,2399,https://cpt.tcgcsv.com/nJv2,2019-03-28T18:56:42.267,1,<em>Attacks from the skies with a whip-like tail.</em>,0.02,0.25,1.49,0.11,,1st Edition,SBLS-EN002,Common,Normal Monster,DARK,Fiend,1650,1600
186719,Possessed Dark Soul,Possessed Dark Soul,https://tcgplayer-cdn.tcgplayer.com/product/186719_200w.jpg,2,2399,https://cpt.tcgcsv.com/pJv2,2019-03-28T18:59:34.83,1,You can Tribute this face-up card; take control of all face-up Level 3 or lower monsters your opponent currently controls.,0.1,0.25,1.49,0.21,,1st Edition,SBLS-EN003,Common,Effect Monster,DARK,Fiend,1200,800
