productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extNumber,extRarity,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttribute,extMonsterType,extCardType,extAttack,extDefense
111646,Emperor of Darkness Structure Deck [1st Edition],Emperor of Darkness Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/111646_200w.jpg,2,1704,https://cpt.tcgcsv.com/XGV,2021-12-11T00:14:53.007,1,"Each Emperor of Darkness Structure Deck contains:
<br>
<br><strong>•</strong> 1 Preconstructed Deck of 41 cards:
<br>• 2 Ultra Rares
<br>• 3 Super Rares
<br>• 36 Commons
<br><strong>•</strong> 1 Common Token
<br><strong>•</strong> 1 Beginner's Guide
<br><strong>•</strong> 1 Double-sided Playmat/Dueling Guide",,,,,,,,,,,,,
111647,Token: Emperor of Darkness Structure Deck,Token Emperor of Darkness Structure Deck,https://tcgplayer-cdn.tcgplayer.com/product/111647_200w.jpg,2,1704,https://cpt.tcgcsv.com/ZGV,2024-05-14T15:38:31.283,1,This card can be used as any Token.,SR01-ENTKN,Common,0.2,0.5,1.0,0.46,,Unlimited,,,,,
111647,Token: Emperor of Darkness Structure Deck,Token Emperor of Darkness Structure Deck,https://tcgplayer-cdn.tcgplayer.com/product/111647_200w.jpg,2,1704,https://cpt.tcgcsv.com/ZGV,2024-05-14T15:38:31.283,1,This card can be used as any Token.,SR01-ENTKN,Common,0.01,0.49,1.99,0.44,,1st Edition,,,,,
111648,Ehther the Heavenly Monarch,Ehther the Heavenly Monarch,https://tcgplayer-cdn.tcgplayer.com/product/111648_200w.jpg,2,1704,https://cpt.tcgcsv.com/-GV,2017-07-20T15:29:53.68,1,"You can Tribute Summon this card by Tributing 1 Tribute Summoned monster. If this card is Tribute Summoned: You can send 2 ""Monarch"" Spell/Trap Cards with different names from your hand and/or Deck to the Graveyard, and if you do, Special Summon 1 monster with 2400 or more ATK and 1000 DEF from your Deck, but return it to the hand during the End Phase. During your opponent's Main Phase, if this card is in your hand: You can banish 1 ""Monarch"" Spell/Trap Card from your Graveyard; immediately after this effect resolves, Tribute Summon this card (this is a Quick Effect).",SR01-EN000,Ultra Rare,0.15,0.75,10.39,0.57,,Unlimited,LIGHT,Fairy,Effect Monster,2800,1000
111648,Ehther the Heavenly Monarch,Ehther the Heavenly Monarch,https://tcgplayer-cdn.tcgplayer.com/product/111648_200w.jpg,2,1704,https://cpt.tcgcsv.com/-GV,2017-07-20T15:29:53.68,1,"You can Tribute Summon this card by Tributing 1 Tribute Summoned monster. If this card is Tribute Summoned: You can send 2 ""Monarch"" Spell/Trap Cards with different names from your hand and/or Deck to the Graveyard, and if you do, Special Summon 1 monster with 2400 or more ATK and 1000 DEF from your Deck, but return it to the hand during the End Phase. During your opponent's Main Phase, if this card is in your hand: You can banish 1 ""Monarch"" Spell/Trap Card from your Graveyard; immediately after this effect resolves, Tribute Summon this card (this is a Quick Effect).",SR01-EN000,Ultra Rare,0.1,0.73,22.47,0.53,,1st Edition,LIGHT,Fairy,Effect Monster,2800,1000
111649,Erebus the Underworld Monarch,Erebus the Underworld Monarch,https://tcgplayer-cdn.tcgplayer.com/product/111649_200w.jpg,2,1704,https://cpt.tcgcsv.com/_GV,2017-07-20T15:30:17.7,1,"You can Tribute Summon this card by Tributing 1 Tribute Summoned monster. If this card is Tribute Summoned: You can send 2 ""Monarch"" Spell/Trap Cards with different names from your hand and/or Deck to the Graveyard, and if you do, shuffle 1 card from your opponent's hand (at random), Graveyard, or their side of the field into the Deck. Once per turn, during either player's Main Phase, if this card is in your Graveyard: You can discard 1 ""Monarch"" Spell/Trap Card, then target 1 monster in your Graveyard with 2400 or more ATK and 1000 DEF; add it to your hand.",SR01-EN001,Ultra Rare,0.15,1.55,22.47,2.32,0.25,1st Edition,DARK,Zombie,Effect Monster,2800,1000
111649,Erebus the Underworld Monarch,Erebus the Underworld Monarch,https://tcgplayer-cdn.tcgplayer.com/product/111649_200w.jpg,2,1704,https://cpt.tcgcsv.com/_GV,2017-07-20T15:30:17.7,1,"You can Tribute Summon this card by Tributing 1 Tribute Summoned monster. If this card is Tribute Summoned: You can send 2 ""Monarch"" Spell/Trap Cards with different names from your hand and/or Deck to the Graveyard, and if you do, shuffle 1 card from your opponent's hand (at random), Graveyard, or their side of the field into the Deck. Once per turn, during either player's Main Phase, if this card is in your Graveyard: You can discard 1 ""Monarch"" Spell/Trap Card, then target 1 monster in your Graveyard with 2400 or more ATK and 1000 DEF; add it to your hand.",SR01-EN001,Ultra Rare,0.1,1.0,5.99,0.41,,Unlimited,DARK,Zombie,Effect Monster,2800,1000
111650,Eidos the Underworld Squire,Eidos the Underworld Squire,https://tcgplayer-cdn.tcgplayer.com/product/111650_200w.jpg,2,1704,https://cpt.tcgcsv.com/0HV,2017-07-20T15:29:31.72,1,"If this card is Normal or Special Summoned: During your Main Phase this turn, you can Tribute Summon 1 monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) You can banish this card from your Graveyard, then target 1 monster with 800 ATK and 1000 DEF in your Graveyard, except ""Eidos the Underworld Squire""; Special Summon it in Defense Position, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. You can only use this effect of ""Eidos the Underworld Squire"" once per turn.",SR01-EN002,Super Rare,0.15,0.49,4.88,0.24,,Unlimited,DARK,Spellcaster,Effect Monster,800,1000
111650,Eidos the Underworld Squire,Eidos the Underworld Squire,https://tcgplayer-cdn.tcgplayer.com/product/111650_200w.jpg,2,1704,https://cpt.tcgcsv.com/0HV,2017-07-20T15:29:31.72,1,"If this card is Normal or Special Summoned: During your Main Phase this turn, you can Tribute Summon 1 monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) You can banish this card from your Graveyard, then target 1 monster with 800 ATK and 1000 DEF in your Graveyard, except ""Eidos the Underworld Squire""; Special Summon it in Defense Position, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. You can only use this effect of ""Eidos the Underworld Squire"" once per turn.",SR01-EN002,Super Rare,0.19,0.49,4.99,0.32,,1st Edition,DARK,Spellcaster,Effect Monster,800,1000
111651,Edea the Heavenly Squire,Edea the Heavenly Squire,https://tcgplayer-cdn.tcgplayer.com/product/111651_200w.jpg,2,1704,https://cpt.tcgcsv.com/2HV,2017-07-20T15:29:27.47,1,"If this card is Normal or Special Summoned: You can Special Summon 1 monster with 800 ATK and 1000 DEF from your Deck in Defense Position, except ""Edea the Heavenly Squire"", also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. If this card is sent to the Graveyard: You can target 1 of your banished ""Monarch"" Spell/Trap Cards; add it to your hand. You can only use each effect of ""Edea the Heavenly Squire"" once per turn.",SR01-EN003,Super Rare,0.15,0.47,7.95,0.26,,1st Edition,LIGHT,Warrior,Effect Monster,800,1000
