productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense
180731,Legendary Duelists: Sisters of the Rose Booster Box,Legendary Duelists Sisters of the Rose Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/180731_200w.jpg,2,2365,https://cpt.tcgcsv.com/Fjs2,2018-11-19T13:57:08.373,1,"<strong>Legendary Duelists: Sisters of the Rose</strong> debuts brand-new cards inspired by past heroines of Yu-Gi-Oh! like Mai Valentine, Alexis Rhodes and Akiza Izinski. 
<br>
<br>Each Legendary Duelists: Sister of the Rose booster box contains 36 packs of 5 random cards.",083717841920,145.0,174.98,279.0,174.99,,Normal,,,,,,,
180732,Legendary Duelists: Sisters of the Rose Booster Pack,Legendary Duelists Sisters of the Rose Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/180732_200w.jpg,2,2365,https://cpt.tcgcsv.com/Gjs2,2021-10-25T12:27:53.12,1,"<strong>Legendary Duelists: Sisters of the Rose</strong> debuts brand-new cards inspired by past heroines of Yu-Gi-Oh! like Mai Valentine, Alexis Rhodes and Akiza Izinski. 
<br>
<br>Each Legendary Duelists: Sister of the Rose booster pack contains 5 random cards.",083717841913,7.23,10.58,29.0,7.98,,Normal,,,,,,,
183117,Harpie's Feather Storm,Harpies Feather Storm,https://tcgplayer-cdn.tcgplayer.com/product/183117_200w.jpg,2,2365,https://cpt.tcgcsv.com/mgt2,2019-01-11T15:34:05.993,1,"If you control a WIND Winged Beast-Type monster: Until the end of this turn, negate any monster effects your opponent activates. If you control a ""Harpie"" monster, you can activate this card from your hand. If this card in its owner's Spell & Trap Zone is destroyed by an opponent's card effect: You can add 1 ""Harpie's Feather Duster"" from your Deck or GY to your hand.",,0.37,0.99,5.58,0.79,,1st Edition,LED4-EN000,Super Rare,TRAP,Normal Trap,,,
183118,Harpie Perfumer,Harpie Perfumer,https://tcgplayer-cdn.tcgplayer.com/product/183118_200w.jpg,2,2365,https://cpt.tcgcsv.com/ngt2,2019-01-11T15:31:01.74,1,"This card's name becomes “Harpie Lady” while on the field or in the GY. If this card is Normal or Special Summoned: You can add 1 Spell/Trap that specifically lists the card “Harpie Lady Sisters” in its text from your Deck to your hand. If you controlled a Level 5 or higher “Harpie” monster at activation, you can add up to 2 of those cards with different names instead. You can only use this effect of “Harpie Perfumer” once per turn.",,2.65,4.09,29.0,4.52,3.41,1st Edition,LED4-EN001,Ultra Rare,WIND,Effect Monster,Winged Beast,1400,1300
183119,Harpie Oracle,Harpie Oracle,https://tcgplayer-cdn.tcgplayer.com/product/183119_200w.jpg,2,2365,https://cpt.tcgcsv.com/pgt2,2019-01-11T15:30:44.86,1,"This card's name becomes “Harpie Lady” while on the field or in the GY. You can only use each of the following effects of “Harpie Oracle” once per turn.
<br>• If you control a Level 5 or higher “Harpie” monster: You can Special Summon this card from your hand.
<br>• If this card is Normal or Special Summoned: You can add 1 Spell/Trap that specifically lists the card name “Harpie Lady Sisters” in its text from your GY to your hand during the End Phase of this turn.",,2.0,3.2,12.72,2.72,,1st Edition,LED4-EN002,Super Rare,WIND,Effect Monster,Winged Beast,1300,1400
183120,Alluring Mirror Split,Alluring Mirror Split,https://tcgplayer-cdn.tcgplayer.com/product/183120_200w.jpg,2,2365,https://cpt.tcgcsv.com/qgt2,2019-01-21T18:30:00.867,1,When your “Harpie Lady” or “Harpie Lady Sisters” is destroyed by battle: You can Special Summon 1 “Harpie” monster with a different original name from your Deck. If this card in its owner's control is destroyed by an opponent's card effect or your “Harpie” card's effect: Target 1 “Harpie” monster in your GY; Special Summon it. You can only use each effect of “Alluring Mirror Spirit” once per turn.,,1.92,2.31,4.56,2.72,,1st Edition,LED4-EN003,Ultra Rare,SPELL,Continuous Spell,,,
183121,Harpie's Feather Rest,Harpies Feather Rest,https://tcgplayer-cdn.tcgplayer.com/product/183121_200w.jpg,2,2365,https://cpt.tcgcsv.com/rgt2,2019-01-11T15:33:51.483,1,"Target 3 “Harpie Lady” and/or “Harpie Lady Sisters” in your GY; return them to your Deck, then draw 1 card. If you control a Level 5 or higher “Harpie” monster at activation, draw 2 cards instead. You cannot Special Summon for the rest of this turn, except WIND monsters. You can only activate 1 ""Harpie's Feather Rest"" per turn.",,2.45,3.18,13.0,3.0,,1st Edition,LED4-EN004,Ultra Rare,SPELL,Normal Spell,,,
183122,Harpie Lady Elegance,Harpie Lady Elegance,https://tcgplayer-cdn.tcgplayer.com/product/183122_200w.jpg,2,2365,https://cpt.tcgcsv.com/sgt2,2024-08-12T19:53:55.303,1,"Shuffle 1 “Harpie Lady Sisters” from your Monster Zone into the Deck, then you can Special Summon 3 “Harpie” monsters with different original names, 1 each from your hand, Deck, and GY. For the rest of this turn after this card resolves, you cannot Special Summon monsters, except WIND monsters. If this card you control is destroyed by a “Harpie” card's effect or your opponent's card effect: Add 1 “Harpie” monster from your Deck to your hand. You can only use each effect of “Harpie Lady Elegance” once per turn.",,0.08,0.35,4.99,0.36,0.45,1st Edition,LED4-EN005,Rare,TRAP,Normal Trap,,,
183123,Harpie Lady Sisters,Harpie Lady Sisters,https://tcgplayer-cdn.tcgplayer.com/product/183123_200w.jpg,2,2365,https://cpt.tcgcsv.com/tgt2,2024-08-12T19:53:55.35,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Elegant Egotist"".",,0.1,0.29,1.49,0.28,0.25,1st Edition,LED4-EN006,Common,WIND,Effect Monster,Winged Beast,1950,2100
183124,Harpie Queen,Harpie Queen,https://tcgplayer-cdn.tcgplayer.com/product/183124_200w.jpg,2,2365,https://cpt.tcgcsv.com/vgt2,2024-08-12T19:53:55.41,1,"You can discard this card to the Graveyard; add 1 ""Harpies' Hunting Ground"" from your Deck to your hand. This card's name becomes ""Harpie Lady"" while it is on the field or in the Graveyard.",,0.14,0.41,1.99,0.32,0.37,1st Edition,LED4-EN007,Common,WIND,Effect Monster,Winged Beast,1900,1200
