productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
57236,Photon Shockwave - Booster Box,Photon Shockwave Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/57236_200w.jpg,2,261,https://cpt.tcgcsv.com/LVs,2019-08-12T16:14:09.26,1,83717888475,499.99,537.49,610.0,,,Normal,,,,,,,,
57260,Alexandrite Dragon,Alexandrite Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57260_200w.jpg,2,261,https://cpt.tcgcsv.com/dWs,2013-05-09T12:13:41.653,1,,2.65,4.01,8.09,3.76,,Unlimited,PHSW-EN000,Super Rare,LIGHT,Dragon,Normal Monster,2000,100,
57260,Alexandrite Dragon,Alexandrite Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57260_200w.jpg,2,261,https://cpt.tcgcsv.com/dWs,2013-05-09T12:13:41.653,1,,2.19,5.01,6.62,5.53,,1st Edition,PHSW-EN000,Super Rare,LIGHT,Dragon,Normal Monster,2000,100,
57261,Bunilla,Bunilla,https://tcgplayer-cdn.tcgplayer.com/product/57261_200w.jpg,2,261,https://cpt.tcgcsv.com/fWs,2013-05-09T12:13:41.653,1,,0.55,1.86,3.49,1.84,,Unlimited,PHSW-EN001,Common,EARTH,Beast,Normal Monster,150,2050,
57261,Bunilla,Bunilla,https://tcgplayer-cdn.tcgplayer.com/product/57261_200w.jpg,2,261,https://cpt.tcgcsv.com/fWs,2013-05-09T12:13:41.653,1,,0.5,2.35,4.99,2.26,,1st Edition,PHSW-EN001,Common,EARTH,Beast,Normal Monster,150,2050,
57262,Rabidragon,Rabidragon,https://tcgplayer-cdn.tcgplayer.com/product/57262_200w.jpg,2,261,https://cpt.tcgcsv.com/gWs,2013-05-09T12:13:41.653,1,,0.01,0.2,1.37,0.13,,Unlimited,PHSW-EN002,Common,LIGHT,Dragon,Normal Monster,2950,2900,
57262,Rabidragon,Rabidragon,https://tcgplayer-cdn.tcgplayer.com/product/57262_200w.jpg,2,261,https://cpt.tcgcsv.com/gWs,2013-05-09T12:13:41.653,1,,0.05,0.23,1.0,0.13,,1st Edition,PHSW-EN002,Common,LIGHT,Dragon,Normal Monster,2950,2900,
57263,Rai Rider,Rai Rider,https://tcgplayer-cdn.tcgplayer.com/product/57263_200w.jpg,2,261,https://cpt.tcgcsv.com/hWs,2013-05-09T12:13:41.653,1,,0.02,0.21,1.49,0.07,,Unlimited,PHSW-EN003,Common,LIGHT,Thunder,Effect Monster,1200,1400,If this card battles an opponent's monster: That monster cannot attack while it is face-up on the field.
57263,Rai Rider,Rai Rider,https://tcgplayer-cdn.tcgplayer.com/product/57263_200w.jpg,2,261,https://cpt.tcgcsv.com/hWs,2013-05-09T12:13:41.653,1,,0.01,0.2,0.94,0.13,,1st Edition,PHSW-EN003,Common,LIGHT,Thunder,Effect Monster,1200,1400,If this card battles an opponent's monster: That monster cannot attack while it is face-up on the field.
57264,Stinging Swordsman,Stinging Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/57264_200w.jpg,2,261,https://cpt.tcgcsv.com/jWs,2013-05-09T12:13:41.653,1,,0.03,0.2,1.34,0.14,,Unlimited,PHSW-EN004,Common,WIND,Warrior,Effect Monster,300,600,When this card inflicts Battle Damage to your opponent: Return all face-up cards in your opponent's Spell & Trap Card Zones to the hand.
57264,Stinging Swordsman,Stinging Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/57264_200w.jpg,2,261,https://cpt.tcgcsv.com/jWs,2013-05-09T12:13:41.653,1,,0.04,0.25,1.49,0.2,,1st Edition,PHSW-EN004,Common,WIND,Warrior,Effect Monster,300,600,When this card inflicts Battle Damage to your opponent: Return all face-up cards in your opponent's Spell & Trap Card Zones to the hand.
57265,Kagetokage,Kagetokage,https://tcgplayer-cdn.tcgplayer.com/product/57265_200w.jpg,2,261,https://cpt.tcgcsv.com/kWs,2013-05-09T12:13:41.653,1,,0.2,0.5,1.6,0.32,,Unlimited,PHSW-EN005,Rare,DARK,Reptile,Effect Monster,1100,1500,Cannot be Normal Summoned or Set. When you Normal Summon a Level 4 monster: You can Special Summon this card from your hand. This card cannot be used as a Synchro Material Monster.
57265,Kagetokage,Kagetokage,https://tcgplayer-cdn.tcgplayer.com/product/57265_200w.jpg,2,261,https://cpt.tcgcsv.com/kWs,2013-05-09T12:13:41.653,1,,0.19,0.5,1.5,0.43,,1st Edition,PHSW-EN005,Rare,DARK,Reptile,Effect Monster,1100,1500,Cannot be Normal Summoned or Set. When you Normal Summon a Level 4 monster: You can Special Summon this card from your hand. This card cannot be used as a Synchro Material Monster.
57266,Acorno,Acorno,https://tcgplayer-cdn.tcgplayer.com/product/57266_200w.jpg,2,261,https://cpt.tcgcsv.com/lWs,2013-05-09T12:13:41.653,1,,0.03,0.2,1.49,0.08,,Unlimited,PHSW-EN006,Common,EARTH,Plant,Effect Monster,200,400,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand."
