productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription,extUPC
32209,7 Colored Fish,7 Colored Fish,https://tcgplayer-cdn.tcgplayer.com/product/32209_200w.jpg,2,214,https://cpt.tcgcsv.com/cVg,2024-03-28T16:51:30.4,1,GLD1-EN001,Common,WATER,Fish,Normal Monster,1800,800,0.13,0.46,1.98,0.4,,Limited,,
32210,8-Claws Scorpion,8 Claws Scorpion,https://tcgplayer-cdn.tcgplayer.com/product/32210_200w.jpg,2,214,https://cpt.tcgcsv.com/dVg,2024-03-28T16:51:30.433,1,GLD1-EN007,Common,DARK,Insect,Effect Monster,300,200,0.1,0.25,1.42,0.13,,Limited,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",
32211,Blue-Eyes Ultimate Dragon,Blue Eyes Ultimate Dragon,https://tcgplayer-cdn.tcgplayer.com/product/32211_200w.jpg,2,214,https://cpt.tcgcsv.com/fVg,2024-03-28T16:51:30.467,1,GLD1-EN028,Gold Rare,LIGHT,Dragon,Fusion Monster,4500,3000,4.62,10.83,29.99,10.72,,Limited,Blue-Eyes White Dragon + Blue-Eyes White Dragon + Blue-Eyes White Dragon,
32212,Brain Control,Brain Control,https://tcgplayer-cdn.tcgplayer.com/product/32212_200w.jpg,2,214,https://cpt.tcgcsv.com/gVg,2019-08-14T12:46:43.04,1,GLD1-EN033,Gold Rare,SPELL,,Normal Spell,,,5.46,7.81,19.99,8.25,,Limited,Pay 800 Life Points. Select 1 face-up monster your opponent controls. Take control of it until the End Phase.,
32213,Breaker the Magical Warrior,Breaker the Magical Warrior,https://tcgplayer-cdn.tcgplayer.com/product/32213_200w.jpg,2,214,https://cpt.tcgcsv.com/hVg,2024-03-28T16:51:30.507,1,GLD1-EN014,Gold Rare,DARK,Spellcaster,Effect Monster,1600,1000,4.88,7.97,24.69,6.06,,Limited,"Whent his card is Normal Summoned, put 1 Spell Counter on it (max.1). This card gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card to destroy 1 Spell or Trap Card on the field.",
32214,Chimeratech Overdragon,Chimeratech Overdragon,https://tcgplayer-cdn.tcgplayer.com/product/32214_200w.jpg,2,214,https://cpt.tcgcsv.com/jVg,2024-03-28T16:51:30.54,1,GLD1-EN029,Gold Rare,DARK,Machine,Fusion/Effect Monster,,,0.67,1.2,3.99,1.19,,Limited,"Cyber Dragon + 1 or more Machine-Type monsters
This monster cannot be Special Summoned except by Fusion Summon. When this card is Fusion Summoned, send all other cards you control to the Graveyard. The original ATK and DEF of this card are each 800 x the number of Fusion Material Monsters used for its Fusion Summon. Each turn, this card can attack as many of your opponent's monsters as the number of Fusion Material Monsters used for its Fusion Summon.",
32215,Crush Card Virus,Crush Card Virus,https://tcgplayer-cdn.tcgplayer.com/product/32215_200w.jpg,2,214,https://cpt.tcgcsv.com/kVg,2019-08-14T12:47:13.563,1,GLD1-EN038,Gold Rare,TRAP,,Normal Trap,,,64.99,89.49,237.94,91.2,,Limited,"Tribute 1 DARK monster with 1000 or less ATK; your opponent takes no damage until the end of the next turn, also, you look at your opponent’s hand and all monsters they control, and if you do, destroy the monsters among them with 1500 or more ATK, then your opponent can destroy up to 3 monsters with 1500 or more ATK in their Deck.",
32216,Cyber Dragon,Cyber Dragon,https://tcgplayer-cdn.tcgplayer.com/product/32216_200w.jpg,2,214,https://cpt.tcgcsv.com/lVg,2024-03-28T16:51:30.587,1,GLD1-EN022,Gold Rare,LIGHT,Machine,Effect Monster,2100,1600,2.66,5.29,13.47,5.22,,Limited,"If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand.",
32217,D.D. Warrior Lady,DD Warrior Lady,https://tcgplayer-cdn.tcgplayer.com/product/32217_200w.jpg,2,214,https://cpt.tcgcsv.com/mVg,2024-03-28T16:51:30.617,1,GLD1-EN015,Gold Rare,LIGHT,Warrior,Effect Monster,1500,600,2.38,2.98,5.25,2.73,,Limited,"When this card battles with your opponent's monster, after damage calculation you can remove from play the opponent's monster and this card.",
32218,Dark Magician of Chaos,Dark Magician of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/32218_200w.jpg,2,214,https://cpt.tcgcsv.com/nVg,2024-03-28T16:51:30.677,1,GLD1-EN016,Gold Rare,DARK,Spellcaster,Effect Monster,2800,2600,22.0,29.93,37.99,31.89,,Limited,"When this card is Normal Summoned or Special Summoned, you can select and add 1 Spell Card from your Graveyard to your hand. Monsters this card destroys by battle are removed from play instead of going to the Graveyard. If this face-up card is destroyed o",
