productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extAttribute,extMonsterType,extAttack,extDefense
191930,Ultimate Predators Speed Duel Deck,Ultimate Predators Speed Duel Deck,https://tcgplayer-cdn.tcgplayer.com/product/191930_200w.jpg,2,2469,https://cpt.tcgcsv.com/DNx2,2019-06-04T19:41:54.81,1,"Each Speed Duel Starter Decks: Ultimate Predators contains:
<br>• 1 30-Card Rex Raptor Deck
<br>• 1 30-Card Weevil Underwood Deck
<br>• 4 Skill Cards (2 for Rex and 2 for Weevil)
<br>• 2 Ultra Rare variant cards",12.0,16.99,28.99,13.73,,Normal,,,,,,,
196233,Dinosaur Kingdom,Dinosaur Kingdom,https://tcgplayer-cdn.tcgplayer.com/product/196233_200w.jpg,2,2469,https://cpt.tcgcsv.com/HvB2,2019-08-03T14:36:48.807,1,All Dinosaur monsters gain 300 ATK and DEF.,0.04,0.17,1.49,0.11,,1st Edition,SS03-ENAS1,Common,Skill/Field Spell,,,,
196234,Nightmare Sonic Blast!,Nightmare Sonic Blast,https://tcgplayer-cdn.tcgplayer.com/product/196234_200w.jpg,2,2469,https://cpt.tcgcsv.com/JvB2,2019-08-03T14:40:56.957,1,"You can activate this Skill while you control ""Serpent Night Dragon"". 
<br>Once per turn, you can reveal the top 4 cards of your Deck, use 1 of the following Skills, depending on the number of monsters revealed.
<br>1: Add one of the revealed cards to your hand.
<br>2: Destroy 1 card your opponent controls.
<br>3 or more: Apply both effects.
<br>Then place the rest of the revealed cards on top of your Deck in any order.",0.01,0.21,1.49,0.11,,1st Edition,SS03-ENAS2,Common,Skill,,,,
196235,Hyper Metamorphosis,Hyper Metamorphosis,https://tcgplayer-cdn.tcgplayer.com/product/196235_200w.jpg,2,2469,https://cpt.tcgcsv.com/KvB2,2019-08-03T14:40:47.98,1,"You can activate this Skill while you control a Level 3 or lower Insect Normal Monster. Discard 2 cards and Tribute 1 Level 3 or lower Insect Normal Monster you control to Special Summon 1 ""Perfectly Ultimate Great Moth"" from your hand or Deck, ignoring its Summoning conditions. Any damage your opponent takes for the rest of this turn is halved.",0.01,0.2,1.32,0.14,,1st Edition,SS03-ENBS1,Common,Skill,,,,
196236,Hidden Parasite,Hidden Parasite,https://tcgplayer-cdn.tcgplayer.com/product/196236_200w.jpg,2,2469,https://cpt.tcgcsv.com/LvB2,2019-08-03T14:40:45.873,1,"Once per turn, you can change all monsters on the field to Insect until the end of this turn, also, any battle damage your opponent takes is halved for the rest of this turn. You may use this Skill up to twice per Duel.",0.01,0.2,1.49,0.11,,1st Edition,SS03-ENBS2,Common,Skill,,,,
196237,Order to Charge,Order to Charge,https://tcgplayer-cdn.tcgplayer.com/product/196237_200w.jpg,2,2469,https://cpt.tcgcsv.com/MvB2,2019-08-03T14:40:57.903,1,"Select 1 face-up Normal Monster (except a Token) on your side of the field when you activate this card. When this card resolves, Tribute the selected Normal Monster and destroy 1 monster on your opponent's side of the field.",0.04,0.39,2.0,0.37,,1st Edition,SS03-ENV01,Ultra Rare,Quick-Play Spell,SPELL,,,
196238,Jar of Avarice,Jar of Avarice,https://tcgplayer-cdn.tcgplayer.com/product/196238_200w.jpg,2,2469,https://cpt.tcgcsv.com/NvB2,2019-08-03T14:40:50.857,1,"Target 5 cards in your GY, except ""Jar of Avarice""; shuffle all 5 into the Deck, then draw 1 card. You can only activate 1 ""Jar of Avarice"" per turn.",0.08,0.45,2.0,0.44,,1st Edition,SS03-ENV02,Ultra Rare,Normal Trap,TRAP,,,
196239,Serpent Night Dragon,Serpent Night Dragon,https://tcgplayer-cdn.tcgplayer.com/product/196239_200w.jpg,2,2469,https://cpt.tcgcsv.com/PvB2,2019-08-03T14:41:03.14,1,"<em>A dragon created from the soul of a wicked knight.

</em>",0.08,0.35,1.49,0.32,,1st Edition,SS03-ENA01,Common,Normal Monster,DARK,Dragon,2350,2400
196240,Two-Headed King Rex,Two Headed King Rex,https://tcgplayer-cdn.tcgplayer.com/product/196240_200w.jpg,2,2469,https://cpt.tcgcsv.com/QvB2,2019-08-03T14:43:07.37,1,"<em>A powerful monster whose two heads attack as one.

</em>",0.15,0.45,0.98,0.45,,1st Edition,SS03-ENA02,Common,Normal Monster,EARTH,Dinosaur,1600,1200
196241,Uraby,Uraby,https://tcgplayer-cdn.tcgplayer.com/product/196241_200w.jpg,2,2469,https://cpt.tcgcsv.com/RvB2,2019-08-03T14:43:08.647,1,"<em>Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.

</em>",0.01,0.15,1.49,0.08,,1st Edition,SS03-ENA03,Common,Normal Monster,EARTH,Dinosaur,1500,800
