productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extUPC
111851,Wing Raiders Booster Box [1st Edition],Wing Raiders Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/111851_200w.jpg,2,1707,https://cpt.tcgcsv.com/2MV,2021-12-07T23:29:01.77,1,"Each Booster Box contains 24 Booster Packs, which each contain 9 random cards from the set.",118.01,157.0,229.93,,,Normal,,,,,,,,
111852,Wing Raiders Booster Pack [1st Edition],Wing Raiders Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/111852_200w.jpg,2,1707,https://cpt.tcgcsv.com/3MV,2021-12-07T23:28:10.577,1,Each Booster Pack contains 9 random cards from the set.,4.0,10.45,12.66,10.45,,Normal,,,,,,,,
111853,The Phantom Knights of Ancient Cloak,The Phantom Knights of Ancient Cloak,https://tcgplayer-cdn.tcgplayer.com/product/111853_200w.jpg,2,1707,https://cpt.tcgcsv.com/5MV,2016-03-04T15:39:15.88,1,"If this card is in Attack Position: You can target 1 DARK monster on the field; change this card to Defense Position, and if you do, that monster gains 800 ATK and DEF until the end of your opponent's turn. You can banish this card from your Graveyard; add 1 ""The Phantom Knights"" card from your Deck to your hand, except ""The Phantom Knights of Ancient Cloak"". You can only use each effect of ""The Phantom Knights of Ancient Cloak"" once per turn.",0.34,1.0,8.99,0.77,0.45,1st Edition,WIRA-EN001,Ultra Rare,DARK,Warrior,Effect Monster,800,1000,
111854,The Phantom Knights of Silent Boots,The Phantom Knights of Silent Boots,https://tcgplayer-cdn.tcgplayer.com/product/111854_200w.jpg,2,1707,https://cpt.tcgcsv.com/6MV,2016-03-04T15:41:23.29,1,"If you control a ""The Phantom Knights"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""The Phantom Knights of Silent Boots"" once per turn this way. You can banish this card from your Graveyard; add 1 ""Phantom Knights"" Spell/Trap Card from your Deck to your hand. You can only use this effect of ""The Phantom Knights of Silent Boots"" once per turn.",0.13,0.5,8.99,0.43,0.4,1st Edition,WIRA-EN002,Super Rare,DARK,Warrior,Effect Monster,200,1200,
111855,The Phantom Knights of Ragged Gloves,The Phantom Knights of Ragged Gloves,https://tcgplayer-cdn.tcgplayer.com/product/111855_200w.jpg,2,1707,https://cpt.tcgcsv.com/7MV,2016-03-04T15:40:35.867,1,"A DARK Xyz Monster that was Summoned using this card on the field as an Xyz Material gains this effect.
<br><b>-</b> If it is Xyz Summoned: It gains 1000 ATK.
<br>You can banish this card from your Graveyard; send 1 ""Phantom Knights"" card from your Deck to the Graveyard. You can only use each effect of ""The Phantom Knights of Ragged Gloves"" once per turn.",0.06,0.25,1.37,0.09,,1st Edition,WIRA-EN003,Common,DARK,Warrior,Effect Monster,1000,500,
111856,The Phantom Knights of Fragile Armor,The Phantom Knights of Fragile Armor,https://tcgplayer-cdn.tcgplayer.com/product/111856_200w.jpg,2,1707,https://cpt.tcgcsv.com/8MV,2016-03-04T15:40:08.74,1,"If a face-up ""The Phantom Knights"" monster(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. You can banish this card from your Graveyard and send 1 ""Phantom Knights"" card from your hand to the Graveyard; draw 1 card. You can only use each effect of ""The Phantom Knights of Fragile Armor"" once per turn.",0.05,0.35,2.0,0.14,,1st Edition,WIRA-EN005,Super Rare,DARK,Warrior,Effect Monster,1000,2000,
111857,The Phantom Knights of Break Sword,The Phantom Knights of Break Sword,https://tcgplayer-cdn.tcgplayer.com/product/111857_200w.jpg,2,1707,https://cpt.tcgcsv.com/9MV,2022-10-16T07:52:03.407,1,"2 Level 3 monsters
<br>Once per turn: You can detach 1 Xyz Material from this card, then target 1 card you control and 1 card your opponent controls; destroy them. If this Xyz Summoned card is destroyed: You can target 2 ""The Phantom Knights"" monsters with the same Level in your Graveyard; Special Summon them and increase their Levels by 1, also you cannot Special Summon monsters for the rest of this turn, except DARK monsters.",0.29,1.0,15.08,0.59,,1st Edition,WIRA-EN006,Secret Rare,DARK,Warior,Xyz/Effect Monster,2000,1000,
111858,Dark Rebellion Xyz Dragon,Dark Rebellion Xyz Dragon,https://tcgplayer-cdn.tcgplayer.com/product/111858_200w.jpg,2,1707,https://cpt.tcgcsv.com/bMV,2018-02-02T15:56:55.08,1,"2 Level 4 monsters
<br>You can detach 2 Xyz Materials from this card, then target 1 face-up monster your opponent controls; its ATK becomes half its current ATK, and if it does, this card gains that lost ATK.",0.23,0.75,3.0,0.56,0.65,1st Edition,WIRA-EN007,Rare,DARK,Dragon,Xyz/Effect Monster,2500,2000,
111859,Phantom Knights' Fog Blade,Phantom Knights Fog Blade,https://tcgplayer-cdn.tcgplayer.com/product/111859_200w.jpg,2,1707,https://cpt.tcgcsv.com/cMV,2016-03-04T15:25:39.163,1,"Activate this card by targeting 1 Effect Monster on the field; negate that face-up monster's effects, that face-up monster cannot attack, also monsters cannot target that face-up monster for attacks. When it leaves the field, destroy this card. You can banish this card from your Graveyard, then target 1 ""The Phantom Knights"" monster in your Graveyard; Special Summon it, but banish it when it leaves the field. You can only use this effect of ""Phantom Knights' Fog Blade"" once per turn.",0.35,0.99,42.99,0.6,0.45,1st Edition,WIRA-EN009,Ultra Rare,TRAP,,Normal Trap,,,
111860,Phantom Knights' Sword,Phantom Knights Sword,https://tcgplayer-cdn.tcgplayer.com/product/111860_200w.jpg,2,1707,https://cpt.tcgcsv.com/dMV,2016-03-04T15:26:24.92,1,"Activate this card by targeting 1 face-up monster on the field; it gains 800 ATK, also if that target would be destroyed by battle or card effect, you can destroy this card instead. When it leaves the field, destroy this card. You can banish this card from your Graveyard, then target 1 ""The Phantom Knights"" monster in your Graveyard; Special Summon it, but banish it when it leaves the field. You can only use this effect of ""Phantom Knights' Sword"" once per turn.",0.15,0.46,5.0,0.46,,1st Edition,WIRA-EN010,Rare,TRAP,,Normal Trap,,,
