productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
32074,Sangan,Sangan,https://tcgplayer-cdn.tcgplayer.com/product/32074_200w.jpg,2,215,https://cpt.tcgcsv.com/vRg,2024-03-28T16:51:44.053,1,GLD2-EN001,Ultra Rare,DARK,Fiend,Effect Monster,1000,600,"When this card is sent from the field to the Graveyard, add 1 monster with 1500 or less ATK from your Deck to your hand.",5.31,7.62,11.99,6.85,,Limited
32075,Des Volstgalph,Des Volstgalph,https://tcgplayer-cdn.tcgplayer.com/product/32075_200w.jpg,2,215,https://cpt.tcgcsv.com/wRg,2024-03-28T16:51:44.087,1,GLD2-EN002,Ultra Rare,EARTH,Dragon,Effect Monster,2200,1700,"Each time this card destroys an opponent's monster as a result of battle and sends it to the Graveyard, inflict 500 points of damage to your opponent's Life Points. Also, each time either player activates a Normal or Quick-Play Spell Card, increase the AT",2.24,3.84,9.99,3.08,,Limited
32076,Lekunga,Lekunga,https://tcgplayer-cdn.tcgplayer.com/product/32076_200w.jpg,2,215,https://cpt.tcgcsv.com/xRg,2024-03-28T16:51:44.117,1,GLD2-EN003,Common,WATER,Plant,Effect Monster,1700,500,Remove 2 WATER monsters in your Graveyard from play to Special Summon 1 Lekunga Token (Plant-Type/WATER/2 Stars/ATK 700/DEF 700) in Attack Position on your side of the field.,0.1,0.48,3.0,0.19,,Limited
32077,Lord Poison,Lord Poison,https://tcgplayer-cdn.tcgplayer.com/product/32077_200w.jpg,2,215,https://cpt.tcgcsv.com/zRg,2024-03-28T16:51:44.147,1,GLD2-EN004,Common,WATER,Plant,Effect Monster,1500,1000,"When this card is destroyed as a result of battle and sent to the Graveyard, Special Summon 1 Plant-Type monster from your Graveyard to your side of the field except Lord Poison.",0.2,0.74,1.98,0.39,,Limited
32078,Rigorous Reaver,Rigorous Reaver,https://tcgplayer-cdn.tcgplayer.com/product/32078_200w.jpg,2,215,https://cpt.tcgcsv.com/BRg,2024-03-28T16:51:44.18,1,GLD2-EN005,Common,FIRE,Plant,Effect Monster,1600,100,FLIP: Each player discards 1 card. A monster that destroys this card by battle loses 500 ATK and DEF.,0.1,0.25,0.99,0.12,,Limited
32079,Zaborg the Thunder Monarch,Zaborg the Thunder Monarch,https://tcgplayer-cdn.tcgplayer.com/product/32079_200w.jpg,2,215,https://cpt.tcgcsv.com/CRg,2024-03-28T16:51:44.227,1,GLD2-EN006,Common,LIGHT,Thunder,Effect Monster,2400,1000,"When this card is Tribute Summoned, destroy 1 monster on the field.",0.3,0.69,2.99,0.67,,Limited
32080,Mobius the Frost Monarch,Mobius the Frost Monarch,https://tcgplayer-cdn.tcgplayer.com/product/32080_200w.jpg,2,215,https://cpt.tcgcsv.com/DRg,2024-03-28T16:51:44.257,1,GLD2-EN007,Common,WATER,Aqua,Effect Monster,2400,1000,"When this card is Tribute Summoned, you can destroy up to 2 Spell or Trap Cards on the field.",0.45,0.85,5.0,0.72,,Limited
32081,Thestalos the Firestorm Monarch,Thestalos the Firestorm Monarch,https://tcgplayer-cdn.tcgplayer.com/product/32081_200w.jpg,2,215,https://cpt.tcgcsv.com/FRg,2024-03-28T16:51:44.3,1,GLD2-EN008,Common,FIRE,Pyro,Effect Monster,2400,1000,"When this card is Tribute Summoned, randomly discard 1 card from your opponent's hand to the Graveyard. If the discarded card was a Monster Card, inflict damage to your opponent equal to the Level of the monster x 100.",0.6,0.88,1.98,0.87,,Limited
32082,Granmarg the Rock Monarch,Granmarg the Rock Monarch,https://tcgplayer-cdn.tcgplayer.com/product/32082_200w.jpg,2,215,https://cpt.tcgcsv.com/GRg,2024-03-28T16:51:44.347,1,GLD2-EN009,Common,EARTH,Rock,Effect Monster,2400,1000,"When this card is Tribute Summoned, destroy 1 face-down card on the field.",0.2,0.47,1.66,0.45,,Limited
32083,Treeborn Frog,Treeborn Frog,https://tcgplayer-cdn.tcgplayer.com/product/32083_200w.jpg,2,215,https://cpt.tcgcsv.com/HRg,2024-03-28T16:51:44.38,1,GLD2-EN010,Common,WATER,Aqua,Effect Monster,100,100,"If this card is in your Graveyard during your Standby Phase and you control no Spell or Trap Cards, you can Special Summon it. This effect cannot be activated if you control a face-up Treeborn Frog.",1.67,2.9,5.99,2.27,,Limited
