productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extLinkRating,extLinkArrows,extDefense
276698,Darkwing Blast Booster Box,Darkwing Blast Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/276698_200w.jpg,2,3111,https://cpt.tcgcsv.com/-Hd3,2022-10-21T04:03:09.583,1,Each box contains 24 packs of 9 random cards.,083717858676,70.0,94.99,199.0,79.24,,Normal,,,,,,,,,
276699,Darkwing Blast Booster Pack,Darkwing Blast Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/276699_200w.jpg,2,3111,https://cpt.tcgcsv.com/_Hd3,2022-10-25T19:50:41.703,1,Each pack contains 9 random cards.,083717858669,4.76,5.0,9.69,4.55,,Normal,,,,,,,,,
450140,Worldsea Dragon Zealantis,Worldsea Dragon Zealantis,https://tcgplayer-cdn.tcgplayer.com/product/450140_200w.jpg,2,3111,https://cpt.tcgcsv.com/Q3D5,2022-10-21T04:03:09.583,1,"1+ Effect Monsters
<br>
You can only control 1 ""Worldsea Dragon Zealantis"". You can only use each of the following effects of ""Worldsea Dragon Zealantis"" once per turn. During your Main Phase: You can banish all monsters on the field, then Special Summon as many monsters as possible that were banished by this effect, to their owners' fields, face-up, or in face-down Defense Position. During the Battle Phase (Quick Effect): You can destroy cards on the field up to the number of co-linked monsters on the field.",,0.1,1.13,17.0,0.51,0.52,1st Edition,DABL-EN050,Secret Rare,WATER,Sea Serpent,Link Effect Monster,2500,4,Left;Bottom;Top;Right,
450141,Spellbound,Spellbound,https://tcgplayer-cdn.tcgplayer.com/product/450141_200w.jpg,2,3111,https://cpt.tcgcsv.com/R3D5,2022-10-21T04:03:09.583,1,"All face-up monsters your opponent currently controls cannot be Tributed, or used as material for a Fusion, Synchro, Xyz, or Link Summon, until the end of this turn.",,2.0,4.36,22.99,2.87,3.76,1st Edition,DABL-EN000,Secret Rare,SPELL,,Quick-Play Spell,,,,
450142,Muckraker From the Underworld,Muckraker From the Underworld,https://tcgplayer-cdn.tcgplayer.com/product/450142_200w.jpg,2,3111,https://cpt.tcgcsv.com/S3D5,2022-10-21T04:03:09.583,1,"2 Effect Monsters
<br>
Cannot be used as Link Material the turn it is Link Summoned. If a monster(s) you control would be destroyed by battle or card effect, you can Tribute 1 Fiend monster instead. You can target 1 Fiend monster in your GY, except ""Muckraker From the Underworld""; discard 1 card, and if you do, Special Summon that monster, also you cannot Special Summon monsters for the rest of this turn, except Fiend monsters. You can only use this effect of ""Muckraker From the Underworld"" once per turn.",,1.38,1.99,58.99,1.92,4.15,1st Edition,DABL-EN051,Secret Rare,DARK,Fiend,Link Effect Monster,1000,2,Left;Bottom,
450143,Blackwing - Vata the Emblem of Wandering,Blackwing Vata the Emblem of Wandering,https://tcgplayer-cdn.tcgplayer.com/product/450143_200w.jpg,2,3111,https://cpt.tcgcsv.com/T3D5,2024-07-26T17:21:13.653,1,"If you control a ""Blackwing"" monster other than ""Blackwing - Vata the Emblem of Wandering"", you can Special Summon this card (from your hand). You can only Special Summon ""Blackwing - Vata the Emblem of Wandering"" once per turn this way. During your Main Phase: You can send this card on the field to the GY along with 1 or more non-Tuner ""Blackwing"" monsters from your Deck, so that the total Levels sent equal exactly 8, and if you do, Special Summon 1 ""Black-Winged Dragon"" from your Extra Deck, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except DARK monsters. You can only use this effect of ""Blackwing - Vata the Emblem of Wandering"" once per turn.",,0.1,0.33,4.99,0.26,0.29,1st Edition,DABL-EN001,Super Rare,DARK,Winged Beast,Effect Tuner Monster,800,,,0
450144,Black Feather Whirlwind,Black Feather Whirlwind,https://tcgplayer-cdn.tcgplayer.com/product/450144_200w.jpg,2,3111,https://cpt.tcgcsv.com/V3D5,2024-07-26T17:21:13.717,1,"Once per turn, if you Special Summon a DARK Synchro Monster from the Extra Deck (except during the Damage Step): You can target 1 of your ""Blackwing"" monsters, or ""Black-Winged Dragon"", that is banished or in your GY, with less ATK than that Special Summoned monster; Special Summon it. Once per turn, if a DARK monster you control would be destroyed by battle or card effect, you can remove 1 Black Feather Counter from your field instead.",,0.06,0.3,2.0,0.22,0.22,1st Edition,DABL-EN052,Super Rare,SPELL,,Continuous Spell,,,,
450145,Blackwing - Shamal the Sandstorm,Blackwing Shamal the Sandstorm,https://tcgplayer-cdn.tcgplayer.com/product/450145_200w.jpg,2,3111,https://cpt.tcgcsv.com/W3D5,2024-10-10T14:51:56.14,1,"You can send this card from your hand or field to the GY; place 1 ""Black Feather Whirlwind"" from your Deck face-up in your Spell & Trap Zone. If a ""Blackwing"" Synchro Monster(s) or ""Black-Winged Dragon"" is Special Summoned to your field, while this card is in your GY (except during the Damage Step): You can banish this card, then target 1 ""Blackwing"" monster in your GY; add it to your hand, then take 700 damage. You can only use each effect of ""Blackwing - Shamal the Sandstorm"" once per turn.",,0.05,0.26,4.99,0.21,0.25,1st Edition,DABL-EN002,Super Rare,DARK,Winged Beast,Effect Tuner Monster,1600,,,0
450146,Branded Regained,Branded Regained,https://tcgplayer-cdn.tcgplayer.com/product/450146_200w.jpg,2,3111,https://cpt.tcgcsv.com/X3D5,2025-01-05T05:45:32.877,1,"If a LIGHT or DARK monster(s) is banished (except during the Damage Step): You can target 1 of those monsters; place that monster on the bottom of the Deck, and if you do, draw 1 card. You can only use this effect of ""Branded Regained"" once per turn. Once per turn, if your opponent Normal or Special Summons a monster (except during the Damage Step): You can target 1 ""Bystial"" monster in your GY; Special Summon it. You can only activate this effect of ""Branded Regained"" once per Chain.",,0.08,1.99,10.0,1.23,2.1,1st Edition,DABL-EN053,Super Rare,SPELL,,Continuous Spell,,,,
450147,Blackwing - Chinook the Snow Blast,Blackwing Chinook the Snow Blast,https://tcgplayer-cdn.tcgplayer.com/product/450147_200w.jpg,2,3111,https://cpt.tcgcsv.com/Z3D5,2024-07-26T17:21:13.853,1,"You can send this card from your hand or field to the GY, then target 1 face-up monster your opponent controls; send 1 ""Blackwing"" Synchro Monster or 1 ""Black-Winged Dragon"" from your Extra Deck to the GY, and if you do, until the end of this turn, the targeted monster loses 700 ATK, also negate its effects. This is a Quick Effect if you control a DARK Synchro Monster. You can only use this effect of ""Blackwing - Chinook the Snow Blast"" once per turn.",,0.02,0.25,4.99,0.11,0.25,1st Edition,DABL-EN003,Super Rare,DARK,Winged Beast,Effect Monster,100,,,700
