productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extUPC
34943,Starlight Road,Starlight Road,https://tcgplayer-cdn.tcgplayer.com/product/34943_200w.jpg,2,134,https://cpt.tcgcsv.com/T-h,2024-07-16T17:56:03.447,1,DPCT-EN004,Secret Rare,TRAP,Normal Trap,0,0,"Activate only when an effect was activated that destroys 2 or more cards you control. Negate that effect and destroy that card. Then, you can Special Summon 1 ""Stardust Dragon"" from your Extra Deck.",1.42,4.94,12.0,5.2,2.44,Limited,,
57129,Junk Synchron,Junk Synchron,https://tcgplayer-cdn.tcgplayer.com/product/57129_200w.jpg,2,134,https://cpt.tcgcsv.com/CSs,2025-02-13T04:57:15.483,1,DPCT-ENY01,Ultra Rare,DARK,Tuner Monster,1300,500,"When this card is Normal Summoned, you can Special Summon 1 Level 2 or lower monster from your Graveyard in face-up Defense Position. That monster's effect(s) is negated.",3.36,6.54,18.38,6.43,3.5,Limited,Warrior,
57130,Quillbolt Hedgehog,Quillbolt Hedgehog,https://tcgplayer-cdn.tcgplayer.com/product/57130_200w.jpg,2,134,https://cpt.tcgcsv.com/DSs,2024-03-28T15:46:09.817,1,DPCT-ENY02,Super Rare,EARTH,Effect Monster,800,800,"If you control a face-up Tuner monster, you can Special Summon this card from your Graveyard. If this card was Summoned this way, remove it from play when it is removed from the field.",0.48,0.9,5.99,0.79,,Limited,Machine,
57131,Synchro Blast Wave,Synchro Blast Wave,https://tcgplayer-cdn.tcgplayer.com/product/57131_200w.jpg,2,134,https://cpt.tcgcsv.com/FSs,2024-03-28T15:46:09.863,1,DPCT-ENY03,Super Rare,SPELL,Normal Spell,0,0,Activate only while you control a face-up Synchro monster. Destroy 1 monster your opponent controls.,0.12,0.49,2.0,0.32,,Limited,,
57132,Drill Synchron,Drill Synchron,https://tcgplayer-cdn.tcgplayer.com/product/57132_200w.jpg,2,134,https://cpt.tcgcsv.com/GSs,2024-03-28T15:46:09.913,1,DPCT-ENY04,Ultra Rare,EARTH,Tuner Monster,800,300,"While you control this face-up card, during each battle between a Warrior-Type attacking monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect, you can draw 1 card.",0.21,0.5,2.49,0.46,,Limited,Machine,
57133,Speed Warrior,Speed Warrior,https://tcgplayer-cdn.tcgplayer.com/product/57133_200w.jpg,2,134,https://cpt.tcgcsv.com/HSs,2024-03-28T15:46:09.947,1,DPCT-ENY05,Super Rare,WIND,Effect Monster,900,400,"During the Battle Phase of the turn you Normal Summon this card, you can double its original ATK until the end of the Battle Phase.",0.45,1.25,9.0,1.8,,Limited,Warrior,
57134,Advance Draw,Advance Draw,https://tcgplayer-cdn.tcgplayer.com/product/57134_200w.jpg,2,134,https://cpt.tcgcsv.com/JSs,2024-03-28T15:46:10.01,1,DPCT-ENY06,Super Rare,SPELL,Normal Spell,0,0,Tribute 1 face-up Level 8 or higher monster you control. Draw 2 cards.,0.15,0.42,1.79,0.28,,Limited,,
57135,Level Eater,Level Eater,https://tcgplayer-cdn.tcgplayer.com/product/57135_200w.jpg,2,134,https://cpt.tcgcsv.com/KSs,2024-03-28T15:46:10.04,1,DPCT-ENY07,Super Rare,DARK,Effect Monster,600,0,"If this card is in the Graveyard, you can activate its effect by selecting 1 face-up Level 5 or higher monster you control. Reduce that monster's Level by 1. Special Summon this card from the Graveyard. This card cannot be Tributed except for a Tribute Su",9.0,11.08,15.98,10.86,11.38,Limited,Insect,
57136,One for One,One for One,https://tcgplayer-cdn.tcgplayer.com/product/57136_200w.jpg,2,134,https://cpt.tcgcsv.com/LSs,2024-03-28T15:46:10.087,1,DPCT-ENY08,Super Rare,SPELL,Normal Spell,0,0,Send 1 Monster Card from your hand to the Graveyard. Special Summon 1 Level 1 monster from your hand or Deck.,2.27,7.74,19.99,7.86,,Limited,,
57137,Scrap-Iron Scarecrow,Scrap Iron Scarecrow,https://tcgplayer-cdn.tcgplayer.com/product/57137_200w.jpg,2,134,https://cpt.tcgcsv.com/MSs,2024-03-28T15:46:10.12,1,DPCT-ENY09,Ultra Rare,TRAP,Normal Trap,0,0,"Activate only when an opponent's monster declares an attack. Negate the attack, and Set this card face-down again instead of sending it to the Graveyard.",6.93,8.68,10.0,8.68,,Limited,,
484410,2010 Duelist Pack Collection Tin (Red Version),2010 Duelist Pack Collection Tin Red Version,https://tcgplayer-cdn.tcgplayer.com/product/484410_200w.jpg,2,134,https://cpt.tcgcsv.com/dNT5,2023-02-17T19:56:26.273,1,,,,,,,"Each Tin contains:
<br>• 1 5D's Beginner's Guide
<br>• 3 Duelist Pack: Yusei 2
<br>• 1 Ancient Prophecy Booster Pack
<br>• 1 Secret Rare ""Starlight Road""
<br>• 1 Ultra Rare ""Junk Synchron""
<br>• 2 Super Rare cards: ""Quillbolt Hedgehog"" and ""Synchro Blast Wave""",29.95,29.97,99.95,29.97,,Normal,,083717882480
