productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extMonsterType
181266,The Legend of Blue-Eyes White Dragon Booster Pack - Worldwide English [Unlimited Edition],The Legend of Blue Eyes White Dragon Booster Pack Worldwide English Unlimited Edition,https://tcgplayer-cdn.tcgplayer.com/product/181266_200w.jpg,2,22881,https://cpt.tcgcsv.com/lws2,2022-12-22T21:07:23.893,1,Each pack comes with 9 random cards.,18.0,21.99,27.55,16.35,,Normal,,,,,,,
243662,Dark Hole,Dark Hole,https://tcgplayer-cdn.tcgplayer.com/product/243662_200w.jpg,2,22881,https://cpt.tcgcsv.com/gtZ2,2022-12-21T16:02:52.87,1,Destroys all monsters on the field.,0.97,1.28,6.0,1.25,,Unlimited,LOB-EN052,Super Rare,SPELL,Normal Spell,0,0,
454969,Tri-Horned Dragon (LOB-EN000),Tri Horned Dragon LOB EN000,https://tcgplayer-cdn.tcgplayer.com/product/454969_200w.jpg,2,22881,https://cpt.tcgcsv.com/p_F5,2022-12-21T14:30:50.27,1,An unworthy dragon with three sharp horns sprouting from its head.,15.98,53.51,59.99,11.24,,Unlimited,LOB-EN000,Secret Rare,DARK,Normal Monster,2850,2350,Dragon
476160,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/476160_200w.jpg,2,22881,https://cpt.tcgcsv.com/dtQ5,2024-01-01T06:07:06.687,1,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",32.0,79.48,80.0,19.19,,Unlimited,LOB-EN001,Ultra Rare,LIGHT,Normal Monster,3000,2500,Dragon
476161,Hitotsu-Me Giant,Hitotsu Me Giant,https://tcgplayer-cdn.tcgplayer.com/product/476161_200w.jpg,2,22881,https://cpt.tcgcsv.com/ftQ5,2022-12-21T14:47:02.25,1,"A one-eyes behemoth with thick, powerful arms made for delivering punishing blows.",0.2,0.38,1.0,0.57,,Unlimited,LOB-EN002,Common,EARTH,Normal Monster,1200,1000,Beast-Warrior
476164,Flame Swordsman,Flame Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/476164_200w.jpg,2,22881,https://cpt.tcgcsv.com/jtQ5,2022-12-21T14:48:32.76,1,Flame Manipulator + Masaki the Legendary Swordsman,4.0,4.49,6.0,5.61,,Unlimited,LOB-EN003,Super Rare,FIRE,Fusion Monster,1800,1600,Warrior
476168,Skull Servant,Skull Servant,https://tcgplayer-cdn.tcgplayer.com/product/476168_200w.jpg,2,22881,https://cpt.tcgcsv.com/ntQ5,2022-12-21T14:51:11.507,1,A skeletal ghost that isn''t strong but can mean trouble in large numbers.,1.05,1.16,2.98,1.04,,Unlimited,LOB-EN004,Common,DARK,Normal Monster,300,200,Zombie
476169,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/476169_200w.jpg,2,22881,https://cpt.tcgcsv.com/ptQ5,2022-12-21T14:52:07.503,1,The ultimate wizard in terms of attack and defense.,10.0,18.35,50.0,15.66,,Unlimited,LOB-EN005,Ultra Rare,DARK,Normal Monster,2500,2100,Spellcaster
476171,Gaia The Fierce Knight,Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/476171_200w.jpg,2,22881,https://cpt.tcgcsv.com/rtQ5,2022-12-21T14:52:59.313,1,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,10.49,12.0,12.99,10.4,,Unlimited,LOB-EN006,Ultra Rare,EARTH,Normal Monster,2300,2100,Warrior
476173,Celtic Guardian,Celtic Guardian,https://tcgplayer-cdn.tcgplayer.com/product/476173_200w.jpg,2,22881,https://cpt.tcgcsv.com/ttQ5,2022-12-21T14:55:58.77,1,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",2.04,2.84,6.87,2.33,,Unlimited,LOB-EN007,Super Rare,EARTH,Normal Monster,1400,1200,Warrior
