productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,extLinkRating,extLinkArrows
147004,Spirit Warriors Booster Box,Spirit Warriors Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/147004_200w.jpg,2,2073,https://cpt.tcgcsv.com/6Qb2,2017-10-30T14:58:06.83,1,145.04,150.54,156.03,154.8,,Normal,,,,,,,,,,
147005,Spirit Warriors Booster Pack,Spirit Warriors Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/147005_200w.jpg,2,2073,https://cpt.tcgcsv.com/7Qb2,2017-10-30T14:58:18.773,1,7.19,7.61,8.75,7.23,,Normal,,,,,,,,,,
152392,Secret Six Samurai - Fuma,Secret Six Samurai Fuma,https://tcgplayer-cdn.tcgplayer.com/product/152392_200w.jpg,2,2073,https://cpt.tcgcsv.com/SZd2,2017-11-18T13:50:06.687,1,1.0,1.96,19.99,1.53,5.26,1st Edition,SPWA-EN001,Secret Rare,WIND,Warrior,Tuner/Effect Monster,200,1800,"If this card is destroyed by battle or card effect: You can Special Summon 1 ""Six Samurai"" monster from your Deck, except ""Secret Six Samurai - Fuma"". If exactly 1 ""Six Samurai"" monster you control (and no other cards) would be destroyed by card effect, you can banish this card from your GY instead.",,
152393,Secret Six Samurai - Genba,Secret Six Samurai Genba,https://tcgplayer-cdn.tcgplayer.com/product/152393_200w.jpg,2,2073,https://cpt.tcgcsv.com/TZd2,2017-11-18T13:50:20.31,1,0.45,0.98,13.99,0.91,4.5,1st Edition,SPWA-EN002,Super Rare,FIRE,Warrior,Tuner/Effect Monster,500,2100,"When this card is Normal Summoned: You can target 1 of your banished ""Six Samurai"" monsters; add it to your hand. If exactly 1 ""Six Samurai"" monster you control (and no other cards) would be destroyed by card effect, you can banish this card from your GY instead.",,
152394,Secret Skills of the Six Samurai,Secret Skills of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/152394_200w.jpg,2,2073,https://cpt.tcgcsv.com/VZd2,2017-11-18T13:54:17.19,1,0.85,1.25,4.99,1.14,,1st Edition,SPWA-EN007,Secret Rare,SPELL,,Quick-Play Spell,,,"Send 1 monster you control to the GY, then target 1 of your banished ""Six Samurai"" monsters; Special Summon it. You can only activate 1 ""Secret Skills of the Six Samurai"" per turn.",,
152395,The Six Shinobi,The Six Shinobi,https://tcgplayer-cdn.tcgplayer.com/product/152395_200w.jpg,2,2073,https://cpt.tcgcsv.com/WZd2,2017-11-18T13:54:19.72,1,0.05,0.3,1.99,0.19,,1st Edition,SPWA-EN008,Super Rare,TRAP,,Normal Trap,,,"If you control 6 ""Six Samurai"" monsters with different Attributes: Skip your opponent's next turn.",,
152396,Shadow of the Six Samurai - Shien,Shadow of the Six Samurai Shien,https://tcgplayer-cdn.tcgplayer.com/product/152396_200w.jpg,2,2073,https://cpt.tcgcsv.com/XZd2,2025-05-15T20:16:26.903,1,0.15,0.47,4.99,0.36,,1st Edition,SPWA-EN012,Super Rare,EARTH,Warior,Xyz/Effect Monster,2500,400,"2 Level 4 ""Six Samurai"" monsters
<br>Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 ""Six Samurai"" monster you control with less than 2000 ATK; its original ATK becomes 2000 until the end of this turn.",,
152397,Secret Six Samurai - Hatsume,Secret Six Samurai Hatsume,https://tcgplayer-cdn.tcgplayer.com/product/152397_200w.jpg,2,2073,https://cpt.tcgcsv.com/ZZd2,2017-11-18T13:50:12.31,1,0.25,0.99,50.0,0.63,,1st Edition,SPWA-EN003,Secret Rare,WATER,Warrior,Effect Monster,1600,1500,"You can banish 2 ""Six Samurai"" monsters from your GY and/or face-up from your field, then target 1 ""Six Samurai"" monster in your GY, except ""Secret Six Samurai - Hatsume""; Special Summon it. You can only use this effect of ""Secret Six Samurai - Hatsume"" once per turn. If exactly 1 ""Six Samurai"" monster you control (and no other cards) would be destroyed by card effect, you can banish this card from your GY instead.",,
152398,Secret Six Samurai - Doji,Secret Six Samurai Doji,https://tcgplayer-cdn.tcgplayer.com/product/152398_200w.jpg,2,2073,https://cpt.tcgcsv.com/-Zd2,2017-11-18T13:50:15.28,1,0.85,1.28,11.0,1.22,,1st Edition,SPWA-EN004,Secret Rare,DARK,Warrior,Effect Monster,1700,1200,"When another ""Six Samurai"" monster is Normal or Special Summoned to your field (except during the Damage Step): You can send 1 ""Six Samurai"" card from your Deck to the GY. If exactly 1 ""Six Samurai"" monster you control (and no other cards) would be destroyed by card effect, you can banish this card from your GY instead.",,
152399,Secret Six Samurai - Kizaru,Secret Six Samurai Kizaru,https://tcgplayer-cdn.tcgplayer.com/product/152399_200w.jpg,2,2073,https://cpt.tcgcsv.com/_Zd2,2024-08-27T14:27:26.287,1,0.62,1.39,45.99,1.3,0.71,1st Edition,SPWA-EN005,Secret Rare,EARTH,Warrior,Effect Monster,1900,1000,"When this card is Special Summoned: You can add from your Deck to your hand, 1 ""Six Samurai"" monster with a different Attribute from every monster you control. If exactly 1 ""Six Samurai"" monster you control (and no other cards) would be destroyed by card effect, you can banish this card from your GY instead.",,
