productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttribute,extMonsterType,extAttack,extDefense
217831,Power Up!,Power Up,https://tcgplayer-cdn.tcgplayer.com/product/217831_200w.jpg,2,2681,https://cpt.tcgcsv.com/F8M2,2020-07-09T16:43:41.58,1,DEM5-ENS01,Common,Yami Yugi/Skill,"Activate this Skill during your Main Phase.
<br>Once per Duel, you can make 1 face-up monster on the field gain 500 ATK until the end of this turn.",0.06,0.75,19.99,,,Unlimited,,,,
217837,Feral Imp,Feral Imp,https://tcgplayer-cdn.tcgplayer.com/product/217837_200w.jpg,2,2681,https://cpt.tcgcsv.com/M8M2,2020-07-09T17:43:12.077,0,DEM5-EN001,Common,Normal Monster,"<em>A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.</em>",0.01,0.35,1.97,0.23,,Unlimited,DARK,Fiend,1300,1400
217840,Battle Ox,Battle Ox,https://tcgplayer-cdn.tcgplayer.com/product/217840_200w.jpg,2,2681,https://cpt.tcgcsv.com/Q8M2,2020-07-09T17:44:39.02,0,DEM5-EN002,Common,Normal Monster,"<em>A monster with tremendous power, it destroys enemies with a swing of its axe.</em>",0.01,0.45,10.0,0.4,,Unlimited,EARTH,Beast-Warrior,1700,1000
217843,Dark Rabbit,Dark Rabbit,https://tcgplayer-cdn.tcgplayer.com/product/217843_200w.jpg,2,2681,https://cpt.tcgcsv.com/T8M2,2020-07-09T17:46:44.197,0,DEM5-EN003,Common,Normal Monster,"<em>He leaps up, down, and all around! Nobody can lay a hand on this funny bunny.</em>",0.25,1.0,10.0,0.85,,Unlimited,DARK,Beast,1100,1500
217845,Baby Dragon,Baby Dragon,https://tcgplayer-cdn.tcgplayer.com/product/217845_200w.jpg,2,2681,https://cpt.tcgcsv.com/W8M2,2020-07-09T17:49:00.21,0,DEM5-EN004,Common,Normal Monster,"<em>Much more than just a child, this dragon is gifted with untapped power.</em>",0.1,0.49,10.0,0.32,,Unlimited,LIGHT,Dragon,1200,700
217847,Meteor Dragon,Meteor Dragon,https://tcgplayer-cdn.tcgplayer.com/product/217847_200w.jpg,2,2681,https://cpt.tcgcsv.com/Z8M2,2020-07-09T17:49:40.357,0,DEM5-EN005,Common,Normal Monster,<em>This dragon appeared from the sky and crashed to the earth.</em>,0.03,0.52,10.0,0.52,,Unlimited,EARTH,Dragon,1800,2000
217849,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/217849_200w.jpg,2,2681,https://cpt.tcgcsv.com/_8M2,2020-07-09T17:50:55.107,0,DEM5-EN006,Common,Effect Monster,If this card is Summoned: Target 1 face-up monster your opponent controls; this card's ATK/DEF become equal to that monster's original ATK/DEF.,0.3,0.66,10.0,0.55,,Unlimited,LIGHT,Spellcaster,0,0
217850,Gravekeeper's Spear Soldier,Gravekeepers Spear Soldier,https://tcgplayer-cdn.tcgplayer.com/product/217850_200w.jpg,2,2681,https://cpt.tcgcsv.com/09M2,2020-07-09T17:51:20.19,0,DEM5-EN007,Common,Effect Monster,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.",0.23,1.1,10.0,0.8,,Unlimited,DARK,Spellcaster,1500,1000
217852,Riryoku,Riryoku,https://tcgplayer-cdn.tcgplayer.com/product/217852_200w.jpg,2,2681,https://cpt.tcgcsv.com/39M2,2020-07-09T17:51:47.09,0,DEM5-EN008,Common,Normal Spell,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that lost ATK to the other monster. These effects last until the end of this turn.",0.06,0.5,10.0,0.22,,Unlimited,SPELL,,,
217853,Sword of Deep-Seated,Sword of Deep Seated,https://tcgplayer-cdn.tcgplayer.com/product/217853_200w.jpg,2,2681,https://cpt.tcgcsv.com/59M2,2020-07-09T17:52:05.837,0,DEM5-EN009,Common,Equip Spell,The equipped monster gains 500 ATK/DEF. If this card is sent to your GY: Place it on top of your Deck.,0.03,0.42,10.0,0.29,,Unlimited,SPELL,,,
217854,Windstorm of Etaqua,Windstorm of Etaqua,https://tcgplayer-cdn.tcgplayer.com/product/217854_200w.jpg,2,2681,https://cpt.tcgcsv.com/69M2,2020-07-09T17:52:31.223,0,DEM5-EN010,Common,Normal Trap,Change the battle positions of all face-up monsters your opponent controls.,0.03,0.3,10.0,0.25,,Unlimited,TRAP,,,
