productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType
21720,A Feint Plan,A Feint Plan,https://tcgplayer-cdn.tcgplayer.com/product/21720_200w.jpg,2,243,https://cpt.tcgcsv.com/qJb,2022-01-26T15:26:55.677,1,LOD-032,Common,TRAP,Normal Trap,0,0,A player cannot attack face-down monsters during this turn.,0.05,0.2,1.0,0.08,,Unlimited,
21720,A Feint Plan,A Feint Plan,https://tcgplayer-cdn.tcgplayer.com/product/21720_200w.jpg,2,243,https://cpt.tcgcsv.com/qJb,2022-01-26T15:26:55.677,1,LOD-032,Common,TRAP,Normal Trap,0,0,A player cannot attack face-down monsters during this turn.,0.08,0.33,5.0,0.35,,1st Edition,
21721,A Legendary Ocean,A Legendary Ocean,https://tcgplayer-cdn.tcgplayer.com/product/21721_200w.jpg,2,243,https://cpt.tcgcsv.com/rJb,2021-11-15T16:19:31.617,1,LOD-078,Common,SPELL,Field Spell,0,0,This card's name is treated as Umi. Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.,0.1,0.28,1.41,0.29,,Unlimited,
21721,A Legendary Ocean,A Legendary Ocean,https://tcgplayer-cdn.tcgplayer.com/product/21721_200w.jpg,2,243,https://cpt.tcgcsv.com/rJb,2021-11-15T16:19:31.617,1,LOD-078,Common,SPELL,Field Spell,0,0,This card's name is treated as Umi. Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.,0.11,0.49,1.51,0.46,,1st Edition,
21723,A Wingbeat of Giant Dragon,A Wingbeat of Giant Dragon,https://tcgplayer-cdn.tcgplayer.com/product/21723_200w.jpg,2,243,https://cpt.tcgcsv.com/tJb,2018-10-19T15:14:11.04,1,LOD-044,Common,SPELL,Normal Spell,,,Return 1 face-up Level 5 or higher Dragon-Type monster on your side of the field to the owner's hand and destroy all Magic and Trap Cards on the field,0.1,0.25,1.0,0.5,0.88,Unlimited,
21723,A Wingbeat of Giant Dragon,A Wingbeat of Giant Dragon,https://tcgplayer-cdn.tcgplayer.com/product/21723_200w.jpg,2,243,https://cpt.tcgcsv.com/tJb,2018-10-19T15:14:11.04,1,LOD-044,Common,SPELL,Normal Spell,,,Return 1 face-up Level 5 or higher Dragon-Type monster on your side of the field to the owner's hand and destroy all Magic and Trap Cards on the field,0.1,0.49,1.56,0.62,,1st Edition,
21725,After Genocide,After Genocide,https://tcgplayer-cdn.tcgplayer.com/product/21725_200w.jpg,2,243,https://cpt.tcgcsv.com/wJb,2018-10-19T15:15:55.193,1,LOD-086,Rare,SPELL,Normal Spell,0,0,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,0.09,0.3,1.42,0.31,,Unlimited,
21725,After Genocide,After Genocide,https://tcgplayer-cdn.tcgplayer.com/product/21725_200w.jpg,2,243,https://cpt.tcgcsv.com/wJb,2018-10-19T15:15:55.193,1,LOD-086,Rare,SPELL,Normal Spell,0,0,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,0.23,0.87,9.99,0.42,,1st Edition,
21726,Airknight Parshath,Airknight Parshath,https://tcgplayer-cdn.tcgplayer.com/product/21726_200w.jpg,2,243,https://cpt.tcgcsv.com/xJb,2021-12-30T12:29:55.027,1,LOD-062,Ultra Rare,LIGHT,Effect Monster,1900,1400,"When this card attacks with an ATK higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.",4.5,5.92,19.99,6.43,,Unlimited,Fairy
21726,Airknight Parshath,Airknight Parshath,https://tcgplayer-cdn.tcgplayer.com/product/21726_200w.jpg,2,243,https://cpt.tcgcsv.com/xJb,2021-12-30T12:29:55.027,1,LOD-062,Ultra Rare,LIGHT,Effect Monster,1900,1400,"When this card attacks with an ATK higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.",12.5,22.39,84.99,20.41,,1st Edition,Fairy
