productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extCardType,extDescription,extUPC
56708,Ancient City - Rainbow Ruins,Ancient City Rainbow Ruins,https://tcgplayer-cdn.tcgplayer.com/product/56708_200w.jpg,2,245,https://cpt.tcgcsv.com/bJs,2018-11-07T18:20:40.287,1,LCGX-EN168,Common,SPELL,0,0,0.1,0.27,1.57,0.1,,Unlimited,,,,
56708,Ancient City - Rainbow Ruins,Ancient City Rainbow Ruins,https://tcgplayer-cdn.tcgplayer.com/product/56708_200w.jpg,2,245,https://cpt.tcgcsv.com/bJs,2018-11-07T18:20:40.287,1,LCGX-EN168,Common,SPELL,0,0,0.1,0.34,1.57,0.1,,1st Edition,,,,
56709,Armityle the Chaos Phantom,Armityle the Chaos Phantom,https://tcgplayer-cdn.tcgplayer.com/product/56709_200w.jpg,2,245,https://cpt.tcgcsv.com/cJs,2018-11-07T18:20:54.427,1,LCGX-EN211,Ultra Rare,DARK,0,0,0.55,1.0,9.99,1.03,,Unlimited,,,,
56709,Armityle the Chaos Phantom,Armityle the Chaos Phantom,https://tcgplayer-cdn.tcgplayer.com/product/56709_200w.jpg,2,245,https://cpt.tcgcsv.com/cJs,2018-11-07T18:20:54.427,1,LCGX-EN211,Ultra Rare,DARK,0,0,0.88,1.08,8.0,1.13,,1st Edition,,,,
56710,"Aurkus, Lightsworn Druid",Aurkus Lightsworn Druid,https://tcgplayer-cdn.tcgplayer.com/product/56710_200w.jpg,2,245,https://cpt.tcgcsv.com/dJs,2022-07-14T13:32:45.23,1,LCGX-EN250,Ultra Rare,LIGHT,1200,1800,4.66,6.0,10.0,4.7,,Unlimited,Beast-Warrior,Effect Monster,"""Lightsworn"" monsters (everywhere) cannot be targeted by Spells, Traps, or card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",
56710,"Aurkus, Lightsworn Druid",Aurkus Lightsworn Druid,https://tcgplayer-cdn.tcgplayer.com/product/56710_200w.jpg,2,245,https://cpt.tcgcsv.com/dJs,2022-07-14T13:32:45.23,1,LCGX-EN250,Ultra Rare,LIGHT,1200,1800,4.0,6.28,9.99,7.33,,1st Edition,Beast-Warrior,Effect Monster,"""Lightsworn"" monsters (everywhere) cannot be targeted by Spells, Traps, or card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",
56711,Banisher of the Radiance,Banisher of the Radiance,https://tcgplayer-cdn.tcgplayer.com/product/56711_200w.jpg,2,245,https://cpt.tcgcsv.com/fJs,2018-11-07T18:57:40.207,1,LCGX-EN225,Secret Rare,LIGHT,0,0,1.85,2.66,13.99,2.57,1.99,Unlimited,,,,
56711,Banisher of the Radiance,Banisher of the Radiance,https://tcgplayer-cdn.tcgplayer.com/product/56711_200w.jpg,2,245,https://cpt.tcgcsv.com/fJs,2018-11-07T18:57:40.207,1,LCGX-EN225,Secret Rare,LIGHT,0,0,2.5,3.28,9.99,3.12,,1st Edition,,,,
56712,Bubble Shuffle,Bubble Shuffle,https://tcgplayer-cdn.tcgplayer.com/product/56712_200w.jpg,2,245,https://cpt.tcgcsv.com/gJs,2018-11-07T19:01:58.337,1,LCGX-EN080,Rare,SPELL,0,0,0.15,0.25,1.47,0.23,,Unlimited,,,,
56712,Bubble Shuffle,Bubble Shuffle,https://tcgplayer-cdn.tcgplayer.com/product/56712_200w.jpg,2,245,https://cpt.tcgcsv.com/gJs,2018-11-07T19:01:58.337,1,LCGX-EN080,Rare,SPELL,0,0,0.07,0.37,1.56,0.39,,1st Edition,,,,
56713,Burst Return,Burst Return,https://tcgplayer-cdn.tcgplayer.com/product/56713_200w.jpg,2,245,https://cpt.tcgcsv.com/hJs,2018-11-25T17:07:10.78,1,LCGX-EN084,Rare,SPELL,0,0,0.25,0.43,1.49,0.31,,Unlimited,,,"If you control a face-up ""Elemental HERO Burstinatrix"": Return all face-up ""Elemental HERO"" monsters on the field to the hand, except ""Elemental HERO Burstinatrix"".",
