productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
518873,Phantom Nightmare Booster Box [1st Edition],Phantom Nightmare Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/518873_200w.jpg,2,23321,https://cpt.tcgcsv.com/tz96,2024-02-09T05:03:14.857,1,"Each box contains 24 packs of 9 random cards.
<br>
<br>Don’t close your eyes – <em>Phantom Nightmare</em> is lurking just around the corner! This 100-new-card set is loaded with astounding new cards that are the stuff your dreams are made of (and your opponent’s nightmares…). Unlock the terrifying secrets of new themes, find brand-new cards for recent favorites, and meet more memorable monsters! No matter which way you turn, there’s no escaping the exciting new cards in <em>Phantom Nightmare</em>!
<br>
<br>The complete Phantom Nightmare booster set contains 100 new cards:
<br>• 10 Secret Rares
<br>• 14 Ultra Rares
<br>• 26 Super Rares
<br>• 50 Commons
<br>(24 of these cards are also available as Quarter-Century Secret Rares and 1 special card is ONLY available as a Quarter-Century Secret Rare!)",083717863823,82.34,90.0,454.95,80.85,,Normal,,,,,,,,,
518874,Phantom Nightmare Booster Pack [1st Edition],Phantom Nightmare Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/518874_200w.jpg,2,23321,https://cpt.tcgcsv.com/vz96,2024-02-09T05:03:14.857,1,"Each booster pack contains 9 random cards.
<br>
<br>Don’t close your eyes – <em>Phantom Nightmare</em> is lurking just around the corner! This 100-new-card set is loaded with astounding new cards that are the stuff your dreams are made of (and your opponent’s nightmares…). Unlock the terrifying secrets of new themes, find brand-new cards for recent favorites, and meet more memorable monsters! No matter which way you turn, there’s no escaping the exciting new cards in <em>Phantom Nightmare</em>!
<br>
<br>The complete Phantom Nightmare booster set contains 100 new cards:
<br>• 10 Secret Rares
<br>• 14 Ultra Rares
<br>• 26 Super Rares
<br>• 50 Commons
<br>(24 of these cards are also available as Quarter-Century Secret Rares and 1 special card is ONLY available as a Quarter-Century Secret Rare!)",083717863816,2.5,4.17,27.45,3.66,,Normal,,,,,,,,,
536353,Magicians of Bonds and Unity (Quarter Century Secret Rare),magicians of bonds and unity quarter century secret rare,https://tcgplayer-cdn.tcgplayer.com/product/536353_200w.jpg,2,23321,https://cpt.tcgcsv.com/5zj6,2024-02-14T15:27:55.483,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having 25 or more cards in your GY. While your opponent has 25 or more cards in their GY, this card gains 2500 ATK/DEF.",,58.94,69.95,300.0,73.86,,1st Edition,PHNI-EN000,Quarter Century Secret Rare,LIGHT,Spellcaster,Effect Monster,2500,2500,,
536354,Spirit of Yubel,spirit of yubel,https://tcgplayer-cdn.tcgplayer.com/product/536354_200w.jpg,2,23321,https://cpt.tcgcsv.com/6zj6,2024-02-14T15:27:55.483,1,"Cannot be destroyed by battle, also you take no damage from battles involving this card. If this card is destroyed: You can Special Summon 1 of your ""Yubel"" that is banished or in your hand, Deck, or GY. You can only use each of the following effects of ""Spirit of Yubel"" once per turn. When an opponent's monster declares an attack: You can Special Summon this card from your hand. If this card is Special Summoned: You can add to your hand or Set 1 Spell/Trap from your Deck that mentions ""Yubel"".",,0.04,0.99,12.87,0.86,0.6,1st Edition,PHNI-EN001,Super Rare,DARK,Fiend,Effect Monster,0,0,,
536355,Geistgrinder Golem,geistgrinder golem,https://tcgplayer-cdn.tcgplayer.com/product/536355_200w.jpg,2,23321,https://cpt.tcgcsv.com/7zj6,2024-07-12T21:13:56.197,1,"You can only Special Summon ""Geistgrinder Golem"" once per turn. You can reveal 1 ""Yubel"" monster in your hand; Special Summon this card from your hand to your opponent's field, then you can Special Summon the revealed monster to your field. Once per turn, during damage calculation, if this card battles a ""Yubel"" monster: Your opponent gains 3000 LP. If you Special Summon ""Yubel"" while this card is in your GY (except during the Damage Step): You can Special Summon this card to your opponent's field.",,0.01,0.15,1.49,0.07,,1st Edition,PHNI-EN002,Common,DARK,Fiend,Effect Monster,3000,300,,
536356,Samsara D Lotus,Samsara D Lotus,https://tcgplayer-cdn.tcgplayer.com/product/536356_200w.jpg,2,23321,https://cpt.tcgcsv.com/8zj6,2025-09-26T16:22:58.84,1,"You can Tribute this card; Special Summon 1 ""Yubel"" monster from your Deck. During your opponent's turn, when a monster effect is activated, while you control a ""Yubel"" monster (Quick Effect): You can Tribute this card; the activated effect becomes ""Destroy 1 ""Yubel"" monster on the field"". During your End Phase, if you control ""Yubel"" and this card is in your GY: You can add this card to your hand, or Special Summon it. You can only use each effect of ""Samsara D Lotus"" once per turn.",,0.65,1.69,19.99,1.92,1.41,1st Edition,PHNI-EN003,Super Rare,DARK,Fiend,Effect Monster,0,0,,
536357,Raidraptor - Noir Lanius,raidraptor noir lanius,https://tcgplayer-cdn.tcgplayer.com/product/536357_200w.jpg,2,23321,https://cpt.tcgcsv.com/9zj6,2024-07-12T21:13:56.35,1,"During your Main Phase, if this card was Normal or Special Summoned this turn: You can target 1 ""Raidraptor"" monster you control; add 1 ""Raidraptor"" monster with a different Level than that monster from your Deck to your hand. You can banish this card from your GY; increase or decrease the Levels of all ""Raidraptor"" monsters you currently control by 1. You can only use each effect of ""Raidraptor - Noir Lanius"" once per turn.",,0.05,0.2,1.0,0.12,0.1,1st Edition,PHNI-EN004,Common,DARK,Winged Beast,Effect Monster,1600,500,,
536358,Raidraptor - Bloom Vulture,raidraptor bloom vulture,https://tcgplayer-cdn.tcgplayer.com/product/536358_200w.jpg,2,23321,https://cpt.tcgcsv.com/bzj6,2024-07-12T21:13:56.43,1,"If you do not control any face-up monsters, other than Winged Beast monsters: You can Special Summon both this card and 1 ""Raidraptor"" monster from your hand. If you control no monsters: You can target 2 Level 4 or lower ""Raidraptor"" monsters in your GY, including this card; Special Summon them in Defense Position. You can only use 1 ""Raidraptor - Bloom Vulture"" effect per turn, and only once that turn, also you cannot Special Summon monsters the turn you activate either of these effects, except DARK monsters.",,0.5,0.72,2.0,0.66,,1st Edition,PHNI-EN005,Super Rare,DARK,Winged Beast,Effect Monster,300,1900,,
536359,White Sunfish,white sunfish,https://tcgplayer-cdn.tcgplayer.com/product/536359_200w.jpg,2,23321,https://cpt.tcgcsv.com/czj6,2024-07-12T21:13:56.477,1,"If this card is in your hand: You can target 1 Level 4 or lower Fish monster in your GY with the same name as a card you control; Special Summon this card, and if you do, Special Summon that monster. You can only use this effect of ""White Sunfish"" once per turn. If this card is Special Summoned from the GY: You can treat it as a Tuner this turn.",,0.03,0.17,1.49,0.15,0.03,1st Edition,PHNI-EN006,Common,WATER,Fish,Effect Monster,1200,1000,,
536360,White Sardine,white sardine,https://tcgplayer-cdn.tcgplayer.com/product/536360_200w.jpg,2,23321,https://cpt.tcgcsv.com/dzj6,2024-07-12T21:13:56.54,1,"You can send 1 ""White Sardine"" from your Deck to the GY; Special Summon this card from your hand, also you cannot Special Summon from the Extra Deck for the rest of this turn, except WATER monsters. You can only use this effect of ""White Sardine"" once per turn. If this card is Special Summoned from the GY: You can treat it as a Tuner this turn.",,0.19,0.48,3.98,0.38,,1st Edition,PHNI-EN007,Super Rare,WATER,Fish,Effect Monster,800,0,,
