productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDescription,extLinkRating,extLinkArrows,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDefense
164860,Link Spider (UTR),Link Spider UTR,https://tcgplayer-cdn.tcgplayer.com/product/164860_200w.jpg,2,2228,https://cpt.tcgcsv.com/dZk2,2023-08-04T15:48:32.057,1,OP07-EN002,Ultimate Rare,EARTH,Cyberse,Link/Effect Monster,1000,"1 Normal Monster
<br>Once per turn: You can Special Summon 1 Level 4 or lower Normal Monster from your hand to your zone this card points to.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",1,Bottom,21.37,26.12,99.0,25.07,22.97,Unlimited,
164861,Herald of Orange Light (UTR),Herald of Orange Light UTR,https://tcgplayer-cdn.tcgplayer.com/product/164861_200w.jpg,2,2228,https://cpt.tcgcsv.com/fZk2,2024-01-06T20:55:53.527,1,OP07-EN001,Ultimate Rare,LIGHT,Fairy,Tuner/Effect Monster,300,"When your opponent activates a monster effect (Quick Effect): You can send this card and 1 other Fairy monster from your hand to the GY; negate the activation, and if you do, destroy it.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,55.49,73.96,154.48,55.35,58.49,Unlimited,500
164862,Cosmic Cyclone (UTR),Cosmic Cyclone UTR,https://tcgplayer-cdn.tcgplayer.com/product/164862_200w.jpg,2,2228,https://cpt.tcgcsv.com/gZk2,2023-08-04T15:48:19.967,1,OP07-EN003,Ultimate Rare,SPELL,,Quick-Play Spell,,"Pay 1000 LP, then target 1 Spell/Trap on the field; banish it.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,25.67,28.99,99.99,31.86,28.77,Unlimited,
164863,Royal Magical Library,Royal Magical Library,https://tcgplayer-cdn.tcgplayer.com/product/164863_200w.jpg,2,2228,https://cpt.tcgcsv.com/hZk2,2024-01-20T05:56:05.037,1,OP07-EN004,Super Rare,LIGHT,Spellcaster,Effect Monster,0,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves (max. 3). You can remove 3 Spell Counters from this card; draw 1 card.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,1.8,4.99,19.99,1.8,4.33,Unlimited,2000
164864,SPYRAL Tough,SPYRAL Tough,https://tcgplayer-cdn.tcgplayer.com/product/164864_200w.jpg,2,2228,https://cpt.tcgcsv.com/jZk2,2019-04-22T19:39:01.7,1,OP07-EN005,Super Rare,WIND,Warrior,Effect Monster,1900,"This card's name becomes ""SPYRAL Super Agent"" while it is on the field or in the Graveyard. Once per turn: You can declare 1 card type (Monster, Spell, or Trap) and target 1 card your opponent controls; reveal the top card of your opponent's Deck, and if you do, destroy the targeted card if the revealed card is the declared type.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.2,0.79,5.0,0.74,0.79,Unlimited,1500
164865,"World Legacy - ""World Chalice""",World Legacy World Chalice,https://tcgplayer-cdn.tcgplayer.com/product/164865_200w.jpg,2,2228,https://cpt.tcgcsv.com/kZk2,2019-04-22T19:39:39.513,1,OP07-EN006,Super Rare,DARK,Machine,Effect Monster,0,"If a monster(s) is Special Summoned from the Extra Deck (except during the Damage Step): You can Tribute this card; send that monster(s) to the GY. You can only use each of the following effects of ""World Legacy - ""World Chalice"""" once per turn.
<br>• If this face-up Normal Summoned/Set card leaves the field: You can Special Summon 2 ""World Chalice"" monsters from your Deck, except ""World Legacy - ""World Chalice"""".
<br>• During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY; add 1 ""World Legacy"" card from your Deck to your hand.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,2.72,3.02,7.99,2.79,,Unlimited,0
164866,Destrudo the Lost Dragon's Frisson,Destrudo the Lost Dragons Frisson,https://tcgplayer-cdn.tcgplayer.com/product/164866_200w.jpg,2,2228,https://cpt.tcgcsv.com/lZk2,2023-07-02T10:31:23.12,1,OP07-EN007,Super Rare,DARK,Dragon,Tuner/Effect Monster,1000,"If this card is in your hand or GY: You can pay half your LP, then target 1 Level 6 or lower monster you control; Special Summon this card, and if you do, this card's Level is reduced by the Level of the targeted monster, also place this card on the bottom of the Deck if it leaves the field. You can only use this effect of ""Destrudo the Lost Dragon's Frisson"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,2.19,4.81,21.99,2.28,2.78,Unlimited,3000
164867,Book of Life,Book of Life,https://tcgplayer-cdn.tcgplayer.com/product/164867_200w.jpg,2,2228,https://cpt.tcgcsv.com/mZk2,2019-04-22T19:36:37.883,1,OP07-EN017,Common,SPELL,,Normal Spell,,"Target 1 Zombie-Type monster in your Graveyard and 1 monster in your opponent's Graveyard; Special Summon the first target, also banish the second target.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.34,0.69,2.23,0.66,,Unlimited,
164868,Magical Citadel of Endymion,Magical Citadel of Endymion,https://tcgplayer-cdn.tcgplayer.com/product/164868_200w.jpg,2,2228,https://cpt.tcgcsv.com/nZk2,2019-04-22T19:37:44.83,1,OP07-EN008,Super Rare,SPELL,,Field Spell,,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves. If a card with a Spell Counter(s) is destroyed, place its Spell Counters on this card. Once per turn, if you would activate a card effect by removing a Spell Counter(s) from your side of the field, you can remove that many Spell Counters from this card instead. If this card would be destroyed, you can remove 1 Spell Counter from this card instead.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.13,0.5,4.99,0.44,,Unlimited,
164869,Fossil Dig,Fossil Dig,https://tcgplayer-cdn.tcgplayer.com/product/164869_200w.jpg,2,2228,https://cpt.tcgcsv.com/pZk2,2022-09-01T16:14:39.33,1,OP07-EN009,Super Rare,SPELL,,Normal Spell,,"Add 1 Level 6 or lower Dinosaur-Type monster from your Deck to your hand.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.12,0.99,9.5,0.46,,Unlimited,
