productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extUPC
91592,Battle Pack 3: Monster League Booster Box,Battle Pack 3 Monster League Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/91592_200w.jpg,2,1470,https://cpt.tcgcsv.com/SFL,2014-08-06T12:21:14.34,1,"Designed for booster draft or sealed pack play, Monster League brings together a ton of surprising Monsters, Spells, and Traps to challenge your drafting, deck-building, and Dueling skills in a brand new way.",63.95,79.99,84.97,63.53,,Normal,,,,,,,,
91593,Battle Pack 3: Monster League Booster Pack,Battle Pack 3 Monster League Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/91593_200w.jpg,2,1470,https://cpt.tcgcsv.com/TFL,2015-06-01T11:33:12.927,1,,1.59,3.31,3.99,3.0,,Normal,,,,,,,,
91682,Jerry Beans Man,Jerry Beans Man,https://tcgplayer-cdn.tcgplayer.com/product/91682_200w.jpg,2,1470,https://cpt.tcgcsv.com/GHL,2015-02-27T19:06:17.277,1,"Jerry, a bean soldier, believes he is the strongest warrior in the world, but his true abilities are still untested.",0.24,0.5,1.97,0.45,,1st Edition,BP03-EN001,Common,EARTH,Plant,Normal Monster,1750,0,
91682,Jerry Beans Man,Jerry Beans Man,https://tcgplayer-cdn.tcgplayer.com/product/91682_200w.jpg,2,1470,https://cpt.tcgcsv.com/GHL,2015-02-27T19:06:17.277,1,"Jerry, a bean soldier, believes he is the strongest warrior in the world, but his true abilities are still untested.",0.3,0.35,0.39,,,Limited,BP03-EN001,Common,EARTH,Plant,Normal Monster,1750,0,
91683,Bazoo the Soul-Eater,Bazoo the Soul Eater,https://tcgplayer-cdn.tcgplayer.com/product/91683_200w.jpg,2,1470,https://cpt.tcgcsv.com/HHL,2015-02-27T18:40:12.413,1,"Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until your opponent's End Phase.",0.03,0.25,1.12,0.24,,1st Edition,BP03-EN002,Common,EARTH,,Effect Monster,1600,900,
91684,Frontier Wiseman,Frontier Wiseman,https://tcgplayer-cdn.tcgplayer.com/product/91684_200w.jpg,2,1470,https://cpt.tcgcsv.com/JHL,2015-02-27T18:57:37.607,1,"As long as this card remains face-up on your side of the field, it negates the effects of Magic Cards that designate Warrior-Type monsters on your side of the field as targets and destroys the Magic Card.",0.06,0.25,1.0,0.12,,1st Edition,BP03-EN003,Common,EARTH,Spellcaster,Effect Monster,1600,800,
91685,Arsenal Bug,Arsenal Bug,https://tcgplayer-cdn.tcgplayer.com/product/91685_200w.jpg,2,1470,https://cpt.tcgcsv.com/KHL,2015-02-27T18:37:23.86,1,"If there are no face-up Insect-Type monsters (except this monster) on your side of the field, both the ATK and DEF of this monster become 1000 points.",0.05,0.25,1.49,0.26,,1st Edition,BP03-EN004,Rare,EARTH,Insect,Effect Monster,2000,2000,
91686,Breaker the Magical Warrior (Shatterfoil),Breaker the Magical Warrior Shatterfoil,https://tcgplayer-cdn.tcgplayer.com/product/91686_200w.jpg,2,1470,https://cpt.tcgcsv.com/LHL,2015-08-19T16:43:15.01,1,"When this card is Normal Summoned, put 1 Spell Counter on it (max. 1). This card gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card to destroy 1 Spell or Trap Card on the field.",0.9,1.45,9.99,1.45,,1st Edition,BP03-EN005,Shatterfoil Rare,DARK,Spellcaster,Effect Monster,1600,1000,
91687,Mudora,Mudora,https://tcgplayer-cdn.tcgplayer.com/product/91687_200w.jpg,2,1470,https://cpt.tcgcsv.com/MHL,2017-05-01T12:05:36.61,1,This card gains 200 ATK for every Fairy-Type monster in your Graveyard.,0.19,0.38,1.51,0.26,,1st Edition,BP03-EN006,Rare,EARTH,Fairy,Effect Monster,1500,1800,
91688,Gale Lizard,Gale Lizard,https://tcgplayer-cdn.tcgplayer.com/product/91688_200w.jpg,2,1470,https://cpt.tcgcsv.com/NHL,2015-02-27T18:59:20.46,1,FLIP: Select 1 Monster Card on your opponent''s side of the field and return it to its owner''s hand.,0.06,0.25,1.0,0.11,,1st Edition,BP03-EN007,Common,WATER,Reptile,Effect Monster,1400,700,
