productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
70752,Judgment of the Light - Booster Box [1st Edition],Judgment of the Light Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/70752_200w.jpg,2,1142,https://cpt.tcgcsv.com/3kB,2021-03-22T18:37:11.8,1,083717894681,155.0,174.5,194.94,83.58,,Normal,,,,,,,,
70753,Judgment of the Light - Booster Pack [1st Edition],Judgment of the Light Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/70753_200w.jpg,2,1142,https://cpt.tcgcsv.com/5kB,2021-03-22T18:37:35.01,1,,5.99,6.16,6.33,4.76,,Normal,,,,,,,,
70754,Judgment of the Light - Deluxe Edition Monster Box,Judgment of the Light Deluxe Edition Monster Box,https://tcgplayer-cdn.tcgplayer.com/product/70754_200w.jpg,2,1142,https://cpt.tcgcsv.com/6kB,2022-08-23T14:19:53.903,2,083717895602,44.99,57.72,79.99,45.98,,Normal,"Each Judgment of the Light - Deluxe Edition Monster Box contains: 
<br>• 9 Judgment of the Light unlimited Booster Packs
<br>• 2 FOIL versions of common cards from Judgment of the Light
<br>• 1 Pack of 50 promo sleeves
<br>• 1 of 2 FOIL versions of a common or rare from the upcoming Shadow Specters release
<br>• 1 of 2 Monster Box storage box designs
<br>• Beginner’s Guide.",,,,,,,
70798,Galaxy Serpent,Galaxy Serpent,https://tcgplayer-cdn.tcgplayer.com/product/70798_200w.jpg,2,1142,https://cpt.tcgcsv.com/-kB,2025-02-20T13:47:57.03,1,,0.21,0.5,2.38,0.28,,Unlimited,"Your hopes and dreams will be refreshed if you catch a glimpse of this rare creature in the evening twilight, soaring in the Sea of Stars.",JOTL-EN000,Super Rare,LIGHT,Dragon,Tuner Monster,1000,0
70798,Galaxy Serpent,Galaxy Serpent,https://tcgplayer-cdn.tcgplayer.com/product/70798_200w.jpg,2,1142,https://cpt.tcgcsv.com/-kB,2025-02-20T13:47:57.03,1,,0.2,0.75,5.0,0.34,,1st Edition,"Your hopes and dreams will be refreshed if you catch a glimpse of this rare creature in the evening twilight, soaring in the Sea of Stars.",JOTL-EN000,Super Rare,LIGHT,Dragon,Tuner Monster,1000,0
70799,DZW - Chimera Clad,DZW Chimera Clad,https://tcgplayer-cdn.tcgplayer.com/product/70799_200w.jpg,2,1142,https://cpt.tcgcsv.com/_kB,2025-02-20T13:47:57.067,1,,0.1,0.29,1.48,0.16,,Unlimited,"You can target 1 ""Number C39"" monster you control; equip this monster from your hand or your side of the field to that target. The equipped monster cannot be destroyed by battle. At the end of the Damage Step, when the equipped monster attacks an opponent's monster, but the opponent's monster was not destroyed by the battle: You can make the opponent's monster's ATK 0 (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, the equipped monster can make a second attack on the same monster in a row.",JOTL-EN001,Rare,DARK,Fiend,Effect Monster,0,0
70799,DZW - Chimera Clad,DZW Chimera Clad,https://tcgplayer-cdn.tcgplayer.com/product/70799_200w.jpg,2,1142,https://cpt.tcgcsv.com/_kB,2025-02-20T13:47:57.067,1,,0.09,0.25,3.99,0.16,,1st Edition,"You can target 1 ""Number C39"" monster you control; equip this monster from your hand or your side of the field to that target. The equipped monster cannot be destroyed by battle. At the end of the Damage Step, when the equipped monster attacks an opponent's monster, but the opponent's monster was not destroyed by the battle: You can make the opponent's monster's ATK 0 (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, the equipped monster can make a second attack on the same monster in a row.",JOTL-EN001,Rare,DARK,Fiend,Effect Monster,0,0
70800,V Salamander,V Salamander,https://tcgplayer-cdn.tcgplayer.com/product/70800_200w.jpg,2,1142,https://cpt.tcgcsv.com/0lB,2025-02-20T13:47:57.113,1,,0.02,0.25,2.2,0.14,,Unlimited,"When this card is Normal Summoned: You can target 1 ""Utopia"" monster in your Graveyard; Special Summon that target. You can target 1 ""Number C39: Utopia Ray V"" you control; equip this monster you control to that target. Once per turn, while this card is equipped to a monster: You can detach 1 Xyz Material from the equipped monster; negate the equipped monster's effects (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, destroy all monsters your opponent controls, and if you do that, inflict 1000 damage to your opponent for each monster destroyed by this effect.",JOTL-EN002,Rare,FIRE,Spellcaster,Effect Monster,1500,1300
70800,V Salamander,V Salamander,https://tcgplayer-cdn.tcgplayer.com/product/70800_200w.jpg,2,1142,https://cpt.tcgcsv.com/0lB,2025-02-20T13:47:57.113,1,,0.13,0.26,1.44,0.24,,1st Edition,"When this card is Normal Summoned: You can target 1 ""Utopia"" monster in your Graveyard; Special Summon that target. You can target 1 ""Number C39: Utopia Ray V"" you control; equip this monster you control to that target. Once per turn, while this card is equipped to a monster: You can detach 1 Xyz Material from the equipped monster; negate the equipped monster's effects (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, destroy all monsters your opponent controls, and if you do that, inflict 1000 damage to your opponent for each monster destroyed by this effect.",JOTL-EN002,Rare,FIRE,Spellcaster,Effect Monster,1500,1300
70801,Interceptomato,Interceptomato,https://tcgplayer-cdn.tcgplayer.com/product/70801_200w.jpg,2,1142,https://cpt.tcgcsv.com/2lB,2025-02-20T13:47:57.143,1,,0.01,0.2,1.99,0.1,,Unlimited,"During your opponent's turn: You can banish this card from your Graveyard; this turn, any effect damage you take becomes 0 (this is a Quick Effect).",JOTL-EN003,Common,EARTH,Plant,Effect Monster,800,800
70801,Interceptomato,Interceptomato,https://tcgplayer-cdn.tcgplayer.com/product/70801_200w.jpg,2,1142,https://cpt.tcgcsv.com/2lB,2025-02-20T13:47:57.143,1,,0.01,0.25,1.49,0.26,,1st Edition,"During your opponent's turn: You can banish this card from your Graveyard; this turn, any effect damage you take becomes 0 (this is a Quick Effect).",JOTL-EN003,Common,EARTH,Plant,Effect Monster,800,800
70802,Spell Recycler,Spell Recycler,https://tcgplayer-cdn.tcgplayer.com/product/70802_200w.jpg,2,1142,https://cpt.tcgcsv.com/3lB,2025-02-20T13:47:57.19,1,,0.01,0.19,1.0,0.14,,Unlimited,"When an opponent's monster declares an attack: You can banish this card from your Graveyard, then target 1 Spell Card in your Graveyard; send the top card of your Deck to the Graveyard, and if you do, return the target to the bottom of your Deck.",JOTL-EN004,Common,DARK,Spellcaster,Effect Monster,0,0
70802,Spell Recycler,Spell Recycler,https://tcgplayer-cdn.tcgplayer.com/product/70802_200w.jpg,2,1142,https://cpt.tcgcsv.com/3lB,2025-02-20T13:47:57.19,1,,0.03,0.21,1.34,0.15,,1st Edition,"When an opponent's monster declares an attack: You can banish this card from your Graveyard, then target 1 Spell Card in your Graveyard; send the top card of your Deck to the Graveyard, and if you do, return the target to the bottom of your Deck.",JOTL-EN004,Common,DARK,Spellcaster,Effect Monster,0,0
70803,Xyz Agent,Xyz Agent,https://tcgplayer-cdn.tcgplayer.com/product/70803_200w.jpg,2,1142,https://cpt.tcgcsv.com/5lB,2025-02-20T13:47:57.237,1,,0.01,0.15,1.32,0.06,,Unlimited,"If this card is in your Graveyard: You can target 1 ""Utopia"" Xyz Monster you control; attach this card from the Graveyard to it as an Xyz Material. You can only use the effect of ""Xyz Agent"" once per Duel.",JOTL-EN005,Common,LIGHT,Spellcaster,Effect Monster,900,900
70803,Xyz Agent,Xyz Agent,https://tcgplayer-cdn.tcgplayer.com/product/70803_200w.jpg,2,1142,https://cpt.tcgcsv.com/5lB,2025-02-20T13:47:57.237,1,,0.03,0.2,6.35,0.07,,1st Edition,"If this card is in your Graveyard: You can target 1 ""Utopia"" Xyz Monster you control; attach this card from the Graveyard to it as an Xyz Material. You can only use the effect of ""Xyz Agent"" once per Duel.",JOTL-EN005,Common,LIGHT,Spellcaster,Effect Monster,900,900
70804,Super Defense Robot Lio,Super Defense Robot Lio,https://tcgplayer-cdn.tcgplayer.com/product/70804_200w.jpg,2,1142,https://cpt.tcgcsv.com/6lB,2025-02-20T13:47:57.27,1,,0.02,0.18,1.49,0.18,,Unlimited,"When this card is Normal Summoned: You can Special Summon 1 ""Super Defense Robot"" monster or ""Orbital 7"" from your hand. Once per turn, when exactly 1 ""Super Defense Robot"" monster or ""Orbital 7"" (and no other cards) is added from your Graveyard to your hand (except during the Damage Step): You can Special Summon it from your hand.",JOTL-EN006,Common,EARTH,Machine,Effect Monster,1200,1600
70804,Super Defense Robot Lio,Super Defense Robot Lio,https://tcgplayer-cdn.tcgplayer.com/product/70804_200w.jpg,2,1142,https://cpt.tcgcsv.com/6lB,2025-02-20T13:47:57.27,1,,0.03,0.2,1.49,0.12,,1st Edition,"When this card is Normal Summoned: You can Special Summon 1 ""Super Defense Robot"" monster or ""Orbital 7"" from your hand. Once per turn, when exactly 1 ""Super Defense Robot"" monster or ""Orbital 7"" (and no other cards) is added from your Graveyard to your hand (except during the Damage Step): You can Special Summon it from your hand.",JOTL-EN006,Common,EARTH,Machine,Effect Monster,1200,1600
