productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extMonsterType
129555,Dinosmasher's Fury Structure Deck [1st Edition],Dinosmashers Fury Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/129555_200w.jpg,2,1911,https://cpt.tcgcsv.com/7R22,2021-10-18T13:23:20.07,1,"Each Structure Deck comes with a 41-card Main Deck and 1 Token Card for a total of 42 cards.
<br>
Each Dinosmasher’s Fury Structure Deck contains:
<br><br>
36 Commons, 3 Super Rares, 2 Ultra Rares, 1 Jurraegg Token, 1 Beginner’s Guide, 1 Double-sided Deluxe Game Mat/Dueling Guide.",100.0,100.0,100.0,51.39,,Normal,,,,,,,
130109,Token: Jurraegg,Token Jurraegg,https://tcgplayer-cdn.tcgplayer.com/product/130109_200w.jpg,2,1911,https://cpt.tcgcsv.com/c332,2021-12-20T08:33:50.563,1,"This card can be used as a ""Juraegg Token"".
<br>
<br>
<br>*If used for another Token, apply that Token's Type/Attribute/Level/ATK/DEF.",0.5,0.97,2.17,1.03,1.77,1st Edition,SR04-ENTKN,Common,EARTH,Token Monster,0,0,
130109,Token: Jurraegg,Token Jurraegg,https://tcgplayer-cdn.tcgplayer.com/product/130109_200w.jpg,2,1911,https://cpt.tcgcsv.com/c332,2021-12-20T08:33:50.563,1,"This card can be used as a ""Juraegg Token"".
<br>
<br>
<br>*If used for another Token, apply that Token's Type/Attribute/Level/ATK/DEF.",0.28,0.83,4.98,0.79,0.91,Unlimited,SR04-ENTKN,Common,EARTH,Token Monster,0,0,
130110,Petiteranodon,Petiteranodon,https://tcgplayer-cdn.tcgplayer.com/product/130110_200w.jpg,2,1911,https://cpt.tcgcsv.com/d332,2023-07-15T12:16:16.883,1,"If this card is destroyed by a card effect and sent to the Graveyard: Special Summon 1 Level 4 or higher Dinosaur-Type monster from your Deck, but it cannot attack this turn.",0.21,0.75,4.32,0.47,,Unlimited,SR04-EN000,Ultra Rare,EARTH,Effect Monster,500,500,Dinosaur
130110,Petiteranodon,Petiteranodon,https://tcgplayer-cdn.tcgplayer.com/product/130110_200w.jpg,2,1911,https://cpt.tcgcsv.com/d332,2023-07-15T12:16:16.883,1,"If this card is destroyed by a card effect and sent to the Graveyard: Special Summon 1 Level 4 or higher Dinosaur-Type monster from your Deck, but it cannot attack this turn.",0.25,0.92,6.0,0.69,,1st Edition,SR04-EN000,Ultra Rare,EARTH,Effect Monster,500,500,Dinosaur
130111,Ultimate Conductor Tyranno,Ultimate Conductor Tyranno,https://tcgplayer-cdn.tcgplayer.com/product/130111_200w.jpg,2,1911,https://cpt.tcgcsv.com/f332,2023-04-07T14:21:11.707,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 Dinosaur-Type monsters from your Graveyard. Once per turn, during either player's Main Phase: You can destroy 1 monster in your hand or field, and if you do, change all face-up monsters your opponent controls to face-down Defense Position. This card can attack all monsters your opponent controls, once each. At the start of the Damage Step, if this card attacks a Defense Position monster: You can inflict 1000 damage to your opponent, and if you do, send that Defense Position monster to the Graveyard.",0.15,0.68,4.99,0.42,,Unlimited,SR04-EN001,Ultra Rare,LIGHT,Effect Monster,3500,3200,Dinosaur
130111,Ultimate Conductor Tyranno,Ultimate Conductor Tyranno,https://tcgplayer-cdn.tcgplayer.com/product/130111_200w.jpg,2,1911,https://cpt.tcgcsv.com/f332,2023-04-07T14:21:11.707,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 Dinosaur-Type monsters from your Graveyard. Once per turn, during either player's Main Phase: You can destroy 1 monster in your hand or field, and if you do, change all face-up monsters your opponent controls to face-down Defense Position. This card can attack all monsters your opponent controls, once each. At the start of the Damage Step, if this card attacks a Defense Position monster: You can inflict 1000 damage to your opponent, and if you do, send that Defense Position monster to the Graveyard.",0.25,0.72,3.99,0.6,,1st Edition,SR04-EN001,Ultra Rare,LIGHT,Effect Monster,3500,3200,Dinosaur
130112,Souleating Oviraptor,Souleating Oviraptor,https://tcgplayer-cdn.tcgplayer.com/product/130112_200w.jpg,2,1911,https://cpt.tcgcsv.com/g332,2025-05-15T20:23:50.3,1,"If this card is Normal or Special Summoned: You can take 1 Dinosaur-Type monster from your Deck, and either add it to your hand or send it to the Graveyard. You can target 1 other Level 4 or lower Dinosaur-Type monster on the field; destroy it, then Special Summon 1 Dinosaur-Type monster from your Graveyard in Defense Position. You can only use each effect of ""Souleating Oviraptor"" once per turn.",0.3,0.99,7.99,0.5,,1st Edition,SR04-EN002,Super Rare,DARK,Effect Monster,1800,500,Dinosaur
130112,Souleating Oviraptor,Souleating Oviraptor,https://tcgplayer-cdn.tcgplayer.com/product/130112_200w.jpg,2,1911,https://cpt.tcgcsv.com/g332,2025-05-15T20:23:50.3,1,"If this card is Normal or Special Summoned: You can take 1 Dinosaur-Type monster from your Deck, and either add it to your hand or send it to the Graveyard. You can target 1 other Level 4 or lower Dinosaur-Type monster on the field; destroy it, then Special Summon 1 Dinosaur-Type monster from your Graveyard in Defense Position. You can only use each effect of ""Souleating Oviraptor"" once per turn.",0.23,0.69,8.94,0.43,,Unlimited,SR04-EN002,Super Rare,DARK,Effect Monster,1800,500,Dinosaur
130113,Megalosmasher X,Megalosmasher X,https://tcgplayer-cdn.tcgplayer.com/product/130113_200w.jpg,2,1911,https://cpt.tcgcsv.com/h332,2025-01-30T14:33:16.56,1,"<i>With its sound-baffling armor and gargantuan jaws, this primeval predator's phosphorescence was the only possible pardon for its primitive prey.",0.19,0.99,4.0,1.14,4.0,Unlimited,SR04-EN003,Common,WATER,Normal Monster,2000,0,Dinosaur
