productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extDescription
81303,Token: Sheep (Blue),Token Sheep Blue,https://tcgplayer-cdn.tcgplayer.com/product/81303_200w.jpg,2,1322,https://cpt.tcgcsv.com/5xG,2023-02-15T14:36:18.313,1,TKN1-EN001,Common,2.89,6.02,15.0,4.62,,Unlimited,,
81304,Token: Scapegoat (Yellow),Token Scapegoat Yellow,https://tcgplayer-cdn.tcgplayer.com/product/81304_200w.jpg,2,1322,https://cpt.tcgcsv.com/6xG,2022-04-28T13:20:02.863,1,TKN1-EN002,Common,3.25,6.37,14.99,4.09,,Unlimited,,
81305,Token: Scapegoat (Orange),Token Scapegoat Orange,https://tcgplayer-cdn.tcgplayer.com/product/81305_200w.jpg,2,1322,https://cpt.tcgcsv.com/7xG,2022-04-28T13:19:48.167,1,TKN1-EN003,Common,4.45,6.0,14.99,4.74,,Unlimited,,
81306,Token: Scapegoat (Red),Token Scapegoat Red,https://tcgplayer-cdn.tcgplayer.com/product/81306_200w.jpg,2,1322,https://cpt.tcgcsv.com/8xG,2021-07-23T18:12:57.01,1,TKN1-EN004,Common,3.35,8.48,17.99,3.83,,Unlimited,,
81307,Token: Grinder Golem,Token Grinder Golem,https://tcgplayer-cdn.tcgplayer.com/product/81307_200w.jpg,2,1322,https://cpt.tcgcsv.com/9xG,2021-07-23T18:14:18.36,1,TKN3-EN001,Common,0.15,0.61,4.99,0.33,,Unlimited,,
81308,Token: Phantom Skyblaster,Token Phantom Skyblaster,https://tcgplayer-cdn.tcgplayer.com/product/81308_200w.jpg,2,1322,https://cpt.tcgcsv.com/bxG,2021-07-23T18:14:38.657,1,TKN3-EN002,Common,0.23,0.64,19.99,0.45,,Unlimited,,
81309,Token: Arcana Force XVIII Moon,Token Arcana Force XVIII Moon,https://tcgplayer-cdn.tcgplayer.com/product/81309_200w.jpg,2,1322,https://cpt.tcgcsv.com/cxG,2021-07-23T18:15:04.843,1,TKN3-EN003,Common,0.2,0.5,1.99,0.42,,Unlimited,,
81310,Token: Regenerating Rose,Token Regenerating Rose,https://tcgplayer-cdn.tcgplayer.com/product/81310_200w.jpg,2,1322,https://cpt.tcgcsv.com/dxG,2021-07-23T18:17:23.61,1,TKN3-EN004,Common,0.75,1.13,4.0,1.16,,Unlimited,,
81311,Token: Sinister Seeds,Token Sinister Seeds,https://tcgplayer-cdn.tcgplayer.com/product/81311_200w.jpg,2,1322,https://cpt.tcgcsv.com/fxG,2021-07-23T18:17:12.863,1,TKN3-EN005,Common,0.3,0.65,9.99,0.66,,Unlimited,,
81312,Token: Destiny Hero - Double Dude,Token Destiny Hero Double Dude,https://tcgplayer-cdn.tcgplayer.com/product/81312_200w.jpg,2,1322,https://cpt.tcgcsv.com/gxG,2021-07-23T18:17:38.54,1,TKN3-EN006,Common,0.2,0.6,1.99,0.52,,Unlimited,,
81313,"Token: Raviel, Lord of Phantasms",Token Raviel Lord of Phantasms,https://tcgplayer-cdn.tcgplayer.com/product/81313_200w.jpg,2,1322,https://cpt.tcgcsv.com/hxG,2021-07-23T18:18:17.853,1,TKN3-EN007,Common,1.79,3.49,29.99,2.61,,Unlimited,,
81314,Token: Stray Lambs,Token Stray Lambs,https://tcgplayer-cdn.tcgplayer.com/product/81314_200w.jpg,2,1322,https://cpt.tcgcsv.com/jxG,2021-07-23T18:18:30.79,1,TKN3-EN008,Common,15.0,17.5,19.99,10.24,,Unlimited,,
