productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extDescription,extMonsterType,extAttack,extDefense
127066,Raging Tempest Booster Box,Raging Tempest Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/127066_200w.jpg,2,1880,https://cpt.tcgcsv.com/lR02,2017-02-10T13:20:16.98,1,48.0,74.74,94.95,53.2,,Normal,,,,,,,,
127067,Raging Tempest Booster Pack,Raging Tempest Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/127067_200w.jpg,2,1880,https://cpt.tcgcsv.com/mR02,2017-01-19T19:31:46.47,1,3.21,4.79,10.0,3.41,,Normal,,,,,,,,
127243,Fusion Recycling Plant,Fusion Recycling Plant,https://tcgplayer-cdn.tcgplayer.com/product/127243_200w.jpg,2,1880,https://cpt.tcgcsv.com/TV02,2025-05-15T20:01:56.783,1,0.1,0.3,1.5,0.22,,Unlimited,RATE-EN000,Rare,SPELL,Field Spell,"Once per turn: You can discard 1 card; add 1 ""Polymerization"" from your Deck or Graveyard to your hand. Once per turn, during the End Phase: You can target 1 monster in your Graveyard that was used as a Fusion Material for a Fusion Summon this turn; add it to your hand.",,,
127243,Fusion Recycling Plant,Fusion Recycling Plant,https://tcgplayer-cdn.tcgplayer.com/product/127243_200w.jpg,2,1880,https://cpt.tcgcsv.com/TV02,2025-05-15T20:01:56.783,1,0.05,0.34,1.49,0.15,,1st Edition,RATE-EN000,Rare,SPELL,Field Spell,"Once per turn: You can discard 1 card; add 1 ""Polymerization"" from your Deck or Graveyard to your hand. Once per turn, during the End Phase: You can target 1 monster in your Graveyard that was used as a Fusion Material for a Fusion Summon this turn; add it to your hand.",,,
127245,Dragoncaller Magician,Dragoncaller Magician,https://tcgplayer-cdn.tcgplayer.com/product/127245_200w.jpg,2,1880,https://cpt.tcgcsv.com/WV02,2025-05-15T20:01:56.847,1,0.1,0.46,1.98,0.2,,Unlimited,RATE-EN001,Super Rare,DARK,Pendulum/Effect Monster,"<b>Pendulum Effect:</b> Once per turn: You can target 1 face-up monster on the field; it becomes Dragon-Type until the end of your opponent's turn (even if this card leaves the field).<br>
<b>Monster Effect:</b> Once per turn: You can make this card become Dragon-Type until the end of this turn. A monster that was Fusion, Synchro, or Xyz Summoned using this card on the field as Material gains this effect.<br>
<b>-</b> If this card battles a Dragon-Type monster, this card's ATK becomes double its original ATK during the Damage Step only.",Spellcaster,2400,1000
127245,Dragoncaller Magician,Dragoncaller Magician,https://tcgplayer-cdn.tcgplayer.com/product/127245_200w.jpg,2,1880,https://cpt.tcgcsv.com/WV02,2025-05-15T20:01:56.847,1,0.08,0.37,9.99,0.18,,1st Edition,RATE-EN001,Super Rare,DARK,Pendulum/Effect Monster,"<b>Pendulum Effect:</b> Once per turn: You can target 1 face-up monster on the field; it becomes Dragon-Type until the end of your opponent's turn (even if this card leaves the field).<br>
<b>Monster Effect:</b> Once per turn: You can make this card become Dragon-Type until the end of this turn. A monster that was Fusion, Synchro, or Xyz Summoned using this card on the field as Material gains this effect.<br>
<b>-</b> If this card battles a Dragon-Type monster, this card's ATK becomes double its original ATK during the Damage Step only.",Spellcaster,2400,1000
127247,Performapal Handstandaccoon,Performapal Handstandaccoon,https://tcgplayer-cdn.tcgplayer.com/product/127247_200w.jpg,2,1880,https://cpt.tcgcsv.com/ZV02,2017-03-17T14:17:46.053,1,0.01,0.2,0.94,0.07,,Unlimited,RATE-EN002,Common,EARTH,Pendulum/Effect Monster,"<b>Pendulum Effect:</b> You can target 1 ""Performapal"" card you control; return it to the hand, but for the rest of this turn, your cards with the same name as the one returned to the hand by by this effect, and their effects, cannot be activated (even if this card leaves the field). You can only use this effect of ""Performapal Handstandaccoon"" once per turn.<br>
<b>Monster Effect:</b> When this card is destroyed by battle: You can target 1 card on the field; return it to the hand.",,400,600
127247,Performapal Handstandaccoon,Performapal Handstandaccoon,https://tcgplayer-cdn.tcgplayer.com/product/127247_200w.jpg,2,1880,https://cpt.tcgcsv.com/ZV02,2017-03-17T14:17:46.053,1,0.03,0.2,1.49,0.14,,1st Edition,RATE-EN002,Common,EARTH,Pendulum/Effect Monster,"<b>Pendulum Effect:</b> You can target 1 ""Performapal"" card you control; return it to the hand, but for the rest of this turn, your cards with the same name as the one returned to the hand by by this effect, and their effects, cannot be activated (even if this card leaves the field). You can only use this effect of ""Performapal Handstandaccoon"" once per turn.<br>
<b>Monster Effect:</b> When this card is destroyed by battle: You can target 1 card on the field; return it to the hand.",,400,600
127249,Performapal Dag Daggerman,Performapal Dag Daggerman,https://tcgplayer-cdn.tcgplayer.com/product/127249_200w.jpg,2,1880,https://cpt.tcgcsv.com/_V02,2017-03-17T14:18:06.233,1,0.24,0.49,2.99,0.32,,1st Edition,RATE-EN003,Ultra Rare,EARTH,Pendulum/Effect Monster,"<b>Pendulum Effect:</b> During your Main Phase, if this card was activated this turn: You can target 1 ""Performapal"" monster in your Graveyard; add it to your hand. You can only use this effect of ""Performapal Dag Daggerman"" once per turn.<br>
<b>Monster Effect:</b> During your Main Phase, if this card was Pendulum Summoned this turn: You can send 1 ""Performapal"" monster from your hand to the Graveyard; draw 1 card. You can only use this effect of ""Performapal Dag Daggerman"" once per turn.",,2000,600
127249,Performapal Dag Daggerman,Performapal Dag Daggerman,https://tcgplayer-cdn.tcgplayer.com/product/127249_200w.jpg,2,1880,https://cpt.tcgcsv.com/_V02,2017-03-17T14:18:06.233,1,0.2,0.76,2.98,0.22,,Unlimited,RATE-EN003,Ultra Rare,EARTH,Pendulum/Effect Monster,"<b>Pendulum Effect:</b> During your Main Phase, if this card was activated this turn: You can target 1 ""Performapal"" monster in your Graveyard; add it to your hand. You can only use this effect of ""Performapal Dag Daggerman"" once per turn.<br>
<b>Monster Effect:</b> During your Main Phase, if this card was Pendulum Summoned this turn: You can send 1 ""Performapal"" monster from your hand to the Graveyard; draw 1 card. You can only use this effect of ""Performapal Dag Daggerman"" once per turn.",,2000,600
