productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extDescription,extMonsterType,extAttack,extDefense
123984,Invasion: Vengeance Booster Box,Invasion Vengeance Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/123984_200w.jpg,2,1849,https://cpt.tcgcsv.com/JC_,2016-11-04T12:39:54.22,1,99.99,119.72,201.5,109.99,,Normal,,,,,,,,
124698,Space Dragster,Space Dragster,https://tcgplayer-cdn.tcgplayer.com/product/124698_200w.jpg,2,1849,https://cpt.tcgcsv.com/-T_,2016-12-09T13:18:29.217,1,0.03,0.25,1.7,0.2,,1st Edition,INOV-EN000,Rare,TRAP,Continuous Trap,"Special Summon this card as an Effect Monster (Machine-Type/Tuner/FIRE/Level 1/ATK 0/DEF 1800). (This card is also still a Trap Card.) If Summoned this way, other Tuners you control cannot be destroyed by battle or your opponent's card effects while this card is in the Monster Zone.",,,
124698,Space Dragster,Space Dragster,https://tcgplayer-cdn.tcgplayer.com/product/124698_200w.jpg,2,1849,https://cpt.tcgcsv.com/-T_,2016-12-09T13:18:29.217,1,0.05,0.25,1.49,0.16,,Unlimited,INOV-EN000,Rare,TRAP,Continuous Trap,"Special Summon this card as an Effect Monster (Machine-Type/Tuner/FIRE/Level 1/ATK 0/DEF 1800). (This card is also still a Trap Card.) If Summoned this way, other Tuners you control cannot be destroyed by battle or your opponent's card effects while this card is in the Monster Zone.",,,
124699,Dragon Core Hexer,Dragon Core Hexer,https://tcgplayer-cdn.tcgplayer.com/product/124699_200w.jpg,2,1849,https://cpt.tcgcsv.com/_T_,2023-03-01T13:36:32.52,1,0.29,0.54,1.6,0.49,,1st Edition,INOV-EN001,Rare,DARK,Tuner Monster,"<em>Many years of dragonslaying have bathed this huntress in countless amounts of blood. Each drop gave her more power, but a terrible price, as her cursed body now spreads the dragontaint like an epidemic. No village will take her in, and she no longer even remembers what inspired her crusade in the first place.",Dragon,2300,300
124699,Dragon Core Hexer,Dragon Core Hexer,https://tcgplayer-cdn.tcgplayer.com/product/124699_200w.jpg,2,1849,https://cpt.tcgcsv.com/_T_,2023-03-01T13:36:32.52,1,0.34,0.74,1.65,0.57,,Unlimited,INOV-EN001,Rare,DARK,Tuner Monster,"<em>Many years of dragonslaying have bathed this huntress in countless amounts of blood. Each drop gave her more power, but a terrible price, as her cursed body now spreads the dragontaint like an epidemic. No village will take her in, and she no longer even remembers what inspired her crusade in the first place.",Dragon,2300,300
124700,Performapal Whim Witch,Performapal Whim Witch,https://tcgplayer-cdn.tcgplayer.com/product/124700_200w.jpg,2,1849,https://cpt.tcgcsv.com/0V_,2016-12-09T13:18:52.273,1,0.05,0.25,1.0,0.15,,1st Edition,INOV-EN002,Rare,DARK,Pendulum/Effect Monster,"<b>Pendulum Effect :</b> If your opponent controls a face-up monster that was Special Summoned from the Extra Deck and you do not: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Performapal Whim Witch"" once per turn.
<br><b>Monster Effect :</b> This card can be treated as 2 Tributes for the Tribute Summon of a Pendulum Monster.",Spellcaster,800,800
124700,Performapal Whim Witch,Performapal Whim Witch,https://tcgplayer-cdn.tcgplayer.com/product/124700_200w.jpg,2,1849,https://cpt.tcgcsv.com/0V_,2016-12-09T13:18:52.273,1,0.1,0.25,1.0,0.23,,Unlimited,INOV-EN002,Rare,DARK,Pendulum/Effect Monster,"<b>Pendulum Effect :</b> If your opponent controls a face-up monster that was Special Summoned from the Extra Deck and you do not: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Performapal Whim Witch"" once per turn.
<br><b>Monster Effect :</b> This card can be treated as 2 Tributes for the Tribute Summon of a Pendulum Monster.",Spellcaster,800,800
124701,Performapal Flip Hippo,Performapal Flip Hippo,https://tcgplayer-cdn.tcgplayer.com/product/124701_200w.jpg,2,1849,https://cpt.tcgcsv.com/2V_,2016-12-09T13:19:05.223,1,0.05,0.22,1.49,0.12,0.11,Unlimited,INOV-EN003,Common,EARTH,Effect Monster,"When this card is Normal Summoned: You can Special Summon 1 ""Performapal"" monster from your hand, but it has its effects negated until the end of this turn. Once per turn: You can change all monsters you control to Defense Position.",,800,800
124701,Performapal Flip Hippo,Performapal Flip Hippo,https://tcgplayer-cdn.tcgplayer.com/product/124701_200w.jpg,2,1849,https://cpt.tcgcsv.com/2V_,2016-12-09T13:19:05.223,1,0.01,0.2,1.49,0.1,,1st Edition,INOV-EN003,Common,EARTH,Effect Monster,"When this card is Normal Summoned: You can Special Summon 1 ""Performapal"" monster from your hand, but it has its effects negated until the end of this turn. Once per turn: You can change all monsters you control to Defense Position.",,800,800
124702,Performapal Seal Eel,Performapal Seal Eel,https://tcgplayer-cdn.tcgplayer.com/product/124702_200w.jpg,2,1849,https://cpt.tcgcsv.com/3V_,2016-12-09T13:19:21.87,1,0.01,0.21,1.49,0.21,,1st Edition,INOV-EN004,Common,WATER,Pendulum/Effect Monster,"<B>Pendulum Effect :</b> Once per turn: You can target 1 face-up monster your opponent controls; that face-up monster has its effects negated until the end of this turn (even if this card leaves the field).
<br><b>Monster Effect :</b> When this card is Normal or Special Summoned: You can target 1 Set Spell/Trap Card your opponent controls; that Set card cannot be activated this turn. Neither player can activate cards or effects in response to this effect's activation.",Fish,100,100
