productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,extUPC
108153,King of Games: Yugi's Legendary Decks Collector's Set [2015 1st Edition],King of Games Yugis Legendary Decks Collectors Set 2015 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/108153_200w.jpg,2,1672,https://cpt.tcgcsv.com/5hT,2019-11-26T20:50:24.143,1,271.18,287.99,299.95,200.0,,Normal,,,,,,,,,
108203,Black Luster Soldier,Black Luster Soldier,https://tcgplayer-cdn.tcgplayer.com/product/108203_200w.jpg,2,1672,https://cpt.tcgcsv.com/5jT,2023-01-11T19:21:08.733,1,0.56,0.91,4.99,0.92,,1st Edition,YGLD-ENA01,Common,EARTH,Warrior,Ritual Monster,3000,2500,"You can Ritual Summon this card with ""Black Luster Ritual"".",
108203,Black Luster Soldier,Black Luster Soldier,https://tcgplayer-cdn.tcgplayer.com/product/108203_200w.jpg,2,1672,https://cpt.tcgcsv.com/5jT,2023-01-11T19:21:08.733,1,0.55,0.85,2.99,1.0,,Unlimited,YGLD-ENA01,Common,EARTH,Warrior,Ritual Monster,3000,2500,"You can Ritual Summon this card with ""Black Luster Ritual"".",
108204,Black Luster Soldier - Envoy of the Beginning,Black Luster Soldier Envoy of the Beginning,https://tcgplayer-cdn.tcgplayer.com/product/108204_200w.jpg,2,1672,https://cpt.tcgcsv.com/6jT,2025-04-17T18:14:50.74,1,0.2,0.64,1.98,0.57,,Unlimited,YGLD-ENA02,Common,LIGHT,Warrior,Effect Monster,3000,2500,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your Graveyard. Once per turn, you can activate 1 of these effects.
<br><b>-</b> Target 1 monster on the field; banish that target face-up. This card cannot attack the turn you activate this effect.
<br><b>-</b> If this attacking card destroys an opponent's monster by battle, after damage calculation: It can make a second attack in a row.",
108204,Black Luster Soldier - Envoy of the Beginning,Black Luster Soldier Envoy of the Beginning,https://tcgplayer-cdn.tcgplayer.com/product/108204_200w.jpg,2,1672,https://cpt.tcgcsv.com/6jT,2025-04-17T18:14:50.74,1,0.24,0.5,99.0,0.43,,1st Edition,YGLD-ENA02,Common,LIGHT,Warrior,Effect Monster,3000,2500,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your Graveyard. Once per turn, you can activate 1 of these effects.
<br><b>-</b> Target 1 monster on the field; banish that target face-up. This card cannot attack the turn you activate this effect.
<br><b>-</b> If this attacking card destroys an opponent's monster by battle, after damage calculation: It can make a second attack in a row.",
108205,Dark Magician (A),Dark Magician A,https://tcgplayer-cdn.tcgplayer.com/product/108205_200w.jpg,2,1672,https://cpt.tcgcsv.com/7jT,2025-04-17T18:15:22.673,1,0.42,1.11,3.66,1.38,,1st Edition,YGLD-ENA03,Common,DARK,Spellcaster,Normal Monster,2500,2100,<em>The ultimate wizard in terms of attack and defense.</em>,
108205,Dark Magician (A),Dark Magician A,https://tcgplayer-cdn.tcgplayer.com/product/108205_200w.jpg,2,1672,https://cpt.tcgcsv.com/7jT,2025-04-17T18:15:22.673,1,0.35,0.82,5.0,0.72,,Unlimited,YGLD-ENA03,Common,DARK,Spellcaster,Normal Monster,2500,2100,<em>The ultimate wizard in terms of attack and defense.</em>,
108206,Dark Magician Girl (A),Dark Magician Girl A,https://tcgplayer-cdn.tcgplayer.com/product/108206_200w.jpg,2,1672,https://cpt.tcgcsv.com/8jT,2018-09-27T14:30:46.157,1,0.1,0.45,5.0,0.34,,Unlimited,YGLD-ENA04,Common,DARK,Spellcaster,Effect Monster,2000,1700,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",
108206,Dark Magician Girl (A),Dark Magician Girl A,https://tcgplayer-cdn.tcgplayer.com/product/108206_200w.jpg,2,1672,https://cpt.tcgcsv.com/8jT,2018-09-27T14:30:46.157,1,0.2,0.49,2.85,0.48,,1st Edition,YGLD-ENA04,Common,DARK,Spellcaster,Effect Monster,2000,1700,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",
108207,Gaia The Fierce Knight,Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/108207_200w.jpg,2,1672,https://cpt.tcgcsv.com/9jT,2025-04-17T18:29:08.113,1,0.1,0.33,1.98,0.3,,1st Edition,YGLD-ENA05,Common,EARTH,Warrior,Normal Monster,2300,2100,<em>A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.</em>,
108207,Gaia The Fierce Knight,Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/108207_200w.jpg,2,1672,https://cpt.tcgcsv.com/9jT,2025-04-17T18:29:08.113,1,0.08,0.41,1.53,0.43,0.67,Unlimited,YGLD-ENA05,Common,EARTH,Warrior,Normal Monster,2300,2100,<em>A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.</em>,
