productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttribute,extCardType,extAttack,extDefense,extMonsterType,extUPC
28967,Imperial Iron Wall,Imperial Iron Wall SDZW EN032,https://tcgplayer-cdn.tcgplayer.com/product/28967_200w.jpg,2,324,https://cpt.tcgcsv.com/mCf,2013-05-09T12:13:41.653,1,SDZW-EN032,Common,Cards cannot be removed from play.,0.13,0.47,3.65,0.45,,1st Edition,,,,,,
32819,Book of Life,Book of Life,https://tcgplayer-cdn.tcgplayer.com/product/32819_200w.jpg,2,324,https://cpt.tcgcsv.com/p8h,2013-05-09T12:13:41.653,1,SDZW-EN023,Common,Special Summon 1 Zombie-Type monster from your Graveyard and remove from play 1 monster from your opponent's Graveyard.,0.3,0.56,2.39,0.55,,1st Edition,SPELL,Normal Spell,0,0,,
32820,Bottomless Trap Hole,Bottomless Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/32820_200w.jpg,2,324,https://cpt.tcgcsv.com/q8h,2016-05-09T12:36:34.617,1,SDZW-EN034,Common,"When your opponent Summons a monster(s) with 1500 or more ATK, destroy and remove from play the monster(s).",0.22,0.5,3.68,0.37,,1st Edition,TRAP,Normal Trap,,,,
32821,Call of the Mummy,Call of the Mummy,https://tcgplayer-cdn.tcgplayer.com/product/32821_200w.jpg,2,324,https://cpt.tcgcsv.com/r8h,2013-05-09T12:13:41.653,1,SDZW-EN024,Common,"Once per turn, if you control no monsters, you can Special Summon 1 Zombie-Type monster from your hand.",0.08,0.22,1.4,0.18,,1st Edition,SPELL,Normal Spell,0,0,,
32822,Card Destruction,Card Destruction,https://tcgplayer-cdn.tcgplayer.com/product/32822_200w.jpg,2,324,https://cpt.tcgcsv.com/s8h,2013-05-09T12:13:41.653,1,SDZW-EN031,Common,Each player discards their hand and draws the same number of cards they discarded.,0.22,0.4,1.56,0.33,,1st Edition,SPELL,Normal Spell,0,0,,
32823,Card of Safe Return,Card of Safe Return,https://tcgplayer-cdn.tcgplayer.com/product/32823_200w.jpg,2,324,https://cpt.tcgcsv.com/t8h,2013-05-09T12:13:41.653,1,SDZW-EN021,Common,"When a monster is Special Summoned to the field from your Graveyard, you can draw 1 card.",0.24,0.53,3.98,0.53,,1st Edition,SPELL,Normal Spell,0,0,,
32824,Cold Wave,Cold Wave,https://tcgplayer-cdn.tcgplayer.com/product/32824_200w.jpg,2,324,https://cpt.tcgcsv.com/v8h,2013-05-09T12:13:41.653,1,SDZW-EN019,Common,"This card can only be activated at the start of your Main Phase 1. Until your next turn, you and your opponent cannot play or Set any Spell or Trap Cards.",0.13,0.61,5.0,0.61,,1st Edition,SPELL,Normal Spell,0,0,,
32825,Creature Swap,Creature Swap,https://tcgplayer-cdn.tcgplayer.com/product/32825_200w.jpg,2,324,https://cpt.tcgcsv.com/w8h,2013-05-09T12:13:41.653,1,SDZW-EN022,Common,Each player selects 1 monster they control and switches control of those monsters with each other. Those monsters cannot change their battle positions for the rest of this turn.,0.1,0.34,1.53,0.33,,1st Edition,SPELL,Normal Spell,0,0,,
32826,Des Lacooda,Des Lacooda,https://tcgplayer-cdn.tcgplayer.com/product/32826_200w.jpg,2,324,https://cpt.tcgcsv.com/x8h,2013-05-09T12:13:41.653,1,SDZW-EN013,Common,"Once per turn,you can flip this card into face-down Defense Position. When this card is Flip Summoned, draw 1 card.",0.15,0.4,1.49,0.38,,1st Edition,Earth,Effect Monster,500,600,Zombie,
32827,Dust Tornado,Dust Tornado,https://tcgplayer-cdn.tcgplayer.com/product/32827_200w.jpg,2,324,https://cpt.tcgcsv.com/z8h,2013-05-09T12:13:41.653,1,SDZW-EN033,Common,Destroy 1 Spell or Trap Card your opponent controls. You can then Set 1 Spell or Trap Card from your hand.,0.2,0.58,1.98,0.58,,1st Edition,TRAP,Normal Trap,0,0,,
