productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
634447,Ain,Ain,https://tcgplayer-cdn.tcgplayer.com/product/634447_200w.jpg,68,24242,https://cpt.tcgcsv.com/ZN57,2025-06-10T18:22:22.117,1,C,OP11-002,"[On Play] Give up to 1 of your opponent's Characters 1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 0 power or less.",Red,Character,3,4000,FILM;Neo Navy,1000,Special,0.19,0.28,5.99,0.28,,Normal
634448,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/634448_200w.jpg,68,24242,https://cpt.tcgcsv.com/-N57,2025-06-10T18:22:33.523,1,UC,OP11-003,,Red,Character,5,6000,Straw Hat Crew,2000,Ranged,0.78,0.95,4.4,0.78,,Normal
634449,Smoker,Smoker,https://tcgplayer-cdn.tcgplayer.com/product/634449_200w.jpg,68,24242,https://cpt.tcgcsv.com/_N57,2025-06-10T18:23:19.513,1,C,OP11-005,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
<br>
[DON!! x1] This Character cannot be K.O.'d by effects of Characters without the (Special) attribute.",Red,Character,4,5000,Navy,1000,Special,0.1,0.53,8.99,0.44,,Normal
634450,Zephyr,Zephyr,https://tcgplayer-cdn.tcgplayer.com/product/634450_200w.jpg,68,24242,https://cpt.tcgcsv.com/0P57,2025-06-10T18:24:51.727,1,C,OP11-006,[DON!! x1] [When Attacking] Give up to 1 of your opponent's (Special) attribute Characters 5000 power during this turn.,Red,Character,5,6000,FILM;Neo Navy,1000,Strike,0.1,0.44,2.5,0.34,,Normal
634451,Tashigi,Tashigi,https://tcgplayer-cdn.tcgplayer.com/product/634451_200w.jpg,68,24242,https://cpt.tcgcsv.com/2P57,2025-06-10T18:25:01.97,1,C,OP11-007,"[Activate: Main] <strong>You may rest this Character:</strong> If your Leader has the ""Navy"" type, up to 1 of your ""Navy"" type Characters gains +2000 power during this turn.",Red,Character,1,1000,Navy,1000,Slash,0.18,0.51,4.25,0.42,,Normal
634452,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/634452_200w.jpg,68,24242,https://cpt.tcgcsv.com/3P57,2025-06-10T18:25:12.63,1,C,OP11-009,[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters 2000 power until the end of your opponent's next turn.,Red,Character,3,4000,Straw Hat Crew,1000,Strike,1.35,4.14,15.0,1.75,,Normal
634453,Bins,Bins,https://tcgplayer-cdn.tcgplayer.com/product/634453_200w.jpg,68,24242,https://cpt.tcgcsv.com/5P57,2025-06-10T18:25:22.063,1,C,OP11-011,,Red,Character,5,7000,FILM;Neo Navy,1000,Special,0.1,0.5,5.99,0.39,,Normal
634454,Franky,Franky,https://tcgplayer-cdn.tcgplayer.com/product/634454_200w.jpg,68,24242,https://cpt.tcgcsv.com/6P57,2025-06-10T18:25:33.557,1,UC,OP11-012,"[Your Turn] [Once Per Turn] When your opponent activates an Event, all of your Characters gain +2000 power during this turn.",Red,Character,4,4000,Navy;SWORD,2000,Strike,3.15,4.45,15.45,3.28,,Normal
634455,Mocha,Mocha,https://tcgplayer-cdn.tcgplayer.com/product/634455_200w.jpg,68,24242,https://cpt.tcgcsv.com/7P57,2025-06-10T18:25:43.803,1,C,OP11-015,,Red,Character,4,6000,Punk Hazard,1000,Wisdom,0.1,0.5,2.99,0.36,,Normal
634456,Roronoa Zoro,Roronoa Zoro,https://tcgplayer-cdn.tcgplayer.com/product/634456_200w.jpg,68,24242,https://cpt.tcgcsv.com/8P57,2025-06-10T18:25:53.277,1,UC,OP11-016,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,5,6000,Straw Hat Crew,1000,Slash,1.88,3.0,10.0,2.56,,Normal
634457,X.Drake,XDrake,https://tcgplayer-cdn.tcgplayer.com/product/634457_200w.jpg,68,24242,https://cpt.tcgcsv.com/9P57,2025-06-10T18:26:05.567,1,UC,OP11-017,,Red,Character,6,7000,Drake Pirates;Navy;SWORD,2000,Slash,5.7,6.48,7.79,3.88,,Normal
634458,Glorp Web!!,Glorp Web,https://tcgplayer-cdn.tcgplayer.com/product/634458_200w.jpg,68,24242,https://cpt.tcgcsv.com/bP57,2025-06-10T18:26:14.817,1,C,OP11-019,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if your opponent has a Character with 6000 power or more, up to 1 of your Leader or Character cards gains +1000 power during this turn.<br>
<br>
[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Red,Event,2,,Navy;SWORD,,,0.1,0.78,11.3,0.79,,Normal
634459,X Calibur,X Calibur,https://tcgplayer-cdn.tcgplayer.com/product/634459_200w.jpg,68,24242,https://cpt.tcgcsv.com/cP57,2025-06-10T18:26:23.487,1,UC,OP11-020,"[Main] Give up to 2 of your opponent's Characters 2000 power during this turn. Then, up to 1 of your ""Navy"" type Characters gains +1000 power during this turn.<br>
<br>
[Trigger] K.O. up to 1 of your opponent's Characters with 4000 power or less.",Red,Event,2,,Drake Pirates;Navy;SWORD,,,1.47,1.73,9.99,1.74,,Normal
634460,Aladine,Aladine,https://tcgplayer-cdn.tcgplayer.com/product/634460_200w.jpg,68,24242,https://cpt.tcgcsv.com/dP57,2025-06-10T18:26:32.31,1,C,OP11-024,"When this Character is K.O.'d by your opponent's effect, you may trash 1 card from your hand and rest 1 of your DON!! cards. If you do, play up to 1 ""Fish-Man"" or ""Merfolk"" type Character card with a cost of 6 or less from your hand.",Green,Character,4,5000,The Sun Pirates;Merfolk;Fish-Man Island,1000,Slash,0.25,0.6,16.46,0.59,,Normal
634461,Ishilly,Ishilly,https://tcgplayer-cdn.tcgplayer.com/product/634461_200w.jpg,68,24242,https://cpt.tcgcsv.com/fP57,2025-06-10T18:26:41.963,1,C,OP11-025,[On Your Opponent's Attack] [Once Per Turn] <strong>You may rest 1 of your DON!! cards and this Character:</strong> Up to 1 of your Leader or Character cards gains +1000 power during this battle.,Green,Character,2,,Merfolk;Fish-Man Island,1000,Wisdom,0.4,1.05,9.99,1.05,,Normal
634462,Scaled Neptunian,Scaled Neptunian,https://tcgplayer-cdn.tcgplayer.com/product/634462_200w.jpg,68,24242,https://cpt.tcgcsv.com/gP57,2025-06-10T18:27:06.223,1,C,OP11-026,,Green,Character,6,8000,Neptunian,1000,Strike,0.54,1.06,5.0,0.76,,Normal
634463,Bulge-Eyed Neptunian,Bulge Eyed Neptunian,https://tcgplayer-cdn.tcgplayer.com/product/634463_200w.jpg,68,24242,https://cpt.tcgcsv.com/hP57,2025-06-10T18:27:15.287,1,C,OP11-027,"If your Leader is [Shirahoshi], this Character can attack Characters on the turn in which it is played.",Green,Character,4,6000,Neptunian,,Strike,0.1,0.56,12.0,0.38,,Normal
634464,Charlotte Praline,Charlotte Praline,https://tcgplayer-cdn.tcgplayer.com/product/634464_200w.jpg,68,24242,https://cpt.tcgcsv.com/jP57,2025-06-10T18:27:24.43,1,UC,OP11-029,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
<br>
[On Play] Rest up to 1 of your opponent's Characters with a cost of 1 or less.",Green,Character,3,4000,The Sun Pirates;Merfolk;Fish-Man Island,1000,Wisdom,0.35,1.27,8.75,1.27,,Normal
634465,Surume,Surume,https://tcgplayer-cdn.tcgplayer.com/product/634465_200w.jpg,68,24242,https://cpt.tcgcsv.com/kP57,2025-06-10T18:27:33.47,1,UC,OP11-032,,Green,Character,5,6000,Animal;Fish-Man Island,2000,Strike,0.5,0.85,3.99,0.85,,Normal
634466,Bird Neptunian,Bird Neptunian,https://tcgplayer-cdn.tcgplayer.com/product/634466_200w.jpg,68,24242,https://cpt.tcgcsv.com/lP57,2025-06-10T18:27:46.797,1,UC,OP11-033,,Green,Character,6,7000,Neptunian,2000,Strike,7.9,15.49,34.99,2.81,,Normal
634467,Hatchan,Hatchan,https://tcgplayer-cdn.tcgplayer.com/product/634467_200w.jpg,68,24242,https://cpt.tcgcsv.com/mP57,2025-06-10T18:28:02.303,1,C,OP11-034,"[Activate: Main] <strong>You may rest this Character:</strong> If your Leader has the ""Fish-Man"" or ""Merfolk"" type, up to 1 of your opponent's Characters with a cost of 3 or less cannot be rested until the end of your opponent's next turn.",Green,Character,4,5000,Fish-Man;Former Arlong Pirates;Fish-Man Island,1000,Slash,0.3,0.57,2.5,0.54,,Normal
634468,Fisher Tiger,Fisher Tiger,https://tcgplayer-cdn.tcgplayer.com/product/634468_200w.jpg,68,24242,https://cpt.tcgcsv.com/nP57,2025-06-10T18:28:16.35,1,C,OP11-035,"When this Character is K.O.'d by your opponent's effect, you may rest 1 of your DON!! cards. If you do, play up to 1 ""Fish-Man"" or ""Merfolk"" type Character card with a cost of 4 or less from your hand.<br>
<br>
[On Play] Rest up to 1 of your opponent's Characters.",Green,Character,6,7000,Fish-Man;The Sun Pirates;Fish-Man Island,1000,Strike,0.35,0.7,5.0,0.56,,Normal
634469,Spotted Neptunian,Spotted Neptunian,https://tcgplayer-cdn.tcgplayer.com/product/634469_200w.jpg,68,24242,https://cpt.tcgcsv.com/pP57,2025-06-10T18:28:26.88,1,UC,OP11-036,"[On Play] If your Leader is ""Shirahoshi"", look at 5 cards from the top of your deck; reveal up to 1 ""Neptunian"" type card or ""Shirahoshi"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Green,Character,4,5000,Neptunian,1000,Strike,1.8,2.19,9.5,1.95,,Normal
634470,Ancient Weapon Poseidon,Ancient Weapon Poseidon,https://tcgplayer-cdn.tcgplayer.com/product/634470_200w.jpg,68,24242,https://cpt.tcgcsv.com/qP57,2025-06-10T18:28:35.703,1,UC,OP11-037,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 ""Neptunian"" or ""Fish-Man Island"" type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
<br>
[Trigger] Draw 1 card.",Green,Event,1,,Fish-Man Island,,,2.63,3.5,13.1,2.67,,Normal
634471,Vagabond Drill,Vagabond Drill,https://tcgplayer-cdn.tcgplayer.com/product/634471_200w.jpg,68,24242,https://cpt.tcgcsv.com/rP57,2025-06-10T18:28:44.753,1,C,OP11-039,"[Counter] Up to 1 of your ""Fish-Man"" or ""Merfolk"" type Leader or Character cards gains +3000 power during this battle. Then, rest up to 1 of your opponent's Characters with a cost of 3 or less.<br>
<br>
[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Green,Event,1,,Fish-Man;The Sun Pirates;Fish-Man Island,,,0.5,1.49,10.99,1.49,,Normal
634472,Vito,Vito,https://tcgplayer-cdn.tcgplayer.com/product/634472_200w.jpg,68,24242,https://cpt.tcgcsv.com/sP57,2025-06-10T18:28:57.097,1,C,OP11-042,"[On Play] <strong>You may trash 1 ""Firetank Pirates"" type card from your hand:</strong> This Character gains [Rush] during this turn.<br>
<br>
<em>(This card can attack on the turn in which it is played.)</em>",Blue,Character,3,4000,Firetank Pirates,1000,Ranged,0.1,0.84,12.0,0.81,,Normal
634473,Vinsmoke Ichiji,Vinsmoke Ichiji,https://tcgplayer-cdn.tcgplayer.com/product/634473_200w.jpg,68,24242,https://cpt.tcgcsv.com/tP57,2025-06-10T18:29:06.463,1,C,OP11-043,"[Blocker]<br>
<br>
[On Your Opponent's Attack] [Once Per Turn] This effect can be activated when you only have Characters with a type including ""GERMA"". Up to 1 of your Leader or Character cards gains +1000 power during this battle. Then, trash 2 cards from the top of your deck.",Blue,Character,7,7000,The Vinsmoke Family;GERMA 66,,Strike,1.19,1.72,2.99,1.38,,Normal
634474,Vinsmoke Judge,Vinsmoke Judge,https://tcgplayer-cdn.tcgplayer.com/product/634474_200w.jpg,68,24242,https://cpt.tcgcsv.com/vP57,2025-06-10T18:29:16.687,1,C,OP11-044,"[Activate: Main] [Once Per Turn] <strong>You may trash 1 card from your hand:</strong> All of your ""GERMA 66"" type Characters gain +1000 power during this turn.",Blue,Character,6,8000,The Vinsmoke Family;GERMA 66,,Slash,0.2,0.47,1.99,0.41,,Normal
634475,Vinsmoke Niji,Vinsmoke Niji,https://tcgplayer-cdn.tcgplayer.com/product/634475_200w.jpg,68,24242,https://cpt.tcgcsv.com/wP57,2025-06-10T18:29:26.427,1,UC,OP11-045,,Blue,Character,5,6000,The Vinsmoke Family;GERMA 66,2000,Special,4.33,5.32,5.32,4.25,,Normal
634476,Vinsmoke Yonji,Vinsmoke Yonji,https://tcgplayer-cdn.tcgplayer.com/product/634476_200w.jpg,68,24242,https://cpt.tcgcsv.com/xP57,2025-06-10T18:29:36.24,1,C,OP11-046,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
<br>
If you only have Characters with a type including ""GERMA"", this Character cannot be K.O.'d or rested by your opponent's effects.",Blue,Character,4,5000,The Vinsmoke Family;GERMA 66,1000,Strike,0.2,0.56,4.99,0.47,,Normal
634477,Gotti,Gotti,https://tcgplayer-cdn.tcgplayer.com/product/634477_200w.jpg,68,24242,https://cpt.tcgcsv.com/zP57,2025-06-10T18:29:45.733,1,C,OP11-050,"[When Attacking] <strong>You may trash 1 ""Firetank Pirates"" type card from your hand:</strong> Return up to 1 Character with a cost of 1 or less to the owner's hand or place it at the bottom of their deck.",Blue,Character,3,4000,Firetank Pirates,2000,Ranged,0.1,0.51,18.99,0.49,,Normal
634478,Charlotte Lola,Charlotte Lola,https://tcgplayer-cdn.tcgplayer.com/product/634478_200w.jpg,68,24242,https://cpt.tcgcsv.com/BP57,2025-06-10T18:30:45.097,1,C,OP11-052,,Blue,Character,5,7000,Firetank Pirates;Former Rolling Pirates,1000,Slash,0.1,0.54,3.0,0.55,,Normal
634479,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/634479_200w.jpg,68,24242,https://cpt.tcgcsv.com/CP57,2025-06-10T18:30:54.18,1,UC,OP11-053,,Blue,Character,5,6000,Animal;Straw Hat Crew,2000,Strike,2.85,3.73,18.49,4.57,,Normal
634480,Bartolomeo,Bartolomeo,https://tcgplayer-cdn.tcgplayer.com/product/634480_200w.jpg,68,24242,https://cpt.tcgcsv.com/DP57,2025-06-10T18:31:03.147,1,UC,OP11-055,,Blue,Character,6,7000,Supernovas;Dressrosa,2000,Special,0.75,1.0,9.99,1.19,,Normal
