productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
600705,Emperors in the New World - 2nd Anniversary Tournament Pack,Emperors in the New World 2nd Anniversary Tournament Pack,https://tcgplayer-cdn.tcgplayer.com/product/600705_200w.jpg,68,23590,https://cpt.tcgcsv.com/7jQ6,2025-04-10T14:29:58.003,1,0.48,3.83,12.88,2.84,,Normal,,,,,,,,,,
600713,Shachi & Penguin,Shachi and Penguin,https://tcgplayer-cdn.tcgplayer.com/product/600713_200w.jpg,68,23590,https://cpt.tcgcsv.com/hjQ6,2025-01-16T18:26:51.573,1,0.1,0.35,5.0,0.27,,Normal,C,OP09-003,[When Attacking] Give up to 1 of your opponent's Characters 2000 power during this turn.,Red,Character,4,5000,Heart Pirates,1000,Ranged
600715,Howling Gab,Howling Gab,https://tcgplayer-cdn.tcgplayer.com/product/600715_200w.jpg,68,23590,https://cpt.tcgcsv.com/kjQ6,2025-01-16T18:27:02.263,1,0.1,0.25,1.41,0.23,,Normal,C,OP09-006,,Red,Character,5,7000,Red-Haired Pirates,1000,Special
600716,Heat,Heat,https://tcgplayer-cdn.tcgplayer.com/product/600716_200w.jpg,68,23590,https://cpt.tcgcsv.com/ljQ6,2025-01-16T18:27:11.437,1,0.22,0.41,4.0,0.3,,Normal,C,OP09-007,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Play] Up to 1 of your Leader with 4000 power or less gains +1000 power during this turn.",Red,Character,3,4000,Kid Pirates,1000,Special
600717,Bonk Punch,Bonk Punch,https://tcgplayer-cdn.tcgplayer.com/product/600717_200w.jpg,68,23590,https://cpt.tcgcsv.com/mjQ6,2025-01-16T18:27:30.2,1,0.07,0.38,5.99,0.23,,Normal,C,OP09-010,"[On Play] Play up to 1 [Monster] from your hand.<br>
[DON!! x1] [When Attacking] This Character gains +2000 power during this turn.",Red,Character,4,5000,Red-Haired Pirates,1000,Strike
600718,Monster,Monster,https://tcgplayer-cdn.tcgplayer.com/product/600718_200w.jpg,68,23590,https://cpt.tcgcsv.com/njQ6,2025-01-16T18:28:36.893,1,0.1,0.3,1.46,0.22,,Normal,C,OP09-012,"If your Character [Bonk Punch] would be K.O.'d by an effect, you may trash this Character instead.",Red,Character,3,4000,Animal;Red-Haired Pirates,1000,Strike
600719,Rockstar,Rockstar,https://tcgplayer-cdn.tcgplayer.com/product/600719_200w.jpg,68,23590,https://cpt.tcgcsv.com/pjQ6,2025-01-16T18:32:05.993,1,0.14,0.49,8.98,0.27,,Normal,C,OP09-016,,Red,Character,4,6000,Red-Haired Pirates,1000,Slash
600720,Nobody Hurts a Friend of Mine!!!!,Nobody Hurts a Friend of Mine,https://tcgplayer-cdn.tcgplayer.com/product/600720_200w.jpg,68,23590,https://cpt.tcgcsv.com/qjQ6,2025-01-16T19:17:34.897,1,0.1,0.49,2.0,0.31,,Normal,C,OP09-019,"[Main] If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 3000 power during this turn. Then, if your opponent has a Character with 5000 or more power, draw 1 card.<br>
[Trigger] Draw 1 card.",Red,Event,2,,Red-Haired Pirates,,
600721,Red Force,Red Force,https://tcgplayer-cdn.tcgplayer.com/product/600721_200w.jpg,68,23590,https://cpt.tcgcsv.com/rjQ6,2025-01-16T19:17:45.277,1,2.5,3.8,13.5,4.59,,Normal,C,OP09-021,"[Activate: Main] <strong>You may rest this Stage</strong>: If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 1000 power during this turn.",Red,Stage,2,,Red-Haired Pirates,,
600722,Usopp (024),Usopp 024,https://tcgplayer-cdn.tcgplayer.com/product/600722_200w.jpg,68,23590,https://cpt.tcgcsv.com/sjQ6,2025-01-16T19:17:55.127,1,0.1,0.53,9.89,0.41,,Normal,C,OP09-024,"[On Play] If you have 2 or more rested Characters, draw 2 cards and trash 2 cards from your hand.",Green,Character,4,5000,Straw Hat Crew;ODYSSEY,1000,Ranged
