productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
627669,Starter Deck 23: RED Shanks,Starter Deck 23 RED Shanks,https://tcgplayer-cdn.tcgplayer.com/product/627669_200w.jpg,68,24282,https://cpt.tcgcsv.com/p527,2025-06-06T04:10:20.23,1,9.99,17.74,31.97,15.05,,Normal,,,,,,,,,,,
627670,Starter Deck 23: RED Shanks Display,Starter Deck 23 RED Shanks Display,https://tcgplayer-cdn.tcgplayer.com/product/627670_200w.jpg,68,24282,https://cpt.tcgcsv.com/q527,2025-06-06T04:10:20.23,1,80.0,100.0,199.98,50.92,,Normal,,,,,,,,,,,
633760,Shanks (Reprint),Shanks Reprint,https://tcgplayer-cdn.tcgplayer.com/product/633760_200w.jpg,68,24282,https://cpt.tcgcsv.com/dw57,2025-09-30T14:07:54.38,1,0.15,0.5,1.74,0.48,,Foil,L,OP09-001,[Once Per Turn] This effect can be activated when your opponent attacks. Give up to 1 of your opponent's Leader or Character cards 1000 power during this turn.,Red,Leader,5,5000,The Four Emperors;Red-Haired Pirates,Slash,,
633761,Uta,Uta,https://tcgplayer-cdn.tcgplayer.com/product/633761_200w.jpg,68,24282,https://cpt.tcgcsv.com/fw57,2025-06-06T04:10:20.23,1,5.0,7.25,9999.0,7.32,,Foil,SR,ST23-001,"If you have a Character with 10000 power or more, give this card in your hand -4 cost.
<br>[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,,4000,FILM,Special,6,2000
633762,Shanks (002),Shanks 002,https://tcgplayer-cdn.tcgplayer.com/product/633762_200w.jpg,68,24282,https://cpt.tcgcsv.com/gw57,2025-06-06T04:10:20.23,1,0.74,1.91,7.99,1.49,,Foil,SR,ST23-002,"If your opponent has a Character with 8000 base power or more, give this card in your hand -3 cost.
<br>[On Play] If your Leader has the ""Red-Haired Pirates"" type or is [Uta], your Leader gains +2000 power until the end of your opponent's next End Phase.",Red,Character,,10000,The Four Emperors;Red-Haired Pirates,Slash,9,
633763,Benn.Beckman,BennBeckman,https://tcgplayer-cdn.tcgplayer.com/product/633763_200w.jpg,68,24282,https://cpt.tcgcsv.com/hw57,2025-06-06T04:10:20.23,1,0.05,0.25,5.99,0.19,,Normal,C,ST23-003,"[On Play] <strong>You may trash 1 card from your hand:</strong> If your Leader has the ""Red-Haired Pirates"" type, K.O. up to 1 of your opponent's Characters with 4000 base power or less.",Red,Character,,5000,Red-Haired Pirates,Ranged,4,1000
633764,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/633764_200w.jpg,68,24282,https://cpt.tcgcsv.com/jw57,2025-06-06T04:10:20.23,1,0.02,0.2,1.59,0.16,,Normal,C,ST23-004,[Activate:Main] <strong>You may rest 1 of your DON!! cards and this Character:</strong> Give up to 1 of your opponent's Characters-1000 power during this turn.,Red,Character,,2000,FILM;Straw Hat Crew;Supernovas,Strike,1,1000
633943,Yasopp,Yasopp,https://tcgplayer-cdn.tcgplayer.com/product/633943_200w.jpg,68,24282,https://cpt.tcgcsv.com/TB57,2025-06-06T04:10:20.23,1,0.05,0.2,2.0,0.16,,Normal,C,ST23-005,[Activate:Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,,1000,Red-Haired Pirates,Ranged,1,1000
634269,Howling Gab (Reprint),Howling Gab Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634269_200w.jpg,68,24282,https://cpt.tcgcsv.com/pK57,2025-06-06T04:10:20.23,1,0.01,0.11,1.53,0.02,,Normal,C,OP09-006,"<span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,7000,Red-Haired Pirates,Special,5,1000
634270,Bonk Punch (Reprint),Bonk Punch Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634270_200w.jpg,68,24282,https://cpt.tcgcsv.com/qK57,2025-06-06T04:10:20.23,1,0.01,0.1,5.99,0.06,,Normal,C,OP09-010,"[On Play] Play up to 1 [Monster] from your hand.<br>
[DON!! x1] [When Attacking] This Character gains +2000 power during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,5000,Red-Haired Pirates,Strike,4,1000
634272,Hongo (Reprint),Hongo Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634272_200w.jpg,68,24282,https://cpt.tcgcsv.com/sK57,2025-06-06T04:10:20.23,1,0.01,0.1,1.4,0.05,,Normal,UC,OP09-011,"[Activate: Main] <strong>You may rest this Character</strong>: If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 2000 power during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,3000,Red-Haired Pirates,Strike,3,2000
